analysis_name,yearly_aggregate,window_size,config_type,r_squared,p_value,aic,bic,is_normal,is_homoscedastic,no_autocorrelation,durbin_watson,cv_r2_score,cv_r2_std,vif_PPT,vif_segment,p_value_segment,breakpoint,vif_ortho_PPT_lag1,p_value_lag1,vif_ortho_sin_cycle,vif_ortho_cos_cycle,p_value_sin,p_value_cos
Maize-Cluster_1_yearly_True_window_7_lags_1_sinusoidal_yes_piecewise,True,7,piecewise_lags_1_sinusoidal_yes,0.526,0.065,303.427,308.769,True,True,False,0.687,-1.084,0,1.553,1.943,0.475,808.4982966552957,1.0,0.44,1.01,1.381,0.562,0.057
Maize-Cluster_1_yearly_False_window_8_lags_none_sinusoidal_no_piecewise,False,8,piecewise_lags_none_sinusoidal_no,0.4,0.232,465.282,469.169,True,True,False,0.41,0.284,0,2.283,2.283,0.056,777.5318376702742,,,,,,
Maize-Cluster_1_yearly_False_window_8_lags_1_sinusoidal_no_piecewise,False,8,piecewise_lags_1_sinusoidal_no,0.415,0.003,437.528,442.561,True,True,False,0.764,0.115,0,1.349,1.623,0.204,806.4382608414503,1.274,0.523,,,,
Maize-Cluster_1_yearly_False_window_8_lags_none_sinusoidal_yes_piecewise,False,8,piecewise_lags_none_sinusoidal_yes,0.585,0.396,459.286,465.765,True,True,False,0.672,0.335,0,4.457,6.151,0.019,777.5318376702742,,,1.355,2.339,0.771,0.007
Maize-Cluster_1_yearly_False_window_8_lags_1_sinusoidal_yes_piecewise,False,8,piecewise_lags_1_sinusoidal_yes,0.738,0.0,420.642,428.191,True,True,False,1.371,0.569,0,1.741,3.443,0.742,806.4382608414503,1.581,0.057,1.104,2.017,0.949,0.0
Maize-Cluster_1_yearly_True_window_8_lags_none_sinusoidal_no_piecewise,True,8,piecewise_lags_none_sinusoidal_no,0.532,0.019,325.652,328.485,True,True,False,0.521,0.474,0,2.08,2.08,0.035,783.8771834806668,,,,,,
Maize-Cluster_1_yearly_True_window_8_lags_1_sinusoidal_no_piecewise,True,8,piecewise_lags_1_sinusoidal_no,0.434,0.009,301.146,304.708,True,True,False,0.442,0.17,0,1.214,1.226,0.148,814.3218899519318,1.012,0.781,,,,
Maize-Cluster_1_yearly_True_window_8_lags_none_sinusoidal_yes_piecewise,True,8,piecewise_lags_none_sinusoidal_yes,0.615,0.011,325.948,330.67,True,True,False,0.819,0.395,0,2.799,3.465,0.024,783.8771834806668,,,1.121,1.545,0.809,0.106
Maize-Cluster_1_yearly_True_window_8_lags_1_sinusoidal_yes_piecewise,True,8,piecewise_lags_1_sinusoidal_yes,0.66,0.003,295.981,301.323,True,True,False,1.0,0.263,0,1.293,1.679,0.188,814.3218899519318,1.017,0.394,1.042,1.327,0.777,0.02
Maize-Cluster_1_yearly_False_window_9_lags_none_sinusoidal_no_piecewise,False,9,piecewise_lags_none_sinusoidal_no,0.381,0.452,460.285,464.173,True,False,False,0.275,0.17,0,2.151,2.151,0.121,780.7019954936869,,,,,,
