analysis_name,yearly_aggregate,window_size,config_type,r_squared,p_value,aic,bic,is_normal,is_homoscedastic,no_autocorrelation,durbin_watson,cv_r2_score,cv_r2_std,vif_PPT,vif_ortho_PPT_lag1,p_value_lag1,vif_ortho_sin_cycle,vif_ortho_cos_cycle,p_value_sin,p_value_cos
Maize-Cluster_1_yearly_True_window_8_lags_none_sinusoidal_yes_linear,True,8,linear_lags_none_sinusoidal_yes,0.438,0.008,331.145,334.923,True,True,False,0.42,0.029,0,1.0,,,1.0,1.0,0.885,0.248
Maize-Cluster_1_yearly_True_window_8_lags_1_sinusoidal_yes_linear,True,8,linear_lags_1_sinusoidal_yes,0.605,0.002,296.691,301.143,True,True,False,0.907,0.152,0,1.0,1.0,0.555,1.0,1.0,0.283,0.029
Maize-Cluster_1_yearly_False_window_9_lags_none_sinusoidal_no_linear,False,9,linear_lags_none_sinusoidal_no,0.314,0.002,461.044,463.636,True,True,False,0.207,0.283,0,1.0,,,,,,
Maize-Cluster_1_yearly_False_window_9_lags_1_sinusoidal_no_linear,False,9,linear_lags_1_sinusoidal_no,0.395,0.003,432.657,436.431,True,True,False,0.364,0.34,0,1.0,1.0,0.745,,,,
Maize-Cluster_1_yearly_False_window_9_lags_none_sinusoidal_yes_linear,False,9,linear_lags_none_sinusoidal_yes,0.414,0.002,460.806,465.99,False,True,False,0.326,0.197,0,1.0,,,1.0,1.0,0.93,0.073
Maize-Cluster_1_yearly_False_window_9_lags_1_sinusoidal_yes_linear,False,9,linear_lags_1_sinusoidal_yes,0.594,0.001,426.284,432.575,False,True,False,0.536,0.234,0,1.0,1.0,0.415,1.0,1.0,0.983,0.012
Maize-Cluster_1_yearly_True_window_9_lags_none_sinusoidal_no_linear,True,9,linear_lags_none_sinusoidal_no,0.392,0.004,324.214,326.103,True,True,False,0.251,0.265,0,1.0,,,,,,
Maize-Cluster_1_yearly_True_window_9_lags_1_sinusoidal_no_linear,True,9,linear_lags_1_sinusoidal_no,0.378,0.009,298.406,301.078,True,True,False,0.261,-0.039,0,1.0,1.0,0.643,,,,
Maize-Cluster_1_yearly_True_window_9_lags_none_sinusoidal_yes_linear,True,9,linear_lags_none_sinusoidal_yes,0.436,0.006,326.801,330.579,True,True,False,0.335,0.08,0,1.0,,,1.0,1.0,0.979,0.305
Maize-Cluster_1_yearly_True_window_9_lags_1_sinusoidal_yes_linear,True,9,linear_lags_1_sinusoidal_yes,0.595,0.002,294.663,299.115,True,True,False,0.691,0.203,0,1.0,1.0,0.421,1.0,1.0,0.61,0.029
Maize-Cluster_1_yearly_False_window_10_lags_none_sinusoidal_no_linear,False,10,linear_lags_none_sinusoidal_no,0.318,0.002,461.026,463.617,True,True,False,0.228,0.284,0,1.0,,,,,,
Maize-Cluster_1_yearly_False_window_10_lags_1_sinusoidal_no_linear,False,10,linear_lags_1_sinusoidal_no,0.42,0.004,430.796,434.571,True,True,False,0.472,-0.048,0,1.0,1.0,0.375,,,,
Maize-Cluster_1_yearly_False_window_10_lags_none_sinusoidal_yes_linear,False,10,linear_lags_none_sinusoidal_yes,0.396,0.006,461.779,466.962,False,True,False,0.318,0.238,0,1.0,,,1.0,1.0,0.831,0.148
Maize-Cluster_1_yearly_False_window_10_lags_1_sinusoidal_yes_linear,False,10,linear_lags_1_sinusoidal_yes,0.528,0.021,429.431,435.721,False,True,False,0.515,-0.031,0,1.0,1.0,0.836,1.0,1.0,0.572,0.161
