analysis_name,yearly_aggregate,window_size,config_type,r_squared,p_value,aic,bic,is_normal,is_homoscedastic,no_autocorrelation,durbin_watson,cv_r2_score,cv_r2_std,vif_PPT,vif_segment,p_value_segment,breakpoint,vif_ortho_PPT_lag1,p_value_lag1,vif_ortho_PPT_lag5,p_value_lag5,vif_ortho_sin_cycle,vif_ortho_cos_cycle,p_value_sin,p_value_cos
Croplands_cluster_2_yearly_False_window_8_lags_5_sinusoidal_no_piecewise,False,8,piecewise_lags_5_sinusoidal_no,0.016,0.339,1166.85,1175.485,False,True,False,0.275,-0.147,0,3.722,4.289,0.37,743.3688594240152,,,1.568,0.826,,,,
Croplands_cluster_2_yearly_False_window_8_lags_none_sinusoidal_yes_piecewise,False,8,piecewise_lags_none_sinusoidal_yes,0.105,0.045,1246.233,1257.403,True,True,False,0.386,0.049,0,1.542,1.545,0.062,776.749172034697,,,,,1.003,1.0,0.025,0.563
Croplands_cluster_2_yearly_False_window_8_lags_1_sinusoidal_yes_piecewise,False,8,piecewise_lags_1_sinusoidal_yes,0.101,0.067,1230.674,1243.991,True,True,False,0.378,-0.049,0,1.569,1.617,0.092,776.6256426175127,1.041,0.714,,,1.005,1.001,0.031,0.472
Croplands_cluster_2_yearly_False_window_8_lags_5_sinusoidal_yes_piecewise,False,8,piecewise_lags_5_sinusoidal_yes,0.084,0.175,1166.225,1179.178,True,True,False,0.391,-0.232,0,3.753,4.339,0.194,743.3688594240152,,,1.574,0.787,1.005,1.007,0.054,0.524
Croplands_cluster_2_yearly_True_window_8_lags_none_sinusoidal_no_piecewise,True,8,piecewise_lags_none_sinusoidal_no,0.08,0.232,516.389,520.491,False,True,False,0.188,0.036,0,1.346,1.346,0.15,784.3928911920347,,,,,,,,
Croplands_cluster_2_yearly_True_window_8_lags_1_sinusoidal_no_piecewise,True,8,piecewise_lags_1_sinusoidal_no,0.099,0.538,500.37,505.699,True,False,False,0.286,-0.132,0,2.62,2.71,0.531,760.8461936067956,1.09,0.283,,,,,,
Croplands_cluster_2_yearly_True_window_8_lags_5_sinusoidal_no_piecewise,True,8,piecewise_lags_5_sinusoidal_no,0.435,0.001,437.075,441.787,True,True,False,0.58,0.267,0,1.95,2.676,0.003,786.0013527195671,,,1.726,0.003,,,,
Croplands_cluster_2_yearly_True_window_8_lags_none_sinusoidal_yes_piecewise,True,8,piecewise_lags_none_sinusoidal_yes,0.081,0.255,520.341,527.178,False,True,False,0.188,-0.777,0,1.38,1.479,0.184,784.3928911920347,,,,,1.005,1.094,0.857,0.936
Croplands_cluster_2_yearly_True_window_8_lags_1_sinusoidal_yes_piecewise,True,8,piecewise_lags_1_sinusoidal_yes,0.105,0.495,504.174,512.168,True,True,False,0.288,-0.177,0,2.671,2.796,0.488,760.8461936067956,1.093,0.333,,,1.007,1.025,0.742,0.831
Croplands_cluster_2_yearly_True_window_8_lags_5_sinusoidal_yes_piecewise,True,8,piecewise_lags_5_sinusoidal_yes,0.441,0.002,440.825,447.894,True,False,False,0.578,0.182,0,1.998,2.811,0.005,786.0013527195671,,,1.763,0.005,1.0,1.05,0.875,0.691
