analysis_name,yearly_aggregate,window_size,config_type,r_squared,p_value,aic,bic,is_normal,is_homoscedastic,no_autocorrelation,durbin_watson,cv_r2_score,cv_r2_std,vif_PPT,vif_spline_0,vif_spline_1,vif_spline_2,p_value_spline_0,p_value_spline_1,p_value_spline_2,knots,vif_ortho_PPT_lag1,p_value_lag1,vif_ortho_sin_cycle,vif_ortho_cos_cycle,p_value_sin,p_value_cos
Maize-Cluster_0_yearly_True_window_6_lags_1_sinusoidal_yes_spline,True,6,spline_lags_1_sinusoidal_yes,0.686,0.522,306.602,313.725,True,True,True,1.823,-19.412,0,1.0,1.303,1.593,1.288,0.087,0.005,0.917,"[np.float64(588.268), np.float64(596.452187), np.float64(606.44356), np.float64(608.933613), np.float64(627.0657664333334)]",1.134,0.671,1.606,1.445,0.01,0.044
Maize-Cluster_0_yearly_False_window_7_lags_none_sinusoidal_no_spline,False,7,spline_lags_none_sinusoidal_no,0.476,0.046,352.92,358.143,False,True,False,0.901,-19.991,0,1.0,1.0,1.0,1.0,0.122,0.353,0.131,"[np.float64(543.3328000000001), np.float64(583.078714), np.float64(589.675714), np.float64(599.341857), np.float64(625.7213712285713)]",,,,,,
Maize-Cluster_0_yearly_False_window_7_lags_1_sinusoidal_no_spline,False,7,spline_lags_1_sinusoidal_no,0.603,0.011,334.307,340.281,True,True,False,1.208,-0.494,0,1.0,1.062,1.323,1.005,0.24,0.205,0.592,"[np.float64(543.3328000000001), np.float64(586.618354), np.float64(595.618193), np.float64(604.5367), np.float64(625.7213712285713)]",1.39,0.325,,,,
Maize-Cluster_0_yearly_False_window_7_lags_none_sinusoidal_yes_spline,False,7,spline_lags_none_sinusoidal_yes,0.728,0.03,343.191,350.503,True,True,False,0.966,-0.855,0,1.0,1.161,1.039,1.137,0.293,0.217,0.291,"[np.float64(543.3328000000001), np.float64(583.078714), np.float64(589.675714), np.float64(599.341857), np.float64(625.7213712285713)]",,,1.132,1.203,0.004,0.466
Maize-Cluster_0_yearly_False_window_7_lags_1_sinusoidal_yes_spline,False,7,spline_lags_1_sinusoidal_yes,0.847,0.003,319.171,327.137,False,True,False,1.273,-4.72,0,1.0,1.233,1.395,1.089,0.343,0.105,0.089,"[np.float64(543.3328000000001), np.float64(586.618354), np.float64(595.618193), np.float64(604.5367), np.float64(625.7213712285713)]",1.434,0.213,1.113,1.169,0.004,0.066
Maize-Cluster_0_yearly_True_window_7_lags_none_sinusoidal_no_spline,True,7,spline_lags_none_sinusoidal_no,0.056,0.842,336.071,340.793,True,True,False,0.474,-3.493,0,1.0,1.0,1.0,1.0,0.528,0.694,0.636,"[np.float64(575.58749965), np.float64(592.673641), np.float64(604.413583), np.float64(610.356196), np.float64(622.1584285714287)]",,,,,,
Maize-Cluster_0_yearly_True_window_7_lags_1_sinusoidal_no_spline,True,7,spline_lags_1_sinusoidal_no,0.213,0.267,317.999,323.342,True,True,False,0.692,-3.62,0,1.0,1.138,1.001,1.066,0.835,0.113,0.886,"[np.float64(590.9257857142857), np.float64(599.176004), np.float64(605.613657), np.float64(611.285294), np.float64(622.1584285714287)]",1.205,0.514,,,,
Maize-Cluster_0_yearly_True_window_7_lags_none_sinusoidal_yes_spline,True,7,spline_lags_none_sinusoidal_yes,0.339,0.45,333.313,339.924,True,True,False,0.689,-6.145,0,1.0,1.138,1.826,1.01,0.79,0.912,0.767,"[np.float64(575.58749965), np.float64(592.673641), np.float64(604.413583), np.float64(610.356196), np.float64(622.1584285714287)]",,,1.168,1.806,0.047,0.568
Maize-Cluster_0_yearly_True_window_7_lags_1_sinusoidal_yes_spline,True,7,spline_lags_1_sinusoidal_yes,0.422,0.184,316.434,323.557,True,True,False,0.911,-60.567,0,1.0,1.167,1.336,1.606,0.925,0.367,0.548,"[np.float64(590.9257857142857), np.float64(599.176004), np.float64(605.613657), np.float64(611.285294), np.float64(622.1584285714287)]",1.256,0.52,1.248,1.605,0.101,0.356
Maize-Cluster_0_yearly_False_window_8_lags_none_sinusoidal_no_spline,False,8,spline_lags_none_sinusoidal_no,0.381,0.03,354.973,360.195,True,True,False,0.454,-1.456,0,1.0,1.0,1.0,1.0,0.559,0.983,0.183,"[np.float64(566.79204), np.float64(589.46045), np.float64(595.63325), np.float64(600.9157), np.float64(621.3719498999999)]",,,,,,
