analysis_name,yearly_aggregate,window_size,config_type,r_squared,p_value,aic,bic,is_normal,is_homoscedastic,no_autocorrelation,durbin_watson,cv_r2_score,cv_r2_std,vif_PPT
Alfalfa_yearly_False_window_1_lags_none_sinusoidal_no_linear,False,1,linear_lags_none_sinusoidal_no,0.018,0.715,158.251,158.856,True,True,False,1.348,-0.125,0,1.0
Alfalfa_yearly_True_window_1_lags_none_sinusoidal_no_linear,True,1,linear_lags_none_sinusoidal_no,0.018,0.715,158.251,158.856,True,True,False,1.348,-0.125,0,1.0
Alfalfa_yearly_False_window_2_lags_none_sinusoidal_no_linear,False,2,linear_lags_none_sinusoidal_no,0.008,0.805,153.431,154.037,True,True,False,0.609,-1.714,0,1.0
Alfalfa_yearly_True_window_2_lags_none_sinusoidal_no_linear,True,2,linear_lags_none_sinusoidal_no,0.008,0.805,153.431,154.037,True,True,False,0.609,-1.714,0,1.0
Alfalfa_yearly_False_window_3_lags_none_sinusoidal_no_linear,False,3,linear_lags_none_sinusoidal_no,0.11,0.35,151.218,151.823,False,True,False,0.353,-1.593,0,1.0
Alfalfa_yearly_True_window_3_lags_none_sinusoidal_no_linear,True,3,linear_lags_none_sinusoidal_no,0.11,0.35,151.218,151.823,False,True,False,0.353,-1.593,0,1.0
