analysis_name,yearly_aggregate,window_size,config_type,r_squared,p_value,aic,bic,is_normal,is_homoscedastic,no_autocorrelation,durbin_watson,cv_r2_score,cv_r2_std,vif_PPT,vif_quadratic,p_value_quadratic,vif_ortho_PPT_lag1,p_value_lag1,vif_ortho_PPT_lag2,p_value_lag2,vif_ortho_PPT_lag3,p_value_lag3,vif_ortho_PPT_lag4,p_value_lag4,vif_ortho_PPT_lag7,p_value_lag7,vif_ortho_sin_cycle,vif_ortho_cos_cycle,p_value_sin,p_value_cos
Croplands_cluster_0_yearly_True_window_6_lags_4_sinusoidal_yes_quadratic,True,6,quadratic_lags_4_sinusoidal_yes,0.066,0.337,393.979,401.047,False,True,False,0.597,-5.637,0,1.312,1.581,0.831,,,,,,,1.267,0.375,,,1.001,1.001,0.872,0.611
Croplands_cluster_0_yearly_True_window_6_lags_7_sinusoidal_yes_quadratic,True,6,quadratic_lags_7_sinusoidal_yes,0.208,0.313,345.679,351.946,False,True,False,0.562,-0.468,0,1.537,1.813,0.289,,,,,,,,,1.251,0.45,1.013,1.012,0.448,0.704
Croplands_cluster_0_yearly_False_window_7_lags_none_sinusoidal_no_quadratic,False,7,quadratic_lags_none_sinusoidal_no,0.089,0.356,889.745,895.656,False,True,False,0.843,-0.008,0,2.024,2.024,0.084,,,,,,,,,,,,,,
Croplands_cluster_0_yearly_False_window_7_lags_1_sinusoidal_no_quadratic,False,7,quadratic_lags_1_sinusoidal_no,0.165,0.098,852.943,860.748,False,True,False,0.836,0.05,0,2.099,2.197,0.057,1.098,0.012,,,,,,,,,,,,
Croplands_cluster_0_yearly_False_window_7_lags_2_sinusoidal_no_quadratic,False,7,quadratic_lags_2_sinusoidal_no,0.132,0.132,836.537,844.264,False,True,False,0.782,-0.098,0,2.073,2.12,0.039,,,1.047,0.091,,,,,,,,,,
Croplands_cluster_0_yearly_False_window_7_lags_3_sinusoidal_no_quadratic,False,7,quadratic_lags_3_sinusoidal_no,0.075,0.181,822.878,830.526,False,True,False,0.709,0.032,0,2.205,2.3,0.141,,,,,1.095,0.474,,,,,,,,
Croplands_cluster_0_yearly_False_window_7_lags_4_sinusoidal_no_quadratic,False,7,quadratic_lags_4_sinusoidal_no,0.063,0.558,807.018,814.586,False,True,False,0.69,-0.021,0,2.222,2.287,0.192,,,,,,,1.064,0.883,,,,,,
Croplands_cluster_0_yearly_False_window_7_lags_7_sinusoidal_no_quadratic,False,7,quadratic_lags_7_sinusoidal_no,0.15,0.39,757.795,765.109,False,True,False,0.89,0.009,0,2.061,2.098,0.193,,,,,,,,,1.037,0.061,,,,
Croplands_cluster_0_yearly_False_window_7_lags_none_sinusoidal_yes_quadratic,False,7,quadratic_lags_none_sinusoidal_yes,0.199,0.555,886.884,896.735,False,False,False,0.917,0.089,0,2.025,2.025,0.068,,,,,,,,,,,1.0,1.0,0.455,0.018
Croplands_cluster_0_yearly_False_window_7_lags_1_sinusoidal_yes_quadratic,False,7,quadratic_lags_1_sinusoidal_yes,0.219,0.234,853.434,865.142,False,False,False,0.903,-0.167,0,2.109,2.218,0.08,1.099,0.021,,,,,,,,,1.001,1.009,0.854,0.082
