analysis_name,yearly_aggregate,window_size,config_type,r_squared,p_value,aic,bic,is_normal,is_homoscedastic,no_autocorrelation,durbin_watson,cv_r2_score,cv_r2_std,vif_PPT,vif_ortho_PPT_lag1,p_value_lag1,vif_ortho_PPT_lag2,p_value_lag2,vif_ortho_PPT_lag3,p_value_lag3,vif_ortho_PPT_lag4,p_value_lag4,vif_ortho_PPT_lag5,p_value_lag5,vif_ortho_sin_cycle,vif_ortho_cos_cycle,p_value_sin,p_value_cos
Croplands_yearly_True_window_1_lags_4_sinusoidal_yes_linear,True,1,linear_lags_4_sinusoidal_yes,0.483,0.008,607.614,615.39,True,True,True,2.266,0.247,0,1.0,,,,,,,1.0,0.374,,,1.0,1.0,0.755,0.508
Croplands_yearly_True_window_1_lags_5_sinusoidal_yes_linear,True,1,linear_lags_5_sinusoidal_yes,0.482,0.011,590.589,598.221,True,True,True,2.36,0.239,0,1.0,,,,,,,,,1.0,0.299,1.0,1.0,0.956,0.332
Croplands_yearly_False_window_2_lags_none_sinusoidal_no_linear,False,2,linear_lags_none_sinusoidal_no,0.05,0.003,3371.242,3377.583,False,False,False,1.248,0.022,0,1.0,,,,,,,,,,,,,,
Croplands_yearly_False_window_2_lags_1_sinusoidal_no_linear,False,2,linear_lags_1_sinusoidal_no,0.052,0.017,3356.841,3366.335,False,False,False,1.251,0.017,0,1.0,1.0,0.454,,,,,,,,,,,,
Croplands_yearly_False_window_2_lags_2_sinusoidal_no_linear,False,2,linear_lags_2_sinusoidal_no,0.05,0.011,3339.198,3348.675,False,False,False,1.226,0.025,0,1.0,,,1.0,0.687,,,,,,,,,,
Croplands_yearly_False_window_2_lags_3_sinusoidal_no_linear,False,2,linear_lags_3_sinusoidal_no,0.054,0.006,3317.562,3327.022,False,False,False,1.253,-0.002,0,1.0,,,,,1.0,0.451,,,,,,,,
Croplands_yearly_False_window_2_lags_4_sinusoidal_no_linear,False,2,linear_lags_4_sinusoidal_no,0.061,0.002,3299.665,3309.107,False,False,False,1.257,-0.003,0,1.0,,,,,,,1.0,0.263,,,,,,
Croplands_yearly_False_window_2_lags_5_sinusoidal_no_linear,False,2,linear_lags_5_sinusoidal_no,0.06,0.001,3280.269,3289.694,False,False,False,1.247,0.014,0,1.0,,,,,,,,,1.0,0.108,,,,
Croplands_yearly_False_window_2_lags_none_sinusoidal_yes_linear,False,2,linear_lags_none_sinusoidal_yes,0.053,0.004,3374.589,3387.271,False,False,False,1.249,0.019,0,1.0,,,,,,,,,,,1.0,1.0,0.523,0.635
Croplands_yearly_False_window_2_lags_1_sinusoidal_yes_linear,False,2,linear_lags_1_sinusoidal_yes,0.055,0.02,3360.276,3376.1,False,False,False,1.251,-0.021,0,1.0,1.0,0.448,,,,,,,,,1.0,1.0,0.519,0.722
Croplands_yearly_False_window_2_lags_2_sinusoidal_yes_linear,False,2,linear_lags_2_sinusoidal_yes,0.056,0.013,3342.027,3357.822,False,False,False,1.231,-0.001,0,1.0,,,1.0,0.695,,,,,,,1.0,1.0,0.451,0.457
Croplands_yearly_False_window_2_lags_3_sinusoidal_yes_linear,False,2,linear_lags_3_sinusoidal_yes,0.057,0.007,3320.952,3336.718,False,False,False,1.256,-0.023,0,1.0,,,,,1.0,0.448,,,,,1.0,1.0,0.645,0.543
Croplands_yearly_False_window_2_lags_4_sinusoidal_yes_linear,False,2,linear_lags_4_sinusoidal_yes,0.066,0.002,3302.662,3318.4,False,False,False,1.262,-0.024,0,1.0,,,,,,,1.0,0.256,,,1.0,1.0,0.517,0.463
Croplands_yearly_False_window_2_lags_5_sinusoidal_yes_linear,False,2,linear_lags_5_sinusoidal_yes,0.066,0.001,3283.18,3298.888,False,False,False,1.255,-0.025,0,1.0,,,,,,,,,1.0,0.097,1.0,1.0,0.629,0.367
Croplands_yearly_True_window_2_lags_none_sinusoidal_no_linear,True,2,linear_lags_none_sinusoidal_no,0.5,0.0,650.491,653.818,True,True,False,0.777,0.484,0,1.0,,,,,,,,,,,,,,
Croplands_yearly_True_window_2_lags_1_sinusoidal_no_linear,True,2,linear_lags_1_sinusoidal_no,0.568,0.0,628.422,633.334,True,True,False,0.796,0.492,0,1.0,1.0,0.434,,,,,,,,,,,,
Croplands_yearly_True_window_2_lags_2_sinusoidal_no_linear,True,2,linear_lags_2_sinusoidal_no,0.598,0.0,607.315,612.147,True,True,False,0.707,0.531,0,1.0,,,1.0,0.309,,,,,,,,,,
Croplands_yearly_True_window_2_lags_3_sinusoidal_no_linear,True,2,linear_lags_3_sinusoidal_no,0.594,0.0,591.302,596.052,True,True,False,0.772,0.532,0,1.0,,,,,1.0,0.457,,,,,,,,
Croplands_yearly_True_window_2_lags_4_sinusoidal_no_linear,True,2,linear_lags_4_sinusoidal_no,0.613,0.0,575.574,580.24,True,True,False,0.749,0.552,0,1.0,,,,,,,1.0,0.294,,,,,,
Croplands_yearly_True_window_2_lags_5_sinusoidal_no_linear,True,2,linear_lags_5_sinusoidal_no,0.618,0.0,558.401,562.98,True,True,False,0.72,0.574,0,1.0,,,,,,,,,1.0,0.135,,,,
Croplands_yearly_True_window_2_lags_none_sinusoidal_yes_linear,True,2,linear_lags_none_sinusoidal_yes,0.5,0.0,654.434,661.088,True,True,False,0.767,0.465,0,1.0,,,,,,,,,,,1.0,1.0,0.831,0.944
Croplands_yearly_True_window_2_lags_1_sinusoidal_yes_linear,True,2,linear_lags_1_sinusoidal_yes,0.585,0.0,630.918,639.106,True,False,False,0.756,0.349,0,1.0,1.0,0.473,,,,,,,,,1.0,1.0,0.602,0.32
Croplands_yearly_True_window_2_lags_2_sinusoidal_yes_linear,True,2,linear_lags_2_sinusoidal_yes,0.605,0.0,610.67,618.725,True,True,False,0.719,0.417,0,1.0,,,1.0,0.38,,,,,,,1.0,1.0,0.814,0.481
Croplands_yearly_True_window_2_lags_3_sinusoidal_yes_linear,True,2,linear_lags_3_sinusoidal_yes,0.605,0.0,594.381,602.299,True,True,False,0.781,0.463,0,1.0,,,,,1.0,0.474,,,,,1.0,1.0,0.947,0.379
Croplands_yearly_True_window_2_lags_4_sinusoidal_yes_linear,True,2,linear_lags_4_sinusoidal_yes,0.626,0.001,578.384,586.16,True,True,False,0.763,0.508,0,1.0,,,,,,,1.0,0.236,,,1.0,1.0,0.969,0.317
Croplands_yearly_True_window_2_lags_5_sinusoidal_yes_linear,True,2,linear_lags_5_sinusoidal_yes,0.652,0.002,559.152,566.784,True,True,False,0.717,0.573,0,1.0,,,,,,,,,1.0,0.077,1.0,1.0,0.547,0.116
Croplands_yearly_False_window_3_lags_none_sinusoidal_no_linear,False,3,linear_lags_none_sinusoidal_no,0.127,0.0,3284.952,3291.293,False,False,False,1.009,0.096,0,1.0,,,,,,,,,,,,,,
Croplands_yearly_False_window_3_lags_1_sinusoidal_no_linear,False,3,linear_lags_1_sinusoidal_no,0.146,0.0,3264.037,3273.531,False,False,False,1.01,0.133,0,1.0,1.0,0.056,,,,,,,,,,,,
Croplands_yearly_False_window_3_lags_2_sinusoidal_no_linear,False,3,linear_lags_2_sinusoidal_no,0.128,0.0,3250.425,3259.902,False,False,False,1.001,0.112,0,1.0,,,1.0,0.751,,,,,,,,,,
Croplands_yearly_False_window_3_lags_3_sinusoidal_no_linear,False,3,linear_lags_3_sinusoidal_no,0.109,0.004,3324.424,3333.884,False,False,False,1.339,0.07,0,1.0,,,,,1.0,0.367,,,,,,,,
Croplands_yearly_False_window_3_lags_4_sinusoidal_no_linear,False,3,linear_lags_4_sinusoidal_no,0.141,0.0,3211.117,3220.56,False,False,False,0.991,0.111,0,1.0,,,,,,,1.0,0.115,,,,,,
Croplands_yearly_False_window_3_lags_5_sinusoidal_no_linear,False,3,linear_lags_5_sinusoidal_no,0.105,0.0,3286.462,3295.887,False,False,False,1.311,0.057,0,1.0,,,,,,,,,1.0,0.639,,,,
Croplands_yearly_False_window_3_lags_none_sinusoidal_yes_linear,False,3,linear_lags_none_sinusoidal_yes,0.13,0.0,3288.329,3301.011,False,False,False,1.008,0.07,0,1.0,,,,,,,,,,,1.0,1.0,0.677,0.512
Croplands_yearly_False_window_3_lags_1_sinusoidal_yes_linear,False,3,linear_lags_1_sinusoidal_yes,0.15,0.0,3267.322,3283.146,False,False,False,1.008,0.102,0,1.0,1.0,0.057,,,,,,,,,1.0,1.0,0.645,0.491
