analysis_name,yearly_aggregate,window_size,config_type,r_squared,p_value,aic,bic,is_normal,is_homoscedastic,no_autocorrelation,durbin_watson,cv_r2_score,cv_r2_std,vif_PPT,vif_quadratic,p_value_quadratic,vif_ortho_PPT_lag1,p_value_lag1,vif_ortho_sin_cycle,vif_ortho_cos_cycle,p_value_sin,p_value_cos
Maize-Cluster_1_yearly_False_window_1_lags_none_sinusoidal_no_quadratic,False,1,quadratic_lags_none_sinusoidal_no,0.14,0.349,525.78,529.668,True,True,True,1.889,-0.151,0,2.251,2.251,0.142,,,,,,
Maize-Cluster_1_yearly_False_window_1_lags_1_sinusoidal_no_quadratic,False,1,quadratic_lags_1_sinusoidal_no,0.117,0.476,506.346,511.378,True,True,True,1.982,-0.692,0,2.564,2.711,0.294,1.147,0.91,,,,
Maize-Cluster_1_yearly_False_window_1_lags_none_sinusoidal_yes_quadratic,False,1,quadratic_lags_none_sinusoidal_yes,0.154,0.536,529.323,535.802,True,True,True,1.898,-0.124,0,2.31,2.358,0.131,,,1.017,1.03,0.617,0.703
Maize-Cluster_1_yearly_False_window_1_lags_1_sinusoidal_yes_quadratic,False,1,quadratic_lags_1_sinusoidal_yes,0.123,0.527,510.17,517.719,True,True,True,2.003,-1.79,0,2.745,3.024,0.31,1.164,0.894,1.039,1.077,0.738,0.911
Maize-Cluster_1_yearly_True_window_1_lags_none_sinusoidal_no_quadratic,True,1,quadratic_lags_none_sinusoidal_no,0.182,0.542,362.638,365.471,True,True,False,1.42,-0.834,0,1.864,1.864,0.171,,,,,,
Maize-Cluster_1_yearly_True_window_1_lags_1_sinusoidal_no_quadratic,True,1,quadratic_lags_1_sinusoidal_no,0.161,0.597,340.949,344.511,True,True,False,1.491,-0.497,0,2.102,2.253,0.323,1.151,0.9,,,,
Maize-Cluster_1_yearly_True_window_1_lags_none_sinusoidal_yes_quadratic,True,1,quadratic_lags_none_sinusoidal_yes,0.219,0.771,365.758,370.48,True,True,False,1.467,-1.4,0,1.901,1.943,0.188,,,1.006,1.037,0.482,0.704
Maize-Cluster_1_yearly_True_window_1_lags_1_sinusoidal_yes_quadratic,True,1,quadratic_lags_1_sinusoidal_yes,0.209,0.444,343.885,349.227,True,True,True,1.629,-0.879,0,2.207,2.466,0.517,1.165,0.919,1.0,1.095,0.517,0.58
Maize-Cluster_1_yearly_False_window_2_lags_none_sinusoidal_no_quadratic,False,2,quadratic_lags_none_sinusoidal_no,0.034,0.41,508.509,512.397,True,True,False,0.73,-0.203,0,1.579,1.579,0.936,,,,,,
Maize-Cluster_1_yearly_False_window_2_lags_1_sinusoidal_no_quadratic,False,2,quadratic_lags_1_sinusoidal_no,0.1,0.896,479.945,484.978,True,True,False,1.132,-0.236,0,1.668,1.673,0.325,1.005,0.436,,,,
