analysis_name,yearly_aggregate,window_size,config_type,r_squared,p_value,aic,bic,is_normal,is_homoscedastic,no_autocorrelation,durbin_watson,cv_r2_score,cv_r2_std,vif_PPT,vif_segment,p_value_segment,breakpoint,vif_ortho_PPT_lag2,p_value_lag2,vif_ortho_PPT_lag3,p_value_lag3,vif_ortho_PPT_lag4,p_value_lag4,vif_ortho_sin_cycle,vif_ortho_cos_cycle,p_value_sin,p_value_cos
CPER-Cluster_1_yearly_False_window_3_lags_3_sinusoidal_yes_piecewise,False,3,piecewise_lags_3_sinusoidal_yes,0.768,0.647,92.753,93.936,True,True,False,3.453,-1.701,0,13.541,25.058,0.39,243.8081326219529,,,10.267,0.572,,,2.002,2.247,0.551,0.861
CPER-Cluster_1_yearly_False_window_3_lags_4_sinusoidal_yes_piecewise,False,3,piecewise_lags_4_sinusoidal_yes,0.889,0.191,80.274,80.751,True,True,True,2.211,-5.37,0,4.633,8.227,0.642,243.81751395715486,,,,,2.896,0.309,2.108,1.589,0.609,0.453
CPER-Cluster_1_yearly_True_window_3_lags_none_sinusoidal_no_piecewise,True,3,piecewise_lags_none_sinusoidal_no,0.661,0.761,134.068,135.523,True,True,False,0.944,0.596,0,2.489,2.489,0.267,243.48365852525254,,,,,,,,,,
CPER-Cluster_1_yearly_True_window_3_lags_2_sinusoidal_no_piecewise,True,3,piecewise_lags_2_sinusoidal_no,0.846,0.531,98.136,99.347,True,True,False,2.811,-0.086,0,2.865,3.8,0.158,243.57068681505052,1.935,0.602,,,,,,,,
CPER-Cluster_1_yearly_True_window_3_lags_3_sinusoidal_no_piecewise,True,3,piecewise_lags_3_sinusoidal_no,0.729,0.75,90.153,90.942,True,True,False,3.362,0.347,0,4.859,7.711,0.178,243.8081326219529,,,3.852,0.58,,,,,,
CPER-Cluster_1_yearly_True_window_3_lags_4_sinusoidal_no_piecewise,True,3,piecewise_lags_4_sinusoidal_no,0.79,0.104,81.375,81.693,True,True,True,2.404,0.141,0,2.347,3.05,0.828,243.81751395715486,,,,,1.703,0.247,,,,
CPER-Cluster_1_yearly_True_window_3_lags_none_sinusoidal_yes_piecewise,True,3,piecewise_lags_none_sinusoidal_yes,0.811,0.764,131.07,133.495,True,True,True,1.575,-2.261,0,3.006,3.353,0.061,243.48365852525254,,,,,,,1.288,1.059,0.107,0.138
CPER-Cluster_1_yearly_True_window_3_lags_2_sinusoidal_yes_piecewise,True,3,piecewise_lags_2_sinusoidal_yes,0.911,0.21,96.705,98.521,False,True,False,2.919,0.125,0,3.446,4.984,0.834,243.57068681505052,2.226,0.611,,,,,1.274,1.038,0.535,0.166
CPER-Cluster_1_yearly_True_window_3_lags_3_sinusoidal_yes_piecewise,True,3,piecewise_lags_3_sinusoidal_yes,0.768,0.647,92.753,93.936,True,True,False,3.453,-1.701,0,13.541,25.058,0.39,243.8081326219529,,,10.267,0.572,,,2.002,2.247,0.551,0.861
CPER-Cluster_1_yearly_True_window_3_lags_4_sinusoidal_yes_piecewise,True,3,piecewise_lags_4_sinusoidal_yes,0.889,0.191,80.274,80.751,True,True,True,2.211,-5.37,0,4.633,8.227,0.642,243.81751395715486,,,,,2.896,0.309,2.108,1.589,0.609,0.453
