analysis_name,yearly_aggregate,window_size,config_type,r_squared,p_value,aic,bic,is_normal,is_homoscedastic,no_autocorrelation,durbin_watson,cv_r2_score,cv_r2_std,vif_PPT,vif_ortho_PPT_lag1,p_value_lag1,vif_ortho_PPT_lag2,p_value_lag2,vif_ortho_PPT_lag6,p_value_lag6,vif_ortho_sin_cycle,vif_ortho_cos_cycle,p_value_sin,p_value_cos
Croplands_cluster_1_yearly_False_window_9_lags_6_sinusoidal_no_linear,False,9,linear_lags_6_sinusoidal_no,0.067,0.613,892.604,898.217,False,True,False,0.598,-0.428,0,1.0,,,,,1.0,0.165,,,,
Croplands_cluster_1_yearly_False_window_9_lags_none_sinusoidal_yes_linear,False,9,linear_lags_none_sinusoidal_yes,0.285,0.196,950.349,958.305,True,False,False,0.549,0.168,0,1.0,,,,,,,1.0,1.0,0.0,0.126
Croplands_cluster_1_yearly_False_window_9_lags_1_sinusoidal_yes_linear,False,9,linear_lags_1_sinusoidal_yes,0.283,0.204,933.678,943.529,True,True,False,0.594,0.057,0,1.0,1.0,0.613,,,,,1.0,1.0,0.0,0.225
Croplands_cluster_1_yearly_False_window_9_lags_2_sinusoidal_yes_linear,False,9,linear_lags_2_sinusoidal_yes,0.34,0.401,913.483,923.239,True,True,False,0.617,0.095,0,1.0,,,1.0,0.137,,,1.0,1.0,0.0,0.356
Croplands_cluster_1_yearly_False_window_9_lags_6_sinusoidal_yes_linear,False,9,linear_lags_6_sinusoidal_yes,0.281,0.528,884.062,893.418,False,True,False,0.841,-0.092,0,1.0,,,,,1.0,0.111,1.0,1.0,0.002,0.231
Croplands_cluster_1_yearly_True_window_9_lags_none_sinusoidal_no_linear,True,9,linear_lags_none_sinusoidal_no,0.023,0.505,355.172,357.355,True,False,False,0.342,-0.558,0,1.0,,,,,,,,,,
Croplands_cluster_1_yearly_True_window_9_lags_1_sinusoidal_no_linear,True,9,linear_lags_1_sinusoidal_no,0.172,0.178,338.704,341.838,True,False,False,0.466,-0.273,0,1.0,1.0,0.201,,,,,,,,
Croplands_cluster_1_yearly_True_window_9_lags_2_sinusoidal_no_linear,True,9,linear_lags_2_sinusoidal_no,0.38,0.014,313.937,316.924,True,True,False,0.764,-0.005,0,1.0,,,1.0,0.352,,,,,,
Croplands_cluster_1_yearly_True_window_9_lags_none_sinusoidal_yes_linear,True,9,linear_lags_none_sinusoidal_yes,0.659,0.11,336.025,340.389,True,True,False,1.28,0.328,0,1.0,,,,,,,1.0,1.0,0.0,0.083
Croplands_cluster_1_yearly_True_window_9_lags_1_sinusoidal_yes_linear,True,9,linear_lags_1_sinusoidal_yes,0.77,0.262,315.788,321.01,True,True,True,1.64,0.534,0,1.0,1.0,0.03,,,,,1.0,1.0,0.0,0.009
