analysis_name,yearly_aggregate,window_size,config_type,r_squared,p_value,aic,bic,is_normal,is_homoscedastic,no_autocorrelation,durbin_watson,cv_r2_score,cv_r2_std,vif_PPT,vif_ortho_PPT_lag1,p_value_lag1,vif_ortho_PPT_lag2,p_value_lag2,vif_ortho_PPT_lag6,p_value_lag6,vif_ortho_sin_cycle,vif_ortho_cos_cycle,p_value_sin,p_value_cos
Croplands_cluster_1_yearly_False_window_4_lags_2_sinusoidal_yes_linear,False,4,linear_lags_2_sinusoidal_yes,0.133,0.656,978.065,987.821,True,False,False,0.558,-0.098,0,1.0,,,1.0,0.475,,,1.0,1.0,0.014,0.516
Croplands_cluster_1_yearly_False_window_4_lags_6_sinusoidal_yes_linear,False,4,linear_lags_6_sinusoidal_yes,0.086,0.149,920.195,929.551,True,False,False,0.571,-0.113,0,1.0,,,,,1.0,0.2,1.0,1.0,0.167,0.578
Croplands_cluster_1_yearly_True_window_4_lags_none_sinusoidal_no_linear,True,4,linear_lags_none_sinusoidal_no,0.072,0.226,389.856,392.038,True,True,False,0.398,-0.503,0,1.0,,,,,,,,,,
Croplands_cluster_1_yearly_True_window_4_lags_1_sinusoidal_no_linear,True,4,linear_lags_1_sinusoidal_no,0.183,0.432,373.123,376.257,True,True,False,0.457,-0.117,0,1.0,1.0,0.138,,,,,,,,
Croplands_cluster_1_yearly_True_window_4_lags_2_sinusoidal_no_linear,True,4,linear_lags_2_sinusoidal_no,0.257,0.671,355.741,358.728,True,True,False,0.472,-0.29,0,1.0,,,1.0,0.094,,,,,,
Croplands_cluster_1_yearly_True_window_4_lags_6_sinusoidal_no_linear,True,4,linear_lags_6_sinusoidal_no,0.359,0.022,288.003,290.32,True,True,False,0.423,0.228,0,1.0,,,,,1.0,0.71,,,,
Croplands_cluster_1_yearly_True_window_4_lags_none_sinusoidal_yes_linear,True,4,linear_lags_none_sinusoidal_yes,0.313,0.597,387.237,391.602,True,True,False,0.694,-0.383,0,1.0,,,,,,,1.0,1.0,0.033,0.291
Croplands_cluster_1_yearly_True_window_4_lags_1_sinusoidal_yes_linear,True,4,linear_lags_1_sinusoidal_yes,0.496,0.837,367.003,372.226,True,True,False,0.819,-0.067,0,1.0,1.0,0.046,,,,,1.0,1.0,0.024,0.066
Croplands_cluster_1_yearly_True_window_4_lags_2_sinusoidal_yes_linear,True,4,linear_lags_2_sinusoidal_yes,0.619,0.184,346.38,351.359,True,True,False,1.056,-0.452,0,1.0,,,1.0,0.005,,,1.0,1.0,0.011,0.016
Croplands_cluster_1_yearly_True_window_4_lags_6_sinusoidal_yes_linear,True,4,linear_lags_6_sinusoidal_yes,0.919,0.01,258.883,262.746,True,True,True,1.856,0.816,0,1.0,,,,,1.0,0.991,1.0,1.0,0.0,0.366
Croplands_cluster_1_yearly_False_window_5_lags_none_sinusoidal_no_linear,False,5,linear_lags_none_sinusoidal_no,0.0,0.983,1001.718,1005.696,True,True,False,0.513,-0.075,0,1.0,,,,,,,,,,
Croplands_cluster_1_yearly_False_window_5_lags_1_sinusoidal_no_linear,False,5,linear_lags_1_sinusoidal_no,0.0,0.916,985.776,991.687,True,True,False,0.513,-0.232,0,1.0,1.0,0.898,,,,,,,,
Croplands_cluster_1_yearly_False_window_5_lags_2_sinusoidal_no_linear,False,5,linear_lags_2_sinusoidal_no,0.006,0.728,969.865,975.719,True,True,False,0.494,-0.027,0,1.0,,,1.0,0.608,,,,,,
Croplands_cluster_1_yearly_False_window_5_lags_6_sinusoidal_no_linear,False,5,linear_lags_6_sinusoidal_no,0.02,0.348,919.966,925.579,False,True,False,0.634,-0.118,0,1.0,,,,,1.0,0.505,,,,
Croplands_cluster_1_yearly_False_window_5_lags_none_sinusoidal_yes_linear,False,5,linear_lags_none_sinusoidal_yes,0.138,0.764,997.704,1005.66,True,True,False,0.644,-0.016,0,1.0,,,,,,,1.0,1.0,0.01,0.381
Croplands_cluster_1_yearly_False_window_5_lags_1_sinusoidal_yes_linear,False,5,linear_lags_1_sinusoidal_yes,0.136,0.689,982.036,991.887,True,False,False,0.632,-0.179,0,1.0,1.0,0.817,,,,,1.0,1.0,0.011,0.46
Croplands_cluster_1_yearly_False_window_5_lags_2_sinusoidal_yes_linear,False,5,linear_lags_2_sinusoidal_yes,0.151,0.971,965.648,975.404,True,False,False,0.633,-0.011,0,1.0,,,1.0,0.712,,,1.0,1.0,0.008,0.46
Croplands_cluster_1_yearly_False_window_5_lags_6_sinusoidal_yes_linear,False,5,linear_lags_6_sinusoidal_yes,0.133,0.17,918.112,927.468,False,False,False,0.745,-0.173,0,1.0,,,,,1.0,0.306,1.0,1.0,0.024,0.804
Croplands_cluster_1_yearly_True_window_5_lags_none_sinusoidal_no_linear,True,5,linear_lags_none_sinusoidal_no,0.069,0.238,385.435,387.617,True,True,False,0.396,-0.241,0,1.0,,,,,,,,,,
Croplands_cluster_1_yearly_True_window_5_lags_1_sinusoidal_no_linear,True,5,linear_lags_1_sinusoidal_no,0.195,0.292,367.687,370.821,True,True,False,0.48,0.04,0,1.0,1.0,0.143,,,,,,,,
Croplands_cluster_1_yearly_True_window_5_lags_2_sinusoidal_no_linear,True,5,linear_lags_2_sinusoidal_no,0.311,0.339,348.188,351.175,True,True,False,0.581,-0.548,0,1.0,,,1.0,0.068,,,,,,
Croplands_cluster_1_yearly_True_window_5_lags_6_sinusoidal_no_linear,True,5,linear_lags_6_sinusoidal_no,0.436,0.011,282.308,284.626,True,True,False,0.563,0.325,0,1.0,,,,,1.0,0.858,,,,
Croplands_cluster_1_yearly_True_window_5_lags_none_sinusoidal_yes_linear,True,5,linear_lags_none_sinusoidal_yes,0.407,0.607,379.496,383.86,True,True,False,0.767,0.009,0,1.0,,,,,,,1.0,1.0,0.005,0.554
Croplands_cluster_1_yearly_True_window_5_lags_1_sinusoidal_yes_linear,True,5,linear_lags_1_sinusoidal_yes,0.57,0.99,358.503,363.726,True,True,False,0.989,0.324,0,1.0,1.0,0.04,,,,,1.0,1.0,0.004,0.104
Croplands_cluster_1_yearly_True_window_5_lags_2_sinusoidal_yes_linear,True,5,linear_lags_2_sinusoidal_yes,0.752,0.191,331.77,336.748,True,True,False,1.276,-0.144,0,1.0,,,1.0,0.001,,,1.0,1.0,0.0,0.008
Croplands_cluster_1_yearly_True_window_5_lags_6_sinusoidal_yes_linear,True,5,linear_lags_6_sinusoidal_yes,0.939,0.005,250.643,254.506,False,True,True,1.86,0.761,0,1.0,,,,,1.0,0.616,1.0,1.0,0.0,0.425
Croplands_cluster_1_yearly_False_window_6_lags_none_sinusoidal_no_linear,False,6,linear_lags_none_sinusoidal_no,0.001,0.793,987.814,991.792,True,True,False,0.398,-0.015,0,1.0,,,,,,,,,,
Croplands_cluster_1_yearly_False_window_6_lags_1_sinusoidal_no_linear,False,6,linear_lags_1_sinusoidal_no,0.013,0.858,970.968,976.879,True,True,False,0.452,-0.149,0,1.0,1.0,0.456,,,,,,,,
Croplands_cluster_1_yearly_False_window_6_lags_2_sinusoidal_no_linear,False,6,linear_lags_2_sinusoidal_no,0.006,0.87,956.912,962.766,True,True,False,0.396,-0.091,0,1.0,,,1.0,0.589,,,,,,
Croplands_cluster_1_yearly_False_window_6_lags_6_sinusoidal_no_linear,False,6,linear_lags_6_sinusoidal_no,0.015,0.451,906.92,912.534,False,True,False,0.375,-0.157,0,1.0,,,,,1.0,0.432,,,,
Croplands_cluster_1_yearly_False_window_6_lags_none_sinusoidal_yes_linear,False,6,linear_lags_none_sinusoidal_yes,0.148,0.59,983.248,991.204,True,True,False,0.52,0.035,0,1.0,,,,,,,1.0,1.0,0.006,0.551
Croplands_cluster_1_yearly_False_window_6_lags_1_sinusoidal_yes_linear,False,6,linear_lags_1_sinusoidal_yes,0.15,0.643,967.094,976.945,True,True,False,0.55,-0.093,0,1.0,1.0,0.467,,,,,1.0,1.0,0.008,0.752
Croplands_cluster_1_yearly_False_window_6_lags_2_sinusoidal_yes_linear,False,6,linear_lags_2_sinusoidal_yes,0.164,0.852,951.896,961.652,True,False,False,0.524,-0.113,0,1.0,,,1.0,0.655,,,1.0,1.0,0.005,0.689
Croplands_cluster_1_yearly_False_window_6_lags_6_sinusoidal_yes_linear,False,6,linear_lags_6_sinusoidal_yes,0.158,0.183,903.395,912.751,True,False,False,0.478,-0.079,0,1.0,,,,,1.0,0.2,1.0,1.0,0.01,0.974
Croplands_cluster_1_yearly_True_window_6_lags_none_sinusoidal_no_linear,True,6,linear_lags_none_sinusoidal_no,0.022,0.514,379.431,381.613,True,True,False,0.335,-0.524,0,1.0,,,,,,,,,,
Croplands_cluster_1_yearly_True_window_6_lags_1_sinusoidal_no_linear,True,6,linear_lags_1_sinusoidal_no,0.116,0.586,363.084,366.217,True,True,False,0.436,-0.849,0,1.0,1.0,0.21,,,,,,,,
Croplands_cluster_1_yearly_True_window_6_lags_2_sinusoidal_no_linear,True,6,linear_lags_2_sinusoidal_no,0.223,0.431,344.657,347.644,True,True,False,0.591,-1.482,0,1.0,,,1.0,0.105,,,,,,
Croplands_cluster_1_yearly_True_window_6_lags_6_sinusoidal_no_linear,True,6,linear_lags_6_sinusoidal_no,0.423,0.011,281.367,283.685,True,True,False,0.592,0.164,0,1.0,,,,,1.0,0.648,,,,
Croplands_cluster_1_yearly_True_window_6_lags_none_sinusoidal_yes_linear,True,6,linear_lags_none_sinusoidal_yes,0.395,0.596,372.843,377.208,True,True,False,0.665,-0.347,0,1.0,,,,,,,1.0,1.0,0.006,0.143
Croplands_cluster_1_yearly_True_window_6_lags_1_sinusoidal_yes_linear,True,6,linear_lags_1_sinusoidal_yes,0.62,0.185,349.339,354.562,True,True,False,1.249,0.079,0,1.0,1.0,0.033,,,,,1.0,1.0,0.002,0.007
Croplands_cluster_1_yearly_True_window_6_lags_2_sinusoidal_yes_linear,True,6,linear_lags_2_sinusoidal_yes,0.788,0.02,322.679,327.658,True,True,True,1.696,0.086,0,1.0,,,1.0,0.0,,,1.0,1.0,0.0,0.0
Croplands_cluster_1_yearly_True_window_6_lags_6_sinusoidal_yes_linear,True,6,linear_lags_6_sinusoidal_yes,0.951,0.036,245.943,249.806,True,True,True,1.946,0.862,0,1.0,,,,,1.0,0.708,1.0,1.0,0.0,0.338
Croplands_cluster_1_yearly_False_window_7_lags_none_sinusoidal_no_linear,False,7,linear_lags_none_sinusoidal_no,0.0,0.894,978.635,982.613,True,True,False,0.353,-0.05,0,1.0,,,,,,,,,,
Croplands_cluster_1_yearly_False_window_7_lags_1_sinusoidal_no_linear,False,7,linear_lags_1_sinusoidal_no,0.007,0.972,961.709,967.62,True,True,False,0.422,-0.126,0,1.0,1.0,0.592,,,,,,,,
Croplands_cluster_1_yearly_False_window_7_lags_2_sinusoidal_no_linear,False,7,linear_lags_2_sinusoidal_no,0.03,0.736,945.594,951.447,True,True,False,0.381,-0.21,0,1.0,,,1.0,0.221,,,,,,
Croplands_cluster_1_yearly_False_window_7_lags_6_sinusoidal_no_linear,False,7,linear_lags_6_sinusoidal_no,0.023,0.499,910.542,916.156,False,True,False,0.45,-0.134,0,1.0,,,,,1.0,0.323,,,,
Croplands_cluster_1_yearly_False_window_7_lags_none_sinusoidal_yes_linear,False,7,linear_lags_none_sinusoidal_yes,0.19,0.575,971.298,979.254,True,True,False,0.554,-0.054,0,1.0,,,,,,,1.0,1.0,0.002,0.288
Croplands_cluster_1_yearly_False_window_7_lags_1_sinusoidal_yes_linear,False,7,linear_lags_1_sinusoidal_yes,0.187,0.603,955.1,964.952,True,True,False,0.571,0.001,0,1.0,1.0,0.673,,,,,1.0,1.0,0.003,0.41
Croplands_cluster_1_yearly_False_window_7_lags_2_sinusoidal_yes_linear,False,7,linear_lags_2_sinusoidal_yes,0.219,0.879,938.33,948.086,True,True,False,0.585,-0.442,0,1.0,,,1.0,0.247,,,1.0,1.0,0.002,0.536
Croplands_cluster_1_yearly_False_window_7_lags_6_sinusoidal_yes_linear,False,7,linear_lags_6_sinusoidal_yes,0.155,0.3,907.558,916.914,False,False,False,0.56,-0.1,0,1.0,,,,,1.0,0.194,1.0,1.0,0.014,0.767
Croplands_cluster_1_yearly_True_window_7_lags_none_sinusoidal_no_linear,True,7,linear_lags_none_sinusoidal_no,0.018,0.556,372.011,374.193,True,False,False,0.334,-0.313,0,1.0,,,,,,,,,,
Croplands_cluster_1_yearly_True_window_7_lags_1_sinusoidal_no_linear,True,7,linear_lags_1_sinusoidal_no,0.113,0.492,354.706,357.84,True,False,False,0.376,-0.938,0,1.0,1.0,0.247,,,,,,,,
