analysis_name,yearly_aggregate,window_size,config_type,r_squared,p_value,aic,bic,is_normal,is_homoscedastic,no_autocorrelation,durbin_watson,cv_r2_score,cv_r2_std,vif_PPT,vif_ortho_PPT_lag2,p_value_lag2,vif_ortho_PPT_lag3,p_value_lag3,vif_ortho_PPT_lag4,p_value_lag4,vif_ortho_PPT_lag5,p_value_lag5,vif_ortho_PPT_lag6,p_value_lag6,vif_ortho_sin_cycle,vif_ortho_cos_cycle,p_value_sin,p_value_cos
CPER-Cluster_2_yearly_True_window_2_lags_none_sinusoidal_yes_linear,True,2,linear_lags_none_sinusoidal_yes,0.334,0.198,160.627,163.183,True,True,False,1.45,-0.929,0,1.0,,,,,,,,,,,1.0,1.0,0.462,0.861
CPER-Cluster_2_yearly_True_window_2_lags_2_sinusoidal_yes_linear,True,2,linear_lags_2_sinusoidal_yes,0.653,0.082,131.577,134.001,True,True,True,2.179,-0.09,0,1.0,1.0,0.164,,,,,,,,,1.0,1.0,0.768,0.15
CPER-Cluster_2_yearly_True_window_2_lags_3_sinusoidal_yes_linear,True,2,linear_lags_3_sinusoidal_yes,0.483,0.783,126.897,128.886,True,True,False,1.203,-5.355,0,1.0,,,1.0,0.301,,,,,,,1.0,1.0,0.469,0.387
CPER-Cluster_2_yearly_True_window_2_lags_4_sinusoidal_yes_linear,True,2,linear_lags_4_sinusoidal_yes,0.422,0.959,122.758,124.271,True,True,False,0.852,-933.446,0,1.0,,,,,1.0,0.4,,,,,1.0,1.0,0.491,0.711
CPER-Cluster_2_yearly_True_window_2_lags_5_sinusoidal_yes_linear,True,2,linear_lags_5_sinusoidal_yes,0.835,0.252,91.957,92.943,True,True,True,2.326,0.325,0,1.0,,,,,,,1.0,0.108,,,1.0,1.0,0.02,0.114
CPER-Cluster_2_yearly_True_window_2_lags_6_sinusoidal_yes_linear,True,2,linear_lags_6_sinusoidal_yes,0.649,0.557,89.067,89.465,True,True,True,1.636,-1.984,0,1.0,,,,,,,,,1.0,0.446,1.0,1.0,0.21,0.319
CPER-Cluster_2_yearly_False_window_3_lags_none_sinusoidal_no_linear,False,3,linear_lags_none_sinusoidal_no,0.412,0.013,144.891,146.17,True,True,False,1.366,0.157,0,1.0,,,,,,,,,,,,,,
CPER-Cluster_2_yearly_False_window_3_lags_2_sinusoidal_no_linear,False,3,linear_lags_2_sinusoidal_no,0.677,0.003,120.807,122.262,True,True,False,1.052,-0.078,0,1.0,1.0,0.03,,,,,,,,,,,,
CPER-Cluster_2_yearly_False_window_3_lags_3_sinusoidal_no_linear,False,3,linear_lags_3_sinusoidal_no,0.517,0.379,117.889,119.083,True,True,False,0.92,-0.362,0,1.0,,,1.0,0.731,,,,,,,,,,
CPER-Cluster_2_yearly_False_window_3_lags_4_sinusoidal_no_linear,False,3,linear_lags_4_sinusoidal_no,0.5,0.805,109.63,110.538,False,True,False,0.596,-0.552,0,1.0,,,,,1.0,0.22,,,,,,,,
CPER-Cluster_2_yearly_False_window_3_lags_5_sinusoidal_no_linear,False,3,linear_lags_5_sinusoidal_no,0.511,0.157,91.014,91.606,True,True,False,1.285,-0.073,0,1.0,,,,,,,1.0,0.443,,,,,,
CPER-Cluster_2_yearly_False_window_3_lags_6_sinusoidal_no_linear,False,3,linear_lags_6_sinusoidal_no,0.665,0.045,82.62,82.858,True,True,True,1.594,0.155,0,1.0,,,,,,,,,1.0,0.586,,,,
CPER-Cluster_2_yearly_False_window_3_lags_none_sinusoidal_yes_linear,False,3,linear_lags_none_sinusoidal_yes,0.472,0.266,147.388,149.944,True,True,False,1.19,-0.903,0,1.0,,,,,,,,,,,1.0,1.0,0.605,0.393
CPER-Cluster_2_yearly_False_window_3_lags_2_sinusoidal_yes_linear,False,3,linear_lags_2_sinusoidal_yes,0.906,0.002,109.932,112.357,True,True,True,2.487,0.412,0,1.0,1.0,0.018,,,,,,,,,1.0,1.0,0.249,0.009
CPER-Cluster_2_yearly_False_window_3_lags_3_sinusoidal_yes_linear,False,3,linear_lags_3_sinusoidal_yes,0.557,0.435,120.933,122.922,True,True,False,0.822,-2.667,0,1.0,,,1.0,0.767,,,,,,,1.0,1.0,0.741,0.542
CPER-Cluster_2_yearly_False_window_3_lags_4_sinusoidal_yes_linear,False,3,linear_lags_4_sinusoidal_yes,0.599,0.608,111.427,112.94,True,True,False,0.638,-6.18,0,1.0,,,,,1.0,0.156,,,,,1.0,1.0,0.488,0.364
CPER-Cluster_2_yearly_False_window_3_lags_5_sinusoidal_yes_linear,False,3,linear_lags_5_sinusoidal_yes,0.786,0.856,87.603,88.589,True,True,False,1.299,-0.099,0,1.0,,,,,,,1.0,0.215,,,1.0,1.0,0.359,0.27
CPER-Cluster_2_yearly_False_window_3_lags_6_sinusoidal_yes_linear,False,3,linear_lags_6_sinusoidal_yes,0.773,0.305,83.498,83.895,True,True,False,2.503,-1.124,0,1.0,,,,,,,,,1.0,0.661,1.0,1.0,0.334,0.825
CPER-Cluster_2_yearly_True_window_3_lags_none_sinusoidal_no_linear,True,3,linear_lags_none_sinusoidal_no,0.412,0.013,144.891,146.17,True,True,False,1.366,0.157,0,1.0,,,,,,,,,,,,,,
CPER-Cluster_2_yearly_True_window_3_lags_2_sinusoidal_no_linear,True,3,linear_lags_2_sinusoidal_no,0.677,0.003,120.807,122.262,True,True,False,1.052,-0.078,0,1.0,1.0,0.03,,,,,,,,,,,,
CPER-Cluster_2_yearly_True_window_3_lags_3_sinusoidal_no_linear,True,3,linear_lags_3_sinusoidal_no,0.517,0.379,117.889,119.083,True,True,False,0.92,-0.362,0,1.0,,,1.0,0.731,,,,,,,,,,
CPER-Cluster_2_yearly_True_window_3_lags_4_sinusoidal_no_linear,True,3,linear_lags_4_sinusoidal_no,0.5,0.805,109.63,110.538,False,True,False,0.596,-0.552,0,1.0,,,,,1.0,0.22,,,,,,,,
CPER-Cluster_2_yearly_True_window_3_lags_5_sinusoidal_no_linear,True,3,linear_lags_5_sinusoidal_no,0.511,0.157,91.014,91.606,True,True,False,1.285,-0.073,0,1.0,,,,,,,1.0,0.443,,,,,,
CPER-Cluster_2_yearly_True_window_3_lags_6_sinusoidal_no_linear,True,3,linear_lags_6_sinusoidal_no,0.665,0.045,82.62,82.858,True,True,True,1.594,0.155,0,1.0,,,,,,,,,1.0,0.586,,,,
CPER-Cluster_2_yearly_True_window_3_lags_none_sinusoidal_yes_linear,True,3,linear_lags_none_sinusoidal_yes,0.472,0.266,147.388,149.944,True,True,False,1.19,-0.903,0,1.0,,,,,,,,,,,1.0,1.0,0.605,0.393
CPER-Cluster_2_yearly_True_window_3_lags_2_sinusoidal_yes_linear,True,3,linear_lags_2_sinusoidal_yes,0.906,0.002,109.932,112.357,True,True,True,2.487,0.412,0,1.0,1.0,0.018,,,,,,,,,1.0,1.0,0.249,0.009
CPER-Cluster_2_yearly_True_window_3_lags_3_sinusoidal_yes_linear,True,3,linear_lags_3_sinusoidal_yes,0.557,0.435,120.933,122.922,True,True,False,0.822,-2.667,0,1.0,,,1.0,0.767,,,,,,,1.0,1.0,0.741,0.542
CPER-Cluster_2_yearly_True_window_3_lags_4_sinusoidal_yes_linear,True,3,linear_lags_4_sinusoidal_yes,0.599,0.608,111.427,112.94,True,True,False,0.638,-6.18,0,1.0,,,,,1.0,0.156,,,,,1.0,1.0,0.488,0.364
CPER-Cluster_2_yearly_True_window_3_lags_5_sinusoidal_yes_linear,True,3,linear_lags_5_sinusoidal_yes,0.786,0.856,87.603,88.589,True,True,False,1.299,-0.099,0,1.0,,,,,,,1.0,0.215,,,1.0,1.0,0.359,0.27
CPER-Cluster_2_yearly_True_window_3_lags_6_sinusoidal_yes_linear,True,3,linear_lags_6_sinusoidal_yes,0.773,0.305,83.498,83.895,True,True,False,2.503,-1.124,0,1.0,,,,,,,,,1.0,0.661,1.0,1.0,0.334,0.825
CPER-Cluster_2_yearly_False_window_4_lags_none_sinusoidal_no_linear,False,4,linear_lags_none_sinusoidal_no,0.263,0.061,134.863,136.141,True,True,False,1.256,-0.41,0,1.0,,,,,,,,,,,,,,
CPER-Cluster_2_yearly_False_window_4_lags_2_sinusoidal_no_linear,False,4,linear_lags_2_sinusoidal_no,0.443,0.035,119.354,120.809,True,True,False,1.374,-0.521,0,1.0,1.0,0.156,,,,,,,,,,,,
CPER-Cluster_2_yearly_False_window_4_lags_3_sinusoidal_no_linear,False,4,linear_lags_3_sinusoidal_no,0.523,0.105,112.334,113.528,True,True,False,1.446,-0.454,0,1.0,,,1.0,0.476,,,,,,,,,,
CPER-Cluster_2_yearly_False_window_4_lags_4_sinusoidal_no_linear,False,4,linear_lags_4_sinusoidal_no,0.259,0.551,109.881,110.789,True,False,False,0.676,-1.3,0,1.0,,,,,1.0,0.939,,,,,,,,
CPER-Cluster_2_yearly_False_window_4_lags_5_sinusoidal_no_linear,False,4,linear_lags_5_sinusoidal_no,0.486,0.254,86.471,87.062,True,True,False,2.654,-0.067,0,1.0,,,,,,,1.0,0.523,,,,,,
CPER-Cluster_2_yearly_False_window_4_lags_6_sinusoidal_no_linear,False,4,linear_lags_6_sinusoidal_no,0.823,0.249,75.557,75.795,True,True,False,2.698,0.624,0,1.0,,,,,,,,,1.0,0.168,,,,
CPER-Cluster_2_yearly_False_window_4_lags_none_sinusoidal_yes_linear,False,4,linear_lags_none_sinusoidal_yes,0.292,0.176,138.297,140.853,True,True,False,1.209,-1.276,0,1.0,,,,,,,,,,,1.0,1.0,0.584,0.858
CPER-Cluster_2_yearly_False_window_4_lags_2_sinusoidal_yes_linear,False,4,linear_lags_2_sinusoidal_yes,0.584,0.028,119.859,122.284,True,True,True,2.061,-6.244,0,1.0,1.0,0.089,,,,,,,,,1.0,1.0,0.408,0.214
