analysis_name,yearly_aggregate,window_size,config_type,r_squared,p_value,aic,bic,is_normal,is_homoscedastic,no_autocorrelation,durbin_watson,cv_r2_score,cv_r2_std,vif_PPT,vif_spline_0,vif_spline_1,vif_spline_2,p_value_spline_0,p_value_spline_1,p_value_spline_2,knots,vif_ortho_PPT_lag1,p_value_lag1,vif_ortho_PPT_lag2,p_value_lag2,vif_ortho_PPT_lag3,p_value_lag3,vif_ortho_PPT_lag4,p_value_lag4,vif_ortho_PPT_lag7,p_value_lag7,vif_ortho_sin_cycle,vif_ortho_cos_cycle,p_value_sin,p_value_cos
Croplands_cluster_0_yearly_True_window_6_lags_none_sinusoidal_no_spline,True,6,spline_lags_none_sinusoidal_no,0.242,0.382,457.979,464.64,False,True,False,0.558,-6.759,0,1.0,1.0,1.0,1.0,0.729,0.11,0.604,"[np.float64(494.9905), np.float64(554.9015), np.float64(561.79825), np.float64(572.61475), np.float64(614.68)]",,,,,,,,,,,,,,
Croplands_cluster_0_yearly_True_window_6_lags_1_sinusoidal_no_spline,True,6,spline_lags_1_sinusoidal_no,0.252,0.191,440.693,448.468,False,True,False,0.499,-64.455,0,1.0,1.064,1.055,1.157,0.363,0.492,0.956,"[np.float64(494.9905), np.float64(554.9015), np.float64(567.3344), np.float64(574.2795), np.float64(614.68)]",1.276,0.134,,,,,,,,,,,,
Croplands_cluster_0_yearly_True_window_6_lags_2_sinusoidal_no_spline,True,6,spline_lags_2_sinusoidal_no,0.119,0.386,426.593,434.142,False,True,False,0.635,-100.173,0,1.0,1.095,1.1,1.065,0.625,0.953,0.571,"[np.float64(494.9905), np.float64(558.89575), np.float64(570.95), np.float64(582.64675), np.float64(614.68)]",,,1.259,0.265,,,,,,,,,,
Croplands_cluster_0_yearly_True_window_6_lags_3_sinusoidal_no_spline,True,6,spline_lags_3_sinusoidal_no,0.067,0.572,409.163,416.477,True,True,False,0.652,-154.821,0,1.0,1.034,1.168,1.178,0.772,0.51,0.793,"[np.float64(494.9905), np.float64(554.9015), np.float64(562.3393), np.float64(577.609), np.float64(614.68)]",,,,,1.38,0.584,,,,,,,,
Croplands_cluster_0_yearly_True_window_6_lags_4_sinusoidal_no_spline,True,6,spline_lags_4_sinusoidal_no,0.073,0.357,393.801,400.869,False,True,False,0.578,-10.318,0,1.0,1.006,1.174,1.1,0.669,0.888,0.587,"[np.float64(494.9905), np.float64(554.9015), np.float64(567.30505), np.float64(579.28825), np.float64(614.68)]",,,,,,,1.28,0.309,,,,,,
Croplands_cluster_0_yearly_True_window_6_lags_7_sinusoidal_no_spline,True,6,spline_lags_7_sinusoidal_no,0.191,0.236,346.11,352.378,True,True,False,0.66,-609.137,0,1.0,1.045,1.041,1.002,0.336,0.744,0.561,"[np.float64(494.9905), np.float64(543.9995), np.float64(567.85), np.float64(577.609), np.float64(614.68)]",,,,,,,,,1.088,0.616,,,,
Croplands_cluster_0_yearly_True_window_6_lags_none_sinusoidal_yes_spline,True,6,spline_lags_none_sinusoidal_yes,0.273,0.26,460.832,470.158,False,True,False,0.522,-10.574,0,1.0,1.024,1.043,1.055,0.676,0.209,0.512,"[np.float64(494.9905), np.float64(554.9015), np.float64(561.79825), np.float64(572.61475), np.float64(614.68)]",,,,,,,,,,,1.016,1.106,0.439,0.585
Croplands_cluster_0_yearly_True_window_6_lags_1_sinusoidal_yes_spline,True,6,spline_lags_1_sinusoidal_yes,0.255,0.207,444.582,454.949,False,True,False,0.468,-140.291,0,1.0,1.113,1.092,1.169,0.385,0.566,0.99,"[np.float64(494.9905), np.float64(554.9015), np.float64(567.3344), np.float64(574.2795), np.float64(614.68)]",1.287,0.147,,,,,,,,,1.022,1.065,0.865,0.828
Croplands_cluster_0_yearly_True_window_6_lags_2_sinusoidal_yes_spline,True,6,spline_lags_2_sinusoidal_yes,0.139,0.371,429.983,440.048,False,True,False,0.609,-339.143,0,1.0,1.256,1.154,1.16,0.585,0.937,0.505,"[np.float64(494.9905), np.float64(558.89575), np.float64(570.95), np.float64(582.64675), np.float64(614.68)]",,,1.274,0.266,,,,,,,1.026,1.27,0.58,0.731
Croplands_cluster_0_yearly_True_window_6_lags_3_sinusoidal_yes_spline,True,6,spline_lags_3_sinusoidal_yes,0.095,0.461,412.409,422.16,False,True,False,0.58,-520.378,0,1.0,1.064,1.217,1.307,0.751,0.648,0.947,"[np.float64(494.9905), np.float64(554.9015), np.float64(562.3393), np.float64(577.609), np.float64(614.68)]",,,,,1.415,0.576,,,,,1.098,1.074,0.526,0.72
