analysis_name,yearly_aggregate,window_size,config_type,r_squared,p_value,aic,bic,is_normal,is_homoscedastic,no_autocorrelation,durbin_watson,cv_r2_score,cv_r2_std,vif_PPT,vif_ortho_PPT_lag1,p_value_lag1,vif_ortho_PPT_lag2,p_value_lag2,vif_ortho_PPT_lag3,p_value_lag3,vif_ortho_PPT_lag4,p_value_lag4,vif_ortho_PPT_lag7,p_value_lag7,vif_ortho_sin_cycle,vif_ortho_cos_cycle,p_value_sin,p_value_cos
Croplands_cluster_0_yearly_False_window_5_lags_7_sinusoidal_yes_linear,False,5,linear_lags_7_sinusoidal_yes,0.227,0.946,782.138,791.281,False,True,False,1.117,0.082,0,1.0,,,,,,,,,1.0,0.111,1.0,1.0,0.294,0.079
Croplands_cluster_0_yearly_True_window_5_lags_none_sinusoidal_no_linear,True,5,linear_lags_none_sinusoidal_no,0.112,0.082,460.665,463.329,False,True,False,0.571,0.093,0,1.0,,,,,,,,,,,,,,
Croplands_cluster_0_yearly_True_window_5_lags_1_sinusoidal_no_linear,True,5,linear_lags_1_sinusoidal_no,0.135,0.129,443.231,447.118,False,True,False,0.633,-0.03,0,1.0,1.0,0.135,,,,,,,,,,,,
Croplands_cluster_0_yearly_True_window_5_lags_2_sinusoidal_no_linear,True,5,linear_lags_2_sinusoidal_no,0.122,0.151,425.488,429.262,False,True,False,0.568,0.061,0,1.0,,,1.0,0.096,,,,,,,,,,
Croplands_cluster_0_yearly_True_window_5_lags_3_sinusoidal_no_linear,True,5,linear_lags_3_sinusoidal_no,0.055,0.273,409.253,412.91,False,True,False,0.55,-0.23,0,1.0,,,,,1.0,0.415,,,,,,,,
Croplands_cluster_0_yearly_True_window_5_lags_4_sinusoidal_no_linear,True,5,linear_lags_4_sinusoidal_no,0.025,0.474,394.307,397.841,True,True,False,0.582,-1.792,0,1.0,,,,,,,1.0,0.643,,,,,,
Croplands_cluster_0_yearly_True_window_5_lags_7_sinusoidal_no_linear,True,5,linear_lags_7_sinusoidal_no,0.109,0.181,346.038,349.171,True,True,False,0.48,-0.315,0,1.0,,,,,,,,,1.0,0.461,,,,
Croplands_cluster_0_yearly_True_window_5_lags_none_sinusoidal_yes_linear,True,5,linear_lags_none_sinusoidal_yes,0.132,0.086,464.029,469.358,False,True,False,0.568,0.021,0,1.0,,,,,,,,,,,1.0,1.0,0.832,0.483
Croplands_cluster_0_yearly_True_window_5_lags_1_sinusoidal_yes_linear,True,5,linear_lags_1_sinusoidal_yes,0.14,0.164,447.067,453.546,False,True,False,0.605,-0.164,0,1.0,1.0,0.156,,,,,,,,,1.0,1.0,0.763,0.844
Croplands_cluster_0_yearly_True_window_5_lags_2_sinusoidal_yes_linear,True,5,linear_lags_2_sinusoidal_yes,0.125,0.173,429.411,435.702,False,True,False,0.562,-0.628,0,1.0,,,1.0,0.113,,,,,,,1.0,1.0,0.972,0.808
Croplands_cluster_0_yearly_True_window_5_lags_3_sinusoidal_yes_linear,True,5,linear_lags_3_sinusoidal_yes,0.064,0.281,413.006,419.1,True,True,False,0.533,-0.4,0,1.0,,,,,1.0,0.421,,,,,1.0,1.0,0.88,0.679
Croplands_cluster_0_yearly_True_window_5_lags_4_sinusoidal_yes_linear,True,5,linear_lags_4_sinusoidal_yes,0.028,0.489,398.241,404.132,True,True,False,0.572,-2.586,0,1.0,,,,,,,1.0,0.653,,,1.0,1.0,0.96,0.826
Croplands_cluster_0_yearly_True_window_5_lags_7_sinusoidal_yes_linear,True,5,linear_lags_7_sinusoidal_yes,0.118,0.199,349.818,355.041,True,True,False,0.494,-3.759,0,1.0,,,,,,,,,1.0,0.47,1.0,1.0,0.748,0.807
Croplands_cluster_0_yearly_False_window_6_lags_none_sinusoidal_no_linear,False,6,linear_lags_none_sinusoidal_no,0.106,0.018,908.313,912.254,False,True,False,1.035,0.045,0,1.0,,,,,,,,,,,,,,
Croplands_cluster_0_yearly_False_window_6_lags_1_sinusoidal_no_linear,False,6,linear_lags_1_sinusoidal_no,0.099,0.038,872.74,878.594,False,True,False,1.066,0.035,0,1.0,1.0,0.085,,,,,,,,,,,,
Croplands_cluster_0_yearly_False_window_6_lags_2_sinusoidal_no_linear,False,6,linear_lags_2_sinusoidal_no,0.147,0.014,863.464,869.259,False,False,False,0.898,0.088,0,1.0,,,1.0,0.02,,,,,,,,,,
Croplands_cluster_0_yearly_False_window_6_lags_3_sinusoidal_no_linear,False,6,linear_lags_3_sinusoidal_no,0.075,0.098,838.171,843.907,False,True,False,0.915,-0.076,0,1.0,,,,,1.0,0.821,,,,,,,,
Croplands_cluster_0_yearly_False_window_6_lags_4_sinusoidal_no_linear,False,6,linear_lags_4_sinusoidal_no,0.042,0.331,820.466,826.141,False,True,False,0.87,-0.005,0,1.0,,,,,,,1.0,0.934,,,,,,
Croplands_cluster_0_yearly_False_window_6_lags_7_sinusoidal_no_linear,False,6,linear_lags_7_sinusoidal_no,0.075,0.913,772.781,778.267,False,True,False,0.991,-0.134,0,1.0,,,,,,,,,1.0,0.265,,,,
Croplands_cluster_0_yearly_False_window_6_lags_none_sinusoidal_yes_linear,False,6,linear_lags_none_sinusoidal_yes,0.127,0.038,911.054,918.935,False,True,False,1.143,-0.029,0,1.0,,,,,,,,,,,1.0,1.0,0.415,0.486
Croplands_cluster_0_yearly_False_window_6_lags_1_sinusoidal_yes_linear,False,6,linear_lags_1_sinusoidal_yes,0.099,0.06,876.706,886.462,False,True,False,1.08,-0.058,0,1.0,1.0,0.1,,,,,,,,,1.0,1.0,0.956,0.868
Croplands_cluster_0_yearly_False_window_6_lags_2_sinusoidal_yes_linear,False,6,linear_lags_2_sinusoidal_yes,0.158,0.02,866.849,876.508,False,True,False,0.964,0.027,0,1.0,,,1.0,0.024,,,,,,,1.0,1.0,0.487,0.8
Croplands_cluster_0_yearly_False_window_6_lags_3_sinusoidal_yes_linear,False,6,linear_lags_3_sinusoidal_yes,0.094,0.153,841.133,850.693,False,True,False,0.967,-0.072,0,1.0,,,,,1.0,0.912,,,,,1.0,1.0,0.901,0.34
Croplands_cluster_0_yearly_False_window_6_lags_4_sinusoidal_yes_linear,False,6,linear_lags_4_sinusoidal_yes,0.063,0.456,823.398,832.857,False,True,False,0.913,-0.052,0,1.0,,,,,,,1.0,0.829,,,1.0,1.0,0.851,0.337
Croplands_cluster_0_yearly_False_window_6_lags_7_sinusoidal_yes_linear,False,6,linear_lags_7_sinusoidal_yes,0.098,0.945,775.648,784.792,False,True,False,1.068,-0.324,0,1.0,,,,,,,,,1.0,0.221,1.0,1.0,0.785,0.336
Croplands_cluster_0_yearly_True_window_6_lags_none_sinusoidal_no_linear,True,6,linear_lags_none_sinusoidal_no,0.134,0.056,455.741,458.405,False,True,False,0.449,0.09,0,1.0,,,,,,,,,,,,,,
