analysis_name,yearly_aggregate,window_size,config_type,r_squared,p_value,aic,bic,is_normal,is_homoscedastic,no_autocorrelation,durbin_watson,cv_r2_score,cv_r2_std,vif_PPT,vif_quadratic,p_value_quadratic,vif_ortho_PPT_lag2,p_value_lag2,vif_ortho_PPT_lag3,p_value_lag3,vif_ortho_PPT_lag4,p_value_lag4,vif_ortho_sin_cycle,vif_ortho_cos_cycle,p_value_sin,p_value_cos
CPER-Cluster_1_yearly_True_window_3_lags_4_sinusoidal_no_quadratic,True,3,quadratic_lags_4_sinusoidal_no,0.788,0.039,81.481,81.799,True,True,True,2.464,-0.05,0,2.456,2.552,0.99,,,,,1.096,0.237,,,,
CPER-Cluster_1_yearly_True_window_3_lags_none_sinusoidal_yes_quadratic,True,3,quadratic_lags_none_sinusoidal_yes,0.742,0.003,134.794,137.219,True,True,False,1.338,-2.219,0,1.906,1.938,0.225,,,,,,,1.03,1.002,0.27,0.216
CPER-Cluster_1_yearly_True_window_3_lags_2_sinusoidal_yes_quadratic,True,3,quadratic_lags_2_sinusoidal_yes,0.91,0.015,96.829,98.645,True,True,False,2.907,-0.267,0,2.192,2.568,0.995,1.001,0.63,,,,,1.175,1.2,0.387,0.124
CPER-Cluster_1_yearly_True_window_3_lags_3_sinusoidal_yes_quadratic,True,3,quadratic_lags_3_sinusoidal_yes,0.721,0.395,94.42,95.604,True,True,False,3.329,-4.904,0,5.176,7.61,0.608,,,1.03,0.82,,,3.329,1.075,0.862,0.748
CPER-Cluster_1_yearly_True_window_3_lags_4_sinusoidal_yes_quadratic,True,3,quadratic_lags_4_sinusoidal_yes,0.886,0.205,80.486,80.963,True,True,True,2.171,-4.317,0,2.907,3.344,0.676,,,,,1.126,0.321,1.121,1.19,0.683,0.453
CPER-Cluster_1_yearly_False_window_4_lags_none_sinusoidal_no_quadratic,False,4,quadratic_lags_none_sinusoidal_no,0.657,0.002,133.222,134.677,True,True,False,0.954,0.359,0,2.003,2.003,0.542,,,,,,,,,,
CPER-Cluster_1_yearly_False_window_4_lags_2_sinusoidal_no_quadratic,False,4,quadratic_lags_2_sinusoidal_no,0.874,0.009,92.653,93.864,True,True,False,1.355,-85.269,0,1.843,2.054,0.439,1.211,0.927,,,,,,,,
CPER-Cluster_1_yearly_False_window_4_lags_3_sinusoidal_no_quadratic,False,4,quadratic_lags_3_sinusoidal_no,0.713,0.053,86.584,87.372,True,True,False,1.455,0.047,0,1.853,1.853,0.866,,,1.0,0.631,,,,,,
CPER-Cluster_1_yearly_False_window_4_lags_4_sinusoidal_no_quadratic,False,4,quadratic_lags_4_sinusoidal_no,0.981,0.0,59.176,59.494,True,True,True,2.329,0.485,0,1.507,1.541,0.149,,,,,1.034,0.007,,,,
CPER-Cluster_1_yearly_False_window_4_lags_none_sinusoidal_yes_quadratic,False,4,quadratic_lags_none_sinusoidal_yes,0.718,0.004,134.847,137.271,True,True,True,1.58,0.248,0,2.614,3.224,0.274,,,,,,,1.071,1.538,0.337,0.413
CPER-Cluster_1_yearly_False_window_4_lags_2_sinusoidal_yes_quadratic,False,4,quadratic_lags_2_sinusoidal_yes,0.941,0.01,89.081,90.896,True,True,True,1.946,0.37,0,2.154,2.814,0.826,1.289,0.788,,,,,1.002,1.368,0.644,0.112
CPER-Cluster_1_yearly_False_window_4_lags_3_sinusoidal_yes_quadratic,False,4,quadratic_lags_3_sinusoidal_yes,0.868,0.084,83.621,84.805,True,True,False,1.056,-0.039,0,2.168,2.537,0.627,,,1.0,0.757,,,1.167,1.202,0.676,0.159
CPER-Cluster_1_yearly_False_window_4_lags_4_sinusoidal_yes_quadratic,False,4,quadratic_lags_4_sinusoidal_yes,0.991,0.034,57.155,57.631,True,True,True,2.238,0.391,0,1.536,1.629,0.186,,,,,1.036,0.085,1.007,1.051,0.28,0.535
CPER-Cluster_1_yearly_True_window_4_lags_none_sinusoidal_no_quadratic,True,4,quadratic_lags_none_sinusoidal_no,0.657,0.002,133.222,134.677,True,True,False,0.954,0.359,0,2.003,2.003,0.542,,,,,,,,,,
CPER-Cluster_1_yearly_True_window_4_lags_2_sinusoidal_no_quadratic,True,4,quadratic_lags_2_sinusoidal_no,0.874,0.009,92.653,93.864,True,True,False,1.355,-85.269,0,1.843,2.054,0.439,1.211,0.927,,,,,,,,
