analysis_name,yearly_aggregate,window_size,config_type,r_squared,p_value,aic,bic,is_normal,is_homoscedastic,no_autocorrelation,durbin_watson,cv_r2_score,cv_r2_std,vif_PPT,vif_segment,p_value_segment,breakpoint,vif_ortho_PPT_lag1,p_value_lag1,vif_ortho_PPT_lag2,p_value_lag2,vif_ortho_PPT_lag3,p_value_lag3,vif_ortho_PPT_lag4,p_value_lag4,vif_ortho_PPT_lag7,p_value_lag7,vif_ortho_sin_cycle,vif_ortho_cos_cycle,p_value_sin,p_value_cos
Croplands_cluster_0_yearly_False_window_4_lags_1_sinusoidal_yes_piecewise,False,4,piecewise_lags_1_sinusoidal_yes,0.336,0.587,908.078,919.786,True,True,False,1.057,0.108,0,6.026,6.573,0.278,475.7,1.429,0.0,,,,,,,,,1.004,1.114,0.427,0.504
Croplands_cluster_0_yearly_False_window_4_lags_2_sinusoidal_yes_piecewise,False,4,piecewise_lags_2_sinusoidal_yes,0.192,0.233,904.943,916.534,True,False,True,1.52,-0.22,0,6.579,7.28,0.129,475.7,,,1.665,0.106,,,,,,,1.004,1.032,0.132,0.36
Croplands_cluster_0_yearly_False_window_4_lags_3_sinusoidal_yes_piecewise,False,4,piecewise_lags_3_sinusoidal_yes,0.191,0.14,886.678,898.15,False,True,False,1.446,-9.683,0,6.687,7.418,0.091,475.32985,,,,,1.712,0.473,,,,,1.006,1.012,0.064,0.215
Croplands_cluster_0_yearly_False_window_4_lags_4_sinusoidal_yes_piecewise,False,4,piecewise_lags_4_sinusoidal_yes,0.216,0.143,866.59,877.941,False,True,False,1.062,-0.056,0,10.324,12.217,0.051,474.9597,,,,,,,2.849,0.027,,,1.002,1.043,0.269,0.38
Croplands_cluster_0_yearly_False_window_4_lags_7_sinusoidal_yes_piecewise,False,4,piecewise_lags_7_sinusoidal_yes,0.189,0.087,816.93,827.902,True,True,False,1.174,-0.572,0,11.597,13.806,0.049,473.84925,,,,,,,,,3.062,0.236,1.027,1.12,0.315,0.414
Croplands_cluster_0_yearly_True_window_4_lags_none_sinusoidal_no_piecewise,True,4,piecewise_lags_none_sinusoidal_no,0.408,0.001,456.203,460.199,True,True,False,1.174,0.363,0,3.826,3.826,0.0,512.2337636363636,,,,,,,,,,,,,,
Croplands_cluster_0_yearly_True_window_4_lags_1_sinusoidal_no_piecewise,True,4,piecewise_lags_1_sinusoidal_no,0.385,0.011,443.924,449.108,True,True,False,1.126,0.07,0,6.265,6.631,0.004,512.1602656565657,1.366,0.092,,,,,,,,,,,,
Croplands_cluster_0_yearly_True_window_4_lags_2_sinusoidal_no_piecewise,True,4,piecewise_lags_2_sinusoidal_no,0.267,0.139,429.978,435.011,True,True,False,0.659,-0.3,0,1.326,1.386,0.472,582.6223333333334,,,1.06,0.029,,,,,,,,,,
Croplands_cluster_0_yearly_True_window_4_lags_3_sinusoidal_no_piecewise,True,4,piecewise_lags_3_sinusoidal_no,0.325,0.121,408.212,413.087,True,True,False,1.159,-0.857,0,4.453,5.202,0.012,528.2328636363636,,,,,1.749,0.117,,,,,,,,
Croplands_cluster_0_yearly_True_window_4_lags_4_sinusoidal_no_piecewise,True,4,piecewise_lags_4_sinusoidal_no,0.378,0.012,391.143,395.855,True,True,False,1.38,0.254,0,16.476,19.498,0.003,508.0872727272727,,,,,,,4.022,0.183,,,,,,
Croplands_cluster_0_yearly_True_window_4_lags_7_sinusoidal_no_piecewise,True,4,piecewise_lags_7_sinusoidal_no,0.357,0.011,348.753,352.931,True,True,False,0.859,-0.069,0,9.495,11.4,0.008,505.89961111111114,,,,,,,,,2.905,0.831,,,,
Croplands_cluster_0_yearly_True_window_4_lags_none_sinusoidal_yes_piecewise,True,4,piecewise_lags_none_sinusoidal_yes,0.498,0.0,455.588,462.249,True,True,False,0.892,0.14,0,4.083,4.173,0.0,512.2337636363636,,,,,,,,,,,1.062,1.029,0.057,0.758
Croplands_cluster_0_yearly_True_window_4_lags_1_sinusoidal_yes_piecewise,True,4,piecewise_lags_1_sinusoidal_yes,0.453,0.005,444.748,452.524,True,True,False,0.914,-0.12,0,6.38,6.776,0.002,512.1602656565657,1.374,0.101,,,,,,,,,1.013,1.009,0.178,0.417
Croplands_cluster_0_yearly_True_window_4_lags_2_sinusoidal_yes_piecewise,True,4,piecewise_lags_2_sinusoidal_yes,0.297,0.099,432.888,440.437,True,True,False,0.658,-1.488,0,1.339,1.44,0.517,582.6223333333334,,,1.062,0.023,,,,,,,1.005,1.034,0.751,0.389
Croplands_cluster_0_yearly_True_window_4_lags_3_sinusoidal_yes_piecewise,True,4,piecewise_lags_3_sinusoidal_yes,0.504,0.143,404.519,411.833,True,True,False,0.818,-0.72,0,5.39,6.614,0.002,528.2328636363636,,,,,1.952,0.018,,,,,1.268,1.004,0.017,0.927
Croplands_cluster_0_yearly_True_window_4_lags_4_sinusoidal_yes_piecewise,True,4,piecewise_lags_4_sinusoidal_yes,0.439,0.009,392.69,399.759,True,True,False,1.273,-0.927,0,17.24,20.46,0.002,508.0872727272727,,,,,,,4.171,0.178,,,1.0,1.049,0.24,0.505
Croplands_cluster_0_yearly_True_window_4_lags_7_sinusoidal_yes_piecewise,True,4,piecewise_lags_7_sinusoidal_yes,0.42,0.01,350.601,356.868,True,True,False,0.678,-7.078,0,9.612,11.556,0.007,505.89961111111114,,,,,,,,,2.931,0.915,1.004,1.01,0.225,0.904
Croplands_cluster_0_yearly_False_window_5_lags_none_sinusoidal_no_piecewise,False,5,piecewise_lags_none_sinusoidal_no,0.253,0.008,911.357,917.268,False,True,False,1.393,-0.578,0,3.63,3.63,0.014,500.913,,,,,,,,,,,,,,
Croplands_cluster_0_yearly_False_window_5_lags_1_sinusoidal_no_piecewise,False,5,piecewise_lags_1_sinusoidal_no,0.162,0.416,883.684,891.489,False,False,False,1.202,0.009,0,3.033,3.27,0.193,519.3731767676768,1.237,0.217,,,,,,,,,,,,
Croplands_cluster_0_yearly_False_window_5_lags_2_sinusoidal_no_piecewise,False,5,piecewise_lags_2_sinusoidal_no,0.211,0.396,872.851,880.579,False,False,False,0.949,0.127,0,3.393,3.806,0.151,519.2995858585858,,,1.413,0.09,,,,,,,,,,
Croplands_cluster_0_yearly_False_window_5_lags_3_sinusoidal_no_piecewise,False,5,piecewise_lags_3_sinusoidal_no,0.186,0.21,847.019,854.667,False,False,False,1.053,0.114,0,4.138,4.924,0.098,519.307795959596,,,,,1.786,0.703,,,,,,,,
Croplands_cluster_0_yearly_False_window_5_lags_4_sinusoidal_no_piecewise,False,5,piecewise_lags_4_sinusoidal_no,0.165,0.176,830.597,838.164,False,False,False,1.01,0.036,0,4.57,5.659,0.104,519.316006060606,,,,,,,2.089,0.408,,,,,,
Croplands_cluster_0_yearly_False_window_5_lags_7_sinusoidal_no_piecewise,False,5,piecewise_lags_7_sinusoidal_no,0.202,0.128,781.587,788.902,False,True,False,1.181,0.129,0,4.687,6.04,0.09,519.3406363636363,,,,,,,,,2.353,0.16,,,,
