analysis_name,yearly_aggregate,window_size,config_type,r_squared,p_value,aic,bic,is_normal,is_homoscedastic,no_autocorrelation,durbin_watson,cv_r2_score,cv_r2_std,vif_PPT,vif_segment,p_value_segment,breakpoint,vif_ortho_PPT_lag1,p_value_lag1,vif_ortho_PPT_lag2,p_value_lag2,vif_ortho_PPT_lag3,p_value_lag3,vif_ortho_PPT_lag4,p_value_lag4,vif_ortho_PPT_lag5,p_value_lag5,vif_ortho_sin_cycle,vif_ortho_cos_cycle,p_value_sin,p_value_cos
Croplands_yearly_True_window_5_lags_5_sinusoidal_no_piecewise,True,5,piecewise_lags_5_sinusoidal_no,0.749,0.0,529.987,536.092,True,False,False,0.639,0.704,0,1.242,1.419,0.002,845.8101659912847,,,,,,,,,1.177,0.02,,,,
Croplands_yearly_True_window_5_lags_none_sinusoidal_yes_piecewise,True,5,piecewise_lags_none_sinusoidal_yes,0.702,0.0,610.983,619.301,True,True,False,0.613,0.661,0,1.422,1.489,0.0,803.3176425504768,,,,,,,,,,,1.03,1.037,0.034,0.162
Croplands_yearly_True_window_5_lags_1_sinusoidal_yes_piecewise,True,5,piecewise_lags_1_sinusoidal_yes,0.788,0.0,586.599,596.425,True,False,False,1.257,0.674,0,1.235,1.412,0.0,844.7187540576488,1.034,0.013,,,,,,,,,1.063,1.08,0.052,0.129
Croplands_yearly_True_window_5_lags_2_sinusoidal_yes_piecewise,True,5,piecewise_lags_2_sinusoidal_yes,0.831,0.0,563.399,573.065,True,False,False,1.045,0.626,0,1.237,1.518,0.0,847.197413306692,,,1.094,0.001,,,,,,,1.088,1.099,0.007,0.11
Croplands_yearly_True_window_5_lags_3_sinusoidal_yes_piecewise,True,5,piecewise_lags_3_sinusoidal_yes,0.779,0.0,560.66,570.161,True,False,False,0.724,0.648,0,1.265,1.616,0.0,846.2104926015107,,,,,1.146,0.036,,,,,1.105,1.1,0.04,0.216
Croplands_yearly_True_window_5_lags_4_sinusoidal_yes_piecewise,True,5,piecewise_lags_4_sinusoidal_yes,0.758,0.0,548.934,558.266,True,False,False,0.592,0.623,0,1.277,1.655,0.001,846.6618381335614,,,,,,,1.19,0.073,,,1.123,1.065,0.035,0.495
Croplands_yearly_True_window_5_lags_5_sinusoidal_yes_piecewise,True,5,piecewise_lags_5_sinusoidal_yes,0.773,0.0,530.52,539.678,True,False,False,0.702,0.671,0,1.271,1.588,0.001,845.8101659912847,,,,,,,,,1.198,0.025,1.073,1.046,0.094,0.872
Croplands_yearly_False_window_6_lags_none_sinusoidal_no_piecewise,False,6,piecewise_lags_none_sinusoidal_no,0.281,0.0,3093.923,3103.435,False,False,False,0.699,0.265,0,1.527,1.527,0.021,831.9309948818182,,,,,,,,,,,,,,
Croplands_yearly_False_window_6_lags_1_sinusoidal_no_piecewise,False,6,piecewise_lags_1_sinusoidal_no,0.281,0.0,3079.332,3091.991,False,False,False,0.7,0.257,0,1.573,1.606,0.02,828.6475335271381,1.034,0.906,,,,,,,,,,,,
Croplands_yearly_False_window_6_lags_2_sinusoidal_no_piecewise,False,6,piecewise_lags_2_sinusoidal_no,0.292,0.0,3063.889,3076.525,True,False,False,0.686,0.25,0,1.558,1.617,0.012,835.1847369656566,,,1.059,0.523,,,,,,,,,,
Croplands_yearly_False_window_6_lags_3_sinusoidal_no_piecewise,False,6,piecewise_lags_3_sinusoidal_no,0.135,0.0,3149.871,3162.484,False,False,False,0.821,0.1,0,1.539,1.608,0.046,841.7342760246465,,,,,1.07,0.606,,,,,,,,
Croplands_yearly_False_window_6_lags_4_sinusoidal_no_piecewise,False,6,piecewise_lags_4_sinusoidal_no,0.286,0.0,3029.355,3041.945,True,False,False,0.704,0.253,0,1.621,1.707,0.019,829.8587508557913,,,,,,,1.086,0.908,,,,,,
Croplands_yearly_False_window_6_lags_5_sinusoidal_no_piecewise,False,6,piecewise_lags_5_sinusoidal_no,0.134,0.0,3116.185,3128.752,False,False,False,0.808,0.081,0,1.557,1.661,0.065,838.4460480882154,,,,,,,,,1.105,0.951,,,,
Croplands_yearly_False_window_6_lags_none_sinusoidal_yes_piecewise,False,6,piecewise_lags_none_sinusoidal_yes,0.282,0.0,3097.684,3113.537,False,False,False,0.702,0.26,0,1.561,1.627,0.036,831.9309948818182,,,,,,,,,,,1.003,1.063,0.801,0.693
Croplands_yearly_False_window_6_lags_1_sinusoidal_yes_piecewise,False,6,piecewise_lags_1_sinusoidal_yes,0.283,0.0,3083.051,3102.04,True,False,False,0.702,0.247,0,1.619,1.737,0.036,828.6475335271381,1.037,0.89,,,,,,,,,1.003,1.078,0.787,0.668
Croplands_yearly_False_window_6_lags_2_sinusoidal_yes_piecewise,False,6,piecewise_lags_2_sinusoidal_yes,0.294,0.0,3067.333,3086.288,True,False,False,0.688,0.239,0,1.608,1.762,0.032,835.1847369656566,,,1.064,0.503,,,,,,,1.003,1.087,0.978,0.465
Croplands_yearly_False_window_6_lags_3_sinusoidal_yes_piecewise,False,6,piecewise_lags_3_sinusoidal_yes,0.142,0.0,3152.565,3171.485,False,False,False,0.838,0.088,0,1.588,1.756,0.075,841.7342760246465,,,,,1.076,0.552,,,,,1.002,1.09,0.516,0.37
Croplands_yearly_False_window_6_lags_4_sinusoidal_yes_piecewise,False,6,piecewise_lags_4_sinusoidal_yes,0.287,0.0,3033.041,3051.925,True,False,False,0.706,0.213,0,1.692,1.901,0.035,829.8587508557913,,,,,,,1.096,0.875,,,1.005,1.109,0.879,0.602
Croplands_yearly_False_window_6_lags_5_sinusoidal_yes_piecewise,False,6,piecewise_lags_5_sinusoidal_yes,0.142,0.0,3118.554,3137.404,False,False,False,0.826,0.043,0,1.625,1.864,0.105,838.4460480882154,,,,,,,,,1.117,0.961,1.007,1.115,0.454,0.329
Croplands_yearly_True_window_6_lags_none_sinusoidal_no_piecewise,True,6,piecewise_lags_none_sinusoidal_no,0.631,0.0,609.992,614.983,True,False,False,0.319,0.595,0,1.317,1.317,0.008,817.8868222798889,,,,,,,,,,,,,,
Croplands_yearly_True_window_6_lags_1_sinusoidal_no_piecewise,True,6,piecewise_lags_1_sinusoidal_no,0.781,0.0,578.498,585.049,True,False,False,0.914,0.65,0,1.236,1.278,0.0,831.8391825736953,1.042,0.001,,,,,,,,,,,,
Croplands_yearly_True_window_6_lags_2_sinusoidal_no_piecewise,True,6,piecewise_lags_2_sinusoidal_no,0.82,0.0,556.704,563.148,True,False,False,0.811,0.741,0,1.225,1.321,0.0,831.9508443097734,,,1.097,0.0,,,,,,,,,,
Croplands_yearly_True_window_6_lags_3_sinusoidal_no_piecewise,True,6,piecewise_lags_3_sinusoidal_no,0.746,0.0,557.296,563.63,True,False,False,0.433,0.565,0,1.231,1.338,0.005,833.6969461722398,,,,,1.107,0.015,,,,,,,,
