analysis_name,yearly_aggregate,window_size,config_type,r_squared,p_value,aic,bic,is_normal,is_homoscedastic,no_autocorrelation,durbin_watson,cv_r2_score,cv_r2_std,vif_PPT,vif_ortho_sin_cycle,vif_ortho_cos_cycle,p_value_sin,p_value_cos
KBS_yearly_True_window_7_lags_none_sinusoidal_no_linear,True,7,linear_lags_none_sinusoidal_no,0.277,0.002,544.158,547.089,True,False,False,0.811,0.068,0,1.0,,,,
KBS_yearly_True_window_7_lags_none_sinusoidal_yes_linear,True,7,linear_lags_none_sinusoidal_yes,0.278,0.003,548.107,553.97,True,True,False,0.812,0.007,0,1.0,1.0,1.0,0.866,0.9
KBS_yearly_False_window_8_lags_none_sinusoidal_no_linear,False,8,linear_lags_none_sinusoidal_no,0.309,0.001,539.549,542.48,True,True,False,0.593,0.217,0,1.0,,,,
KBS_yearly_False_window_8_lags_none_sinusoidal_yes_linear,False,8,linear_lags_none_sinusoidal_yes,0.321,0.001,542.975,548.837,True,True,False,0.556,0.041,0,1.0,1.0,1.0,0.77,0.522
KBS_yearly_True_window_8_lags_none_sinusoidal_no_linear,True,8,linear_lags_none_sinusoidal_no,0.309,0.001,539.549,542.48,True,True,False,0.593,0.217,0,1.0,,,,
KBS_yearly_True_window_8_lags_none_sinusoidal_yes_linear,True,8,linear_lags_none_sinusoidal_yes,0.321,0.001,542.975,548.837,True,True,False,0.556,0.041,0,1.0,1.0,1.0,0.77,0.522
KBS_yearly_False_window_9_lags_none_sinusoidal_no_linear,False,9,linear_lags_none_sinusoidal_no,0.379,0.0,529.772,532.704,True,False,False,0.306,0.291,0,1.0,,,,
KBS_yearly_False_window_9_lags_none_sinusoidal_yes_linear,False,9,linear_lags_none_sinusoidal_yes,0.384,0.0,533.504,539.367,True,False,False,0.282,0.162,0,1.0,1.0,1.0,0.915,0.64
KBS_yearly_True_window_9_lags_none_sinusoidal_no_linear,True,9,linear_lags_none_sinusoidal_no,0.379,0.0,529.772,532.704,True,False,False,0.306,0.291,0,1.0,,,,
KBS_yearly_True_window_9_lags_none_sinusoidal_yes_linear,True,9,linear_lags_none_sinusoidal_yes,0.384,0.0,533.504,539.367,True,False,False,0.282,0.162,0,1.0,1.0,1.0,0.915,0.64
KBS_yearly_False_window_10_lags_none_sinusoidal_no_linear,False,10,linear_lags_none_sinusoidal_no,0.345,0.0,530.006,532.938,True,False,False,0.564,0.277,0,1.0,,,,
KBS_yearly_False_window_10_lags_none_sinusoidal_yes_linear,False,10,linear_lags_none_sinusoidal_yes,0.349,0.001,533.79,539.653,True,True,False,0.542,0.173,0,1.0,1.0,1.0,0.98,0.667
KBS_yearly_True_window_10_lags_none_sinusoidal_no_linear,True,10,linear_lags_none_sinusoidal_no,0.345,0.0,530.006,532.938,True,False,False,0.564,0.277,0,1.0,,,,
KBS_yearly_True_window_10_lags_none_sinusoidal_yes_linear,True,10,linear_lags_none_sinusoidal_yes,0.349,0.001,533.79,539.653,True,True,False,0.542,0.173,0,1.0,1.0,1.0,0.98,0.667
