analysis_name,yearly_aggregate,window_size,config_type,r_squared,p_value,aic,bic,is_normal,is_homoscedastic,no_autocorrelation,durbin_watson,cv_r2_score,cv_r2_std,vif_PPT,vif_quadratic,p_value_quadratic,vif_ortho_PPT_lag1,p_value_lag1,vif_ortho_PPT_lag2,p_value_lag2,vif_ortho_PPT_lag3,p_value_lag3,vif_ortho_PPT_lag4,p_value_lag4,vif_ortho_PPT_lag5,p_value_lag5,vif_ortho_sin_cycle,vif_ortho_cos_cycle,p_value_sin,p_value_cos
Croplands_yearly_False_window_4_lags_1_sinusoidal_no_quadratic,False,4,quadratic_lags_1_sinusoidal_no,0.205,0.0,3193.101,3205.76,False,False,False,0.95,0.188,0,1.767,1.767,0.013,1.0,0.295,,,,,,,,,,,,
Croplands_yearly_False_window_4_lags_2_sinusoidal_no_quadratic,False,4,quadratic_lags_2_sinusoidal_no,0.206,0.0,3177.573,3190.209,False,False,False,0.924,0.188,0,1.775,1.775,0.008,,,1.0,0.417,,,,,,,,,,
Croplands_yearly_False_window_4_lags_3_sinusoidal_no_quadratic,False,4,quadratic_lags_3_sinusoidal_no,0.147,0.0,3217.285,3229.898,False,False,False,0.961,0.088,0,1.791,1.792,0.094,,,,,1.002,0.42,,,,,,,,
Croplands_yearly_False_window_4_lags_4_sinusoidal_no_quadratic,False,4,quadratic_lags_4_sinusoidal_no,0.212,0.0,3140.196,3152.786,False,False,False,0.914,0.175,0,1.815,1.823,0.012,,,,,,,1.008,0.137,,,,,,
Croplands_yearly_False_window_4_lags_5_sinusoidal_no_quadratic,False,4,quadratic_lags_5_sinusoidal_no,0.145,0.0,3182.028,3194.594,False,False,False,0.954,0.087,0,1.805,1.823,0.107,,,,,,,,,1.017,0.318,,,,
Croplands_yearly_False_window_4_lags_none_sinusoidal_yes_quadratic,False,4,quadratic_lags_none_sinusoidal_yes,0.195,0.0,3216.262,3232.114,False,False,False,0.919,0.113,0,1.83,1.924,0.029,,,,,,,,,,,1.063,1.032,0.989,0.761
Croplands_yearly_False_window_4_lags_1_sinusoidal_yes_quadratic,False,4,quadratic_lags_1_sinusoidal_yes,0.206,0.0,3196.956,3215.945,False,False,False,0.949,0.166,0,1.838,1.93,0.021,1.0,0.305,,,,,,,,,1.063,1.029,0.995,0.709
Croplands_yearly_False_window_4_lags_2_sinusoidal_yes_quadratic,False,4,quadratic_lags_2_sinusoidal_yes,0.207,0.0,3181.28,3200.234,False,False,False,0.924,0.169,0,1.845,1.936,0.017,,,1.0,0.436,,,,,,,1.063,1.028,0.888,0.606
Croplands_yearly_False_window_4_lags_3_sinusoidal_yes_quadratic,False,4,quadratic_lags_3_sinusoidal_yes,0.149,0.0,3220.765,3239.685,False,False,False,0.963,0.065,0,1.856,1.941,0.125,,,,,1.002,0.47,,,,,1.057,1.025,0.816,0.507
Croplands_yearly_False_window_4_lags_4_sinusoidal_yes_quadratic,False,4,quadratic_lags_4_sinusoidal_yes,0.215,0.0,3143.503,3162.388,False,False,False,0.914,0.153,0,1.872,1.95,0.023,,,,,,,1.009,0.121,,,1.046,1.024,0.983,0.414
Croplands_yearly_False_window_4_lags_5_sinusoidal_yes_quadratic,False,4,quadratic_lags_5_sinusoidal_yes,0.152,0.0,3184.585,3203.435,False,False,False,0.958,0.057,0,1.863,1.952,0.157,,,,,,,,,1.019,0.265,1.05,1.021,0.848,0.247
Croplands_yearly_True_window_4_lags_none_sinusoidal_no_quadratic,True,4,quadratic_lags_none_sinusoidal_no,0.621,0.0,620.623,625.614,True,False,False,0.462,0.58,0,1.956,1.956,0.031,,,,,,,,,,,,,,
Croplands_yearly_True_window_4_lags_1_sinusoidal_no_quadratic,True,4,quadratic_lags_1_sinusoidal_no,0.723,0.0,598.907,605.458,True,False,False,0.771,0.694,0,2.071,2.073,0.009,1.001,0.043,,,,,,,,,,,,
Croplands_yearly_True_window_4_lags_2_sinusoidal_no_quadratic,True,4,quadratic_lags_2_sinusoidal_no,0.699,0.0,584.496,590.94,True,False,False,0.561,0.656,0,2.067,2.075,0.009,,,1.009,0.039,,,,,,,,,,
Croplands_yearly_True_window_4_lags_3_sinusoidal_no_quadratic,True,4,quadratic_lags_3_sinusoidal_no,0.688,0.0,572.569,578.903,True,False,False,0.483,0.552,0,2.085,2.086,0.039,,,,,1.001,0.206,,,,,,,,
Croplands_yearly_True_window_4_lags_4_sinusoidal_no_quadratic,True,4,quadratic_lags_4_sinusoidal_no,0.659,0.0,562.15,568.371,True,False,False,0.383,0.39,0,1.693,1.727,0.338,,,,,,,1.034,0.205,,,,,,
