analysis_name,yearly_aggregate,window_size,config_type,r_squared,p_value,aic,bic,is_normal,is_homoscedastic,no_autocorrelation,durbin_watson,cv_r2_score,cv_r2_std,vif_PPT,vif_ortho_PPT_lag2,p_value_lag2,vif_ortho_PPT_lag3,p_value_lag3,vif_ortho_sin_cycle,vif_ortho_cos_cycle,p_value_sin,p_value_cos
CPER-Cluster_0_yearly_True_window_2_lags_2_sinusoidal_yes_linear,True,2,linear_lags_2_sinusoidal_yes,0.376,0.397,119.0,119.986,True,True,True,1.586,-4.337,0,1.0,1.0,0.25,,,1.0,1.0,0.892,0.649
CPER-Cluster_0_yearly_True_window_2_lags_3_sinusoidal_yes_linear,True,2,linear_lags_3_sinusoidal_yes,0.941,0.182,87.018,87.415,True,True,True,1.737,-1.295,0,1.0,,,1.0,0.228,1.0,1.0,0.325,0.024
CPER-Cluster_0_yearly_False_window_3_lags_none_sinusoidal_no_linear,False,3,linear_lags_none_sinusoidal_no,0.362,0.05,114.75,115.546,True,True,False,0.999,-0.45,0,1.0,,,,,,,,
CPER-Cluster_0_yearly_False_window_3_lags_2_sinusoidal_no_linear,False,3,linear_lags_2_sinusoidal_no,0.644,0.018,89.566,90.158,True,True,True,2.163,0.138,0,1.0,1.0,0.113,,,,,,
CPER-Cluster_0_yearly_False_window_3_lags_3_sinusoidal_no_linear,False,3,linear_lags_3_sinusoidal_no,0.518,0.419,81.992,82.23,True,True,True,1.867,0.056,0,1.0,,,1.0,0.249,,,,
CPER-Cluster_0_yearly_False_window_3_lags_none_sinusoidal_yes_linear,False,3,linear_lags_none_sinusoidal_yes,0.51,0.05,115.854,117.445,True,True,False,1.364,-1.157,0,1.0,,,,,1.0,1.0,0.239,0.518
CPER-Cluster_0_yearly_False_window_3_lags_2_sinusoidal_yes_linear,False,3,linear_lags_2_sinusoidal_yes,0.698,0.048,92.086,93.072,True,True,False,2.859,-0.988,0,1.0,1.0,0.18,,,1.0,1.0,0.903,0.451
CPER-Cluster_0_yearly_False_window_3_lags_3_sinusoidal_yes_linear,False,3,linear_lags_3_sinusoidal_yes,0.806,0.366,78.71,79.107,True,True,False,3.193,-0.174,0,1.0,,,1.0,0.222,1.0,1.0,0.441,0.161
CPER-Cluster_0_yearly_True_window_3_lags_none_sinusoidal_no_linear,True,3,linear_lags_none_sinusoidal_no,0.362,0.05,114.75,115.546,True,True,False,0.999,-0.45,0,1.0,,,,,,,,
CPER-Cluster_0_yearly_True_window_3_lags_2_sinusoidal_no_linear,True,3,linear_lags_2_sinusoidal_no,0.644,0.018,89.566,90.158,True,True,True,2.163,0.138,0,1.0,1.0,0.113,,,,,,
CPER-Cluster_0_yearly_True_window_3_lags_3_sinusoidal_no_linear,True,3,linear_lags_3_sinusoidal_no,0.518,0.419,81.992,82.23,True,True,True,1.867,0.056,0,1.0,,,1.0,0.249,,,,
CPER-Cluster_0_yearly_True_window_3_lags_none_sinusoidal_yes_linear,True,3,linear_lags_none_sinusoidal_yes,0.51,0.05,115.854,117.445,True,True,False,1.364,-1.157,0,1.0,,,,,1.0,1.0,0.239,0.518
CPER-Cluster_0_yearly_True_window_3_lags_2_sinusoidal_yes_linear,True,3,linear_lags_2_sinusoidal_yes,0.698,0.048,92.086,93.072,True,True,False,2.859,-0.988,0,1.0,1.0,0.18,,,1.0,1.0,0.903,0.451
CPER-Cluster_0_yearly_True_window_3_lags_3_sinusoidal_yes_linear,True,3,linear_lags_3_sinusoidal_yes,0.806,0.366,78.71,79.107,True,True,False,3.193,-0.174,0,1.0,,,1.0,0.222,1.0,1.0,0.441,0.161
CPER-Cluster_0_yearly_False_window_4_lags_none_sinusoidal_no_linear,False,4,linear_lags_none_sinusoidal_no,0.161,0.221,117.874,118.67,True,True,False,0.942,-0.719,0,1.0,,,,,,,,
CPER-Cluster_0_yearly_False_window_4_lags_2_sinusoidal_no_linear,False,4,linear_lags_2_sinusoidal_no,0.296,0.17,95.876,96.468,True,True,True,2.25,-0.418,0,1.0,1.0,0.353,,,,,,
CPER-Cluster_0_yearly_False_window_4_lags_3_sinusoidal_no_linear,False,4,linear_lags_3_sinusoidal_no,0.325,0.488,81.733,81.972,True,True,True,2.297,-0.799,0,1.0,,,1.0,0.323,,,,
