analysis_name,yearly_aggregate,window_size,config_type,r_squared,p_value,aic,bic,is_normal,is_homoscedastic,no_autocorrelation,durbin_watson,cv_r2_score,cv_r2_std,vif_PPT,vif_ortho_PPT_lag2,p_value_lag2,vif_ortho_PPT_lag3,p_value_lag3,vif_ortho_PPT_lag4,p_value_lag4,vif_ortho_sin_cycle,vif_ortho_cos_cycle,p_value_sin,p_value_cos
CPER-Cluster_1_yearly_True_window_4_lags_2_sinusoidal_yes_linear,True,4,linear_lags_2_sinusoidal_yes,0.94,0.003,87.218,88.731,True,True,True,1.956,0.71,0,1.0,1.0,0.788,,,,,1.0,1.0,0.584,0.053
CPER-Cluster_1_yearly_True_window_4_lags_3_sinusoidal_yes_linear,True,4,linear_lags_3_sinusoidal_yes,0.855,0.051,82.453,83.439,True,True,False,1.35,0.238,0,1.0,,,1.0,0.797,,,1.0,1.0,0.77,0.12
CPER-Cluster_1_yearly_True_window_4_lags_4_sinusoidal_yes_linear,True,4,linear_lags_4_sinusoidal_yes,0.973,0.038,63.852,64.249,True,True,False,2.662,0.704,0,1.0,,,,,1.0,0.132,1.0,1.0,0.475,0.855
CPER-Cluster_1_yearly_False_window_5_lags_none_sinusoidal_no_linear,False,5,linear_lags_none_sinusoidal_no,0.829,0.0,118.478,119.448,True,True,True,1.678,0.779,0,1.0,,,,,,,,,,
CPER-Cluster_1_yearly_False_window_5_lags_2_sinusoidal_no_linear,False,5,linear_lags_2_sinusoidal_no,0.637,0.031,93.426,94.333,True,True,False,1.465,0.21,0,1.0,1.0,0.93,,,,,,,,
CPER-Cluster_1_yearly_False_window_5_lags_none_sinusoidal_yes_linear,False,5,linear_lags_none_sinusoidal_yes,0.835,0.0,122.077,124.017,True,True,True,1.789,0.719,0,1.0,,,,,,,1.0,1.0,0.924,0.62
CPER-Cluster_1_yearly_False_window_5_lags_2_sinusoidal_yes_linear,False,5,linear_lags_2_sinusoidal_yes,0.747,0.036,93.802,95.315,True,True,True,2.172,-0.652,0,1.0,1.0,0.968,,,,,1.0,1.0,0.63,0.228
CPER-Cluster_1_yearly_True_window_5_lags_none_sinusoidal_no_linear,True,5,linear_lags_none_sinusoidal_no,0.829,0.0,118.478,119.448,True,True,True,1.678,0.779,0,1.0,,,,,,,,,,
CPER-Cluster_1_yearly_True_window_5_lags_2_sinusoidal_no_linear,True,5,linear_lags_2_sinusoidal_no,0.637,0.031,93.426,94.333,True,True,False,1.465,0.21,0,1.0,1.0,0.93,,,,,,,,
CPER-Cluster_1_yearly_True_window_5_lags_none_sinusoidal_yes_linear,True,5,linear_lags_none_sinusoidal_yes,0.835,0.0,122.077,124.017,True,True,True,1.789,0.719,0,1.0,,,,,,,1.0,1.0,0.924,0.62
CPER-Cluster_1_yearly_True_window_5_lags_2_sinusoidal_yes_linear,True,5,linear_lags_2_sinusoidal_yes,0.747,0.036,93.802,95.315,True,True,True,2.172,-0.652,0,1.0,1.0,0.968,,,,,1.0,1.0,0.63,0.228
