analysis_name,yearly_aggregate,window_size,config_type,r_squared,p_value,aic,bic,is_normal,is_homoscedastic,no_autocorrelation,durbin_watson,cv_r2_score,cv_r2_std,vif_PPT,vif_quadratic,p_value_quadratic,vif_ortho_PPT_lag1,p_value_lag1,vif_ortho_PPT_lag2,p_value_lag2,vif_ortho_PPT_lag6,p_value_lag6,vif_ortho_sin_cycle,vif_ortho_cos_cycle,p_value_sin,p_value_cos
Croplands_cluster_1_yearly_False_window_2_lags_6_sinusoidal_yes_quadratic,False,2,quadratic_lags_6_sinusoidal_yes,0.157,0.412,940.03,951.257,True,True,False,1.019,0.045,0,1.667,2.194,0.129,,,,,1.43,0.101,1.0,1.097,0.134,0.928
Croplands_cluster_1_yearly_True_window_2_lags_none_sinusoidal_no_quadratic,True,2,quadratic_lags_none_sinusoidal_no,0.066,0.314,404.088,407.361,False,True,False,0.746,-0.055,0,2.012,2.012,0.427,,,,,,,,,,
Croplands_cluster_1_yearly_True_window_2_lags_1_sinusoidal_no_quadratic,True,2,quadratic_lags_1_sinusoidal_no,0.073,0.56,388.743,392.921,True,True,False,0.759,-0.41,0,2.124,2.126,0.544,1.002,0.739,,,,,,,,
Croplands_cluster_1_yearly_True_window_2_lags_2_sinusoidal_no_quadratic,True,2,quadratic_lags_2_sinusoidal_no,0.11,0.895,372.453,376.436,False,True,False,0.69,-0.506,0,1.987,1.99,0.414,,,1.002,0.604,,,,,,
Croplands_cluster_1_yearly_True_window_2_lags_6_sinusoidal_no_quadratic,True,2,quadratic_lags_6_sinusoidal_no,0.118,0.23,299.651,302.741,True,True,False,0.663,-3.072,0,2.068,2.103,0.864,,,,,1.035,0.484,,,,
Croplands_cluster_1_yearly_True_window_2_lags_none_sinusoidal_yes_quadratic,True,2,quadratic_lags_none_sinusoidal_yes,0.297,0.538,401.844,407.299,True,False,False,0.999,0.174,0,2.197,2.38,0.227,,,,,,,1.0,1.182,0.076,0.164
Croplands_cluster_1_yearly_True_window_2_lags_1_sinusoidal_yes_quadratic,True,2,quadratic_lags_1_sinusoidal_yes,0.342,0.976,385.54,391.808,True,True,False,1.011,-0.729,0,2.26,2.383,0.267,1.002,0.475,,,,,1.001,1.12,0.088,0.11
Croplands_cluster_1_yearly_True_window_2_lags_2_sinusoidal_yes_quadratic,True,2,quadratic_lags_2_sinusoidal_yes,0.437,0.299,367.273,373.248,True,True,False,1.147,-0.873,0,2.116,2.25,0.185,,,1.003,0.131,,,1.007,1.124,0.049,0.065
Croplands_cluster_1_yearly_True_window_2_lags_6_sinusoidal_yes_quadratic,True,2,quadratic_lags_6_sinusoidal_yes,0.75,0.156,283.46,288.096,True,True,True,1.751,-0.109,0,2.199,2.36,0.144,,,,,1.039,0.3,1.041,1.081,0.001,0.165
Croplands_cluster_1_yearly_False_window_3_lags_none_sinusoidal_no_quadratic,False,3,quadratic_lags_none_sinusoidal_no,0.031,0.82,1034.083,1040.05,True,True,False,0.774,-0.398,0,1.403,1.403,0.274,,,,,,,,,,
Croplands_cluster_1_yearly_False_window_3_lags_1_sinusoidal_no_quadratic,False,3,quadratic_lags_1_sinusoidal_no,0.038,0.638,1018.069,1025.95,True,True,False,0.75,-0.062,0,1.442,1.502,0.277,1.06,0.507,,,,,,,,
Croplands_cluster_1_yearly_False_window_3_lags_2_sinusoidal_no_quadratic,False,3,quadratic_lags_2_sinusoidal_no,0.043,0.638,999.399,1007.204,True,True,False,0.747,-0.038,0,1.489,1.637,0.3,,,1.148,0.463,,,,,,
Croplands_cluster_1_yearly_False_window_3_lags_6_sinusoidal_no_quadratic,False,3,quadratic_lags_6_sinusoidal_no,0.091,0.462,937.135,944.62,False,True,False,0.936,-0.133,0,1.515,1.598,0.374,,,,,1.083,0.138,,,,
Croplands_cluster_1_yearly_False_window_3_lags_none_sinusoidal_yes_quadratic,False,3,quadratic_lags_none_sinusoidal_yes,0.15,0.316,1030.986,1040.931,True,True,False,0.888,-0.187,0,1.438,1.522,0.055,,,,,,,1.061,1.024,0.013,0.6
Croplands_cluster_1_yearly_False_window_3_lags_1_sinusoidal_yes_quadratic,False,3,quadratic_lags_1_sinusoidal_yes,0.178,0.16,1013.744,1025.565,True,True,False,0.858,0.029,0,1.477,1.622,0.047,1.064,0.376,,,,,1.049,1.03,0.008,0.53
Croplands_cluster_1_yearly_False_window_3_lags_2_sinusoidal_yes_quadratic,False,3,quadratic_lags_2_sinusoidal_yes,0.19,0.147,994.735,1006.443,True,False,False,0.862,-0.112,0,1.532,1.782,0.055,,,1.161,0.301,,,1.053,1.036,0.008,0.419
Croplands_cluster_1_yearly_False_window_3_lags_6_sinusoidal_yes_quadratic,False,3,quadratic_lags_6_sinusoidal_yes,0.124,0.565,939.36,950.587,False,True,False,1.017,-0.256,0,1.599,1.859,0.23,,,,,1.096,0.151,1.153,1.01,0.256,0.645
Croplands_cluster_1_yearly_True_window_3_lags_none_sinusoidal_no_quadratic,True,3,quadratic_lags_none_sinusoidal_no,0.048,0.664,396.836,400.109,True,True,False,0.559,-0.541,0,1.971,1.971,0.541,,,,,,,,,,
