analysis_name,yearly_aggregate,window_size,config_type,r_squared,p_value,aic,bic,is_normal,is_homoscedastic,no_autocorrelation,durbin_watson,cv_r2_score,cv_r2_std,vif_PPT,vif_segment,p_value_segment,breakpoint,vif_ortho_PPT_lag1,p_value_lag1,vif_ortho_sin_cycle,vif_ortho_cos_cycle,p_value_sin,p_value_cos
Maize-Cluster_0_yearly_False_window_1_lags_none_sinusoidal_no_piecewise,False,1,piecewise_lags_none_sinusoidal_no,0.073,0.472,409.377,412.51,False,True,True,2.277,-0.24,0,1.125,1.125,0.264,681.6061911272727,,,,,,
Maize-Cluster_0_yearly_False_window_1_lags_1_sinusoidal_no_piecewise,False,1,piecewise_lags_1_sinusoidal_no,0.381,0.203,384.946,388.929,True,True,True,2.217,-1.42,0,1.135,1.213,0.177,681.7844710044444,1.078,0.012,,,,
Maize-Cluster_0_yearly_False_window_1_lags_none_sinusoidal_yes_piecewise,False,1,piecewise_lags_none_sinusoidal_yes,0.094,0.611,412.903,418.126,False,True,True,2.198,-0.796,0,1.127,1.14,0.35,681.6061911272727,,,1.0,1.013,0.784,0.619
Maize-Cluster_0_yearly_False_window_1_lags_1_sinusoidal_yes_piecewise,False,1,piecewise_lags_1_sinusoidal_yes,0.466,0.126,385.987,391.961,True,True,True,1.934,-2.629,0,1.139,1.251,0.274,681.7844710044444,1.081,0.009,1.009,1.022,0.516,0.217
Maize-Cluster_0_yearly_True_window_1_lags_none_sinusoidal_no_piecewise,True,1,piecewise_lags_none_sinusoidal_no,0.301,0.051,356.712,359.545,True,True,True,1.797,-0.39,0,3.201,3.201,0.022,563.2652484234344,,,,,,
Maize-Cluster_0_yearly_True_window_1_lags_1_sinusoidal_no_piecewise,True,1,piecewise_lags_1_sinusoidal_no,0.445,0.01,336.903,340.465,True,True,True,2.01,0.328,0,5.054,5.602,0.007,559.7283150836363,1.548,0.138,,,,
Maize-Cluster_0_yearly_True_window_1_lags_none_sinusoidal_yes_piecewise,True,1,piecewise_lags_none_sinusoidal_yes,0.305,0.076,360.604,365.326,True,True,True,1.733,-0.605,0,3.708,3.939,0.047,563.2652484234344,,,1.014,1.217,0.937,0.788
Maize-Cluster_0_yearly_True_window_1_lags_1_sinusoidal_yes_piecewise,True,1,piecewise_lags_1_sinusoidal_yes,0.451,0.02,340.707,346.05,True,True,True,1.936,-0.389,0,6.32,7.352,0.021,559.7283150836363,1.719,0.158,1.004,1.309,0.925,0.731
Maize-Cluster_0_yearly_False_window_2_lags_none_sinusoidal_no_piecewise,False,2,piecewise_lags_none_sinusoidal_no,0.083,0.334,393.277,396.411,True,True,False,1.154,-0.039,0,1.126,1.126,0.271,639.6396868686868,,,,,,
Maize-Cluster_0_yearly_False_window_2_lags_1_sinusoidal_no_piecewise,False,2,piecewise_lags_1_sinusoidal_no,0.385,0.017,369.808,373.791,True,True,False,1.152,-0.568,0,1.118,1.119,0.059,640.8821656565656,1.001,0.025,,,,
Maize-Cluster_0_yearly_False_window_2_lags_none_sinusoidal_yes_piecewise,False,2,piecewise_lags_none_sinusoidal_yes,0.106,0.327,396.743,401.965,True,True,False,1.229,-1.033,0,1.141,1.263,0.387,639.6396868686868,,,1.038,1.084,0.704,0.612
Maize-Cluster_0_yearly_False_window_2_lags_1_sinusoidal_yes_piecewise,False,2,piecewise_lags_1_sinusoidal_yes,0.454,0.018,371.435,377.409,True,True,False,1.234,-2.049,0,1.134,1.268,0.133,640.8821656565656,1.001,0.025,1.05,1.083,0.257,0.512
Maize-Cluster_0_yearly_True_window_2_lags_none_sinusoidal_no_piecewise,True,2,piecewise_lags_none_sinusoidal_no,0.126,0.765,346.566,349.399,False,True,False,1.116,-0.247,0,1.333,1.333,0.188,627.5574260606061,,,,,,
Maize-Cluster_0_yearly_True_window_2_lags_1_sinusoidal_no_piecewise,True,2,piecewise_lags_1_sinusoidal_no,0.261,0.089,328.628,332.189,True,True,False,1.261,-1.543,0,2.108,2.23,0.048,604.0541651515151,1.122,0.566,,,,
Maize-Cluster_0_yearly_True_window_2_lags_none_sinusoidal_yes_piecewise,True,2,piecewise_lags_none_sinusoidal_yes,0.16,0.692,349.825,354.548,True,True,False,1.219,-0.494,0,1.387,1.549,0.237,627.5574260606061,,,1.006,1.156,0.497,0.768
Maize-Cluster_0_yearly_True_window_2_lags_1_sinusoidal_yes_piecewise,True,2,piecewise_lags_1_sinusoidal_yes,0.335,0.078,330.727,336.069,True,True,False,1.397,-1.594,0,2.257,2.529,0.058,604.0541651515151,1.138,0.486,1.027,1.108,0.305,0.626
Maize-Cluster_0_yearly_False_window_3_lags_none_sinusoidal_no_piecewise,False,3,piecewise_lags_none_sinusoidal_no,0.093,0.593,378.783,381.917,True,True,False,0.774,-0.943,0,1.141,1.141,0.195,638.5160606060606,,,,,,
Maize-Cluster_0_yearly_False_window_3_lags_1_sinusoidal_no_piecewise,False,3,piecewise_lags_1_sinusoidal_no,0.271,0.433,358.636,362.619,True,True,False,0.914,-1.987,0,1.139,1.152,0.318,639.4982094221549,1.014,0.076,,,,
Maize-Cluster_0_yearly_False_window_3_lags_none_sinusoidal_yes_piecewise,False,3,piecewise_lags_none_sinusoidal_yes,0.102,0.632,382.58,387.803,True,True,False,0.813,-1.839,0,1.146,1.183,0.208,638.5160606060606,,,1.006,1.031,0.814,0.765
Maize-Cluster_0_yearly_False_window_3_lags_1_sinusoidal_yes_piecewise,False,3,piecewise_lags_1_sinusoidal_yes,0.293,0.509,362.005,367.979,True,True,False,0.91,-2.83,0,1.147,1.222,0.29,639.4982094221549,1.015,0.096,1.017,1.043,0.714,0.588
Maize-Cluster_0_yearly_True_window_3_lags_none_sinusoidal_no_piecewise,True,3,piecewise_lags_none_sinusoidal_no,0.084,0.244,340.276,343.109,True,True,False,0.503,-0.433,0,3.017,3.017,0.28,569.8614811757576,,,,,,
Maize-Cluster_0_yearly_True_window_3_lags_1_sinusoidal_no_piecewise,True,3,piecewise_lags_1_sinusoidal_no,0.089,0.335,324.382,327.944,True,True,False,0.812,-0.102,0,2.481,2.634,0.38,584.7868788552188,1.153,0.696,,,,
Maize-Cluster_0_yearly_True_window_3_lags_none_sinusoidal_yes_piecewise,True,3,piecewise_lags_none_sinusoidal_yes,0.108,0.323,343.754,348.476,True,True,False,0.552,-0.548,0,3.166,3.239,0.379,569.8614811757576,,,1.03,1.044,0.64,0.717
Maize-Cluster_0_yearly_True_window_3_lags_1_sinusoidal_yes_piecewise,True,3,piecewise_lags_1_sinusoidal_yes,0.133,0.401,327.492,332.835,True,True,False,0.967,-1.635,0,2.503,2.673,0.434,584.7868788552188,1.155,0.724,1.006,1.009,0.463,0.884
Maize-Cluster_0_yearly_False_window_4_lags_none_sinusoidal_no_piecewise,False,4,piecewise_lags_none_sinusoidal_no,0.144,0.153,367.694,370.828,False,True,False,1.232,-1.698,0,4.028,4.028,0.12,544.1906191919193,,,,,,
Maize-Cluster_0_yearly_False_window_4_lags_1_sinusoidal_no_piecewise,False,4,piecewise_lags_1_sinusoidal_no,0.434,0.007,344.685,348.668,True,True,True,1.528,-0.339,0,1.136,1.197,0.072,628.0486031980303,1.061,0.05,,,,
Maize-Cluster_0_yearly_False_window_4_lags_none_sinusoidal_yes_piecewise,False,4,piecewise_lags_none_sinusoidal_yes,0.156,0.236,371.397,376.62,False,True,False,1.296,-21.375,0,4.188,4.242,0.185,544.1906191919193,,,1.002,1.051,0.772,0.707
Maize-Cluster_0_yearly_False_window_4_lags_1_sinusoidal_yes_piecewise,False,4,piecewise_lags_1_sinusoidal_yes,0.438,0.012,348.545,354.52,True,True,False,1.489,-0.901,0,1.145,1.274,0.091,628.0486031980303,1.065,0.067,1.009,1.054,0.783,0.884
Maize-Cluster_0_yearly_True_window_4_lags_none_sinusoidal_no_piecewise,True,4,piecewise_lags_none_sinusoidal_no,0.105,0.191,336.44,339.273,True,True,False,0.412,-13.741,0,3.216,3.216,0.213,569.9530725525926,,,,,,
Maize-Cluster_0_yearly_True_window_4_lags_1_sinusoidal_no_piecewise,True,4,piecewise_lags_1_sinusoidal_no,0.064,0.459,322.245,325.807,True,True,False,0.608,-0.167,0,1.14,1.193,0.503,620.9753636984511,1.053,0.61,,,,
Maize-Cluster_0_yearly_True_window_4_lags_none_sinusoidal_yes_piecewise,True,4,piecewise_lags_none_sinusoidal_yes,0.166,0.297,339.107,343.83,True,True,False,0.559,-146.414,0,3.229,3.235,0.315,569.9530725525926,,,1.001,1.005,0.355,0.821
Maize-Cluster_0_yearly_True_window_4_lags_1_sinusoidal_yes_piecewise,True,4,piecewise_lags_1_sinusoidal_yes,0.167,0.582,324.147,329.489,False,True,False,0.696,-0.899,0,1.146,1.247,0.591,620.9753636984511,1.056,0.627,1.0,1.045,0.251,0.9
Maize-Cluster_0_yearly_False_window_5_lags_none_sinusoidal_no_piecewise,False,5,piecewise_lags_none_sinusoidal_no,0.175,0.69,359.306,362.439,True,True,False,0.507,-0.632,0,3.205,3.205,0.373,566.79204,,,,,,
Maize-Cluster_0_yearly_False_window_5_lags_1_sinusoidal_no_piecewise,False,5,piecewise_lags_1_sinusoidal_no,0.459,0.004,336.614,340.597,True,True,False,1.093,-0.237,0,1.222,1.224,0.273,616.9777134223838,1.002,0.08,,,,
Maize-Cluster_0_yearly_False_window_5_lags_none_sinusoidal_yes_piecewise,False,5,piecewise_lags_none_sinusoidal_yes,0.38,0.44,357.29,362.512,True,True,False,0.77,-0.127,0,3.226,3.235,0.232,566.79204,,,1.008,1.001,0.068,0.262
Maize-Cluster_0_yearly_False_window_5_lags_1_sinusoidal_yes_piecewise,False,5,piecewise_lags_1_sinusoidal_yes,0.579,0.012,335.601,341.575,True,True,False,1.157,-0.288,0,1.249,1.371,0.721,616.9777134223838,1.002,0.08,1.007,1.114,0.553,0.074
Maize-Cluster_0_yearly_True_window_5_lags_none_sinusoidal_no_piecewise,True,5,piecewise_lags_none_sinusoidal_no,0.034,0.851,336.029,338.862,True,True,False,0.447,-0.257,0,1.114,1.114,0.478,619.894445795798,,,,,,
Maize-Cluster_0_yearly_True_window_5_lags_1_sinusoidal_no_piecewise,True,5,piecewise_lags_1_sinusoidal_no,0.165,0.2,319.282,322.844,False,True,False,0.36,-1379.092,0,4.476,4.674,0.26,582.6775990277577,1.198,0.445,,,,
Maize-Cluster_0_yearly_True_window_5_lags_none_sinusoidal_yes_piecewise,True,5,piecewise_lags_none_sinusoidal_yes,0.223,0.831,335.886,340.609,True,True,False,0.88,-0.732,0,1.129,1.256,0.296,619.894445795798,,,1.03,1.098,0.094,0.625
Maize-Cluster_0_yearly_True_window_5_lags_1_sinusoidal_yes_piecewise,True,5,piecewise_lags_1_sinusoidal_yes,0.272,0.323,320.81,326.153,True,True,False,0.512,-19141.94,0,5.03,5.418,0.411,582.6775990277577,1.229,0.406,1.002,1.157,0.278,0.547
Maize-Cluster_0_yearly_False_window_6_lags_none_sinusoidal_no_piecewise,False,6,piecewise_lags_none_sinusoidal_no,0.167,0.689,358.925,362.059,True,True,False,0.594,-0.566,0,3.447,3.447,0.367,566.79204,,,,,,
Maize-Cluster_0_yearly_False_window_6_lags_1_sinusoidal_no_piecewise,False,6,piecewise_lags_1_sinusoidal_no,0.448,0.013,337.558,341.541,True,True,False,0.931,-1.131,0,1.953,2.26,0.416,595.9374315845522,1.307,0.339,,,,
Maize-Cluster_0_yearly_False_window_6_lags_none_sinusoidal_yes_piecewise,False,6,piecewise_lags_none_sinusoidal_yes,0.37,0.484,357.05,362.272,True,False,False,0.892,-0.839,0,3.553,3.597,0.226,566.79204,,,1.004,1.039,0.052,0.393
Maize-Cluster_0_yearly_False_window_6_lags_1_sinusoidal_yes_piecewise,False,6,piecewise_lags_1_sinusoidal_yes,0.612,0.011,334.52,340.494,True,True,False,1.122,-6.362,0,2.109,2.63,0.699,595.9374315845522,1.357,0.158,1.018,1.145,0.833,0.031
Maize-Cluster_0_yearly_True_window_6_lags_none_sinusoidal_no_piecewise,True,6,piecewise_lags_none_sinusoidal_no,0.078,0.371,331.758,334.591,True,False,False,0.408,-0.317,0,1.411,1.411,0.275,606.7210736868889,,,,,,
