analysis_name,yearly_aggregate,window_size,config_type,r_squared,p_value,aic,bic,is_normal,is_homoscedastic,no_autocorrelation,durbin_watson,cv_r2_score,cv_r2_std,vif_PPT,vif_segment,p_value_segment,breakpoint,vif_ortho_PPT_lag0,p_value_lag0,vif_ortho_PPT_lag1,p_value_lag1,vif_ortho_sin_cycle,vif_ortho_cos_cycle,p_value_sin,p_value_cos
Maize_yearly_True_window_8_lags_1_sinusoidal_no_piecewise,True,8,piecewise_lags_1_sinusoidal_no,0.9,0.0,560.271,566.606,True,True,False,1.213,0.877,0,1.327,1.562,0.0,835.1192621545139,,,1.235,0.542,,,,
Maize_yearly_True_window_8_lags_none_sinusoidal_yes_piecewise,True,8,piecewise_lags_none_sinusoidal_yes,0.783,0.0,608.764,616.819,False,True,False,0.676,0.634,0,1.353,1.444,0.001,824.9809954343013,,,,,1.032,1.059,0.06,0.327
Maize_yearly_True_window_8_lags_0_sinusoidal_yes_piecewise,True,8,piecewise_lags_0_sinusoidal_yes,0.784,0.0,610.663,620.328,False,True,False,0.67,0.63,0,1.369,1.508,0.001,824.9809954343013,1.035,0.879,,,1.024,1.081,0.058,0.374
Maize_yearly_True_window_8_lags_1_sinusoidal_yes_piecewise,True,8,piecewise_lags_1_sinusoidal_yes,0.915,0.0,558.424,567.925,True,True,False,1.38,0.858,0,1.365,1.743,0.0,835.1192621545139,,,1.262,0.6,1.026,1.091,0.029,0.722
Maize_yearly_False_window_9_lags_none_sinusoidal_no_piecewise,False,9,piecewise_lags_none_sinusoidal_no,0.754,0.0,1144.658,1151.36,True,True,False,0.594,0.742,0,1.555,1.555,0.055,839.4741253364118,,,,,,,,
Maize_yearly_False_window_9_lags_0_sinusoidal_no_piecewise,False,9,piecewise_lags_0_sinusoidal_no,0.773,0.0,1140.942,1149.878,True,True,False,0.653,0.344,0,1.566,1.585,0.027,839.4741253364118,1.019,0.021,,,,,,
Maize_yearly_False_window_9_lags_1_sinusoidal_no_piecewise,False,9,piecewise_lags_1_sinusoidal_no,0.776,0.0,1120.034,1128.912,True,True,False,0.546,0.738,0,1.569,1.579,0.025,840.0310861704827,,,1.01,0.118,,,,
Maize_yearly_False_window_9_lags_none_sinusoidal_yes_piecewise,False,9,piecewise_lags_none_sinusoidal_yes,0.774,0.0,1142.671,1153.842,True,True,False,0.675,0.742,0,1.697,1.951,0.142,839.4741253364118,,,,,1.003,1.251,0.024,0.467
Maize_yearly_False_window_9_lags_0_sinusoidal_yes_piecewise,False,9,piecewise_lags_0_sinusoidal_yes,0.792,0.0,1138.945,1152.349,True,True,False,0.739,0.065,0,1.697,1.952,0.126,839.4741253364118,1.015,0.04,,,1.003,1.237,0.019,0.253
Maize_yearly_False_window_9_lags_1_sinusoidal_yes_piecewise,False,9,piecewise_lags_1_sinusoidal_yes,0.793,0.0,1118.633,1131.95,True,True,False,0.611,0.745,0,1.71,1.973,0.102,840.0310861704827,,,1.013,0.105,1.003,1.246,0.052,0.254
Maize_yearly_True_window_9_lags_none_sinusoidal_no_piecewise,True,9,piecewise_lags_none_sinusoidal_no,0.874,0.0,583.814,588.647,True,True,False,0.711,0.851,0,1.174,1.174,0.0,852.6533492803685,,,,,,,,
Maize_yearly_True_window_9_lags_0_sinusoidal_no_piecewise,True,9,piecewise_lags_0_sinusoidal_no,0.91,0.0,573.455,579.899,True,True,False,1.083,0.895,0,1.178,1.201,0.0,852.6533492803685,1.023,0.001,,,,,,
Maize_yearly_True_window_9_lags_1_sinusoidal_no_piecewise,True,9,piecewise_lags_1_sinusoidal_no,0.933,0.0,545.073,551.407,True,True,False,1.247,0.926,0,1.217,1.401,0.0,851.0569112167158,,,1.184,0.31,,,,
Maize_yearly_True_window_9_lags_none_sinusoidal_yes_piecewise,True,9,piecewise_lags_none_sinusoidal_yes,0.9,0.0,579.439,587.494,True,True,False,0.932,0.881,0,1.2,1.347,0.0,852.6533492803685,,,,,1.072,1.075,0.011,0.252
Maize_yearly_True_window_9_lags_0_sinusoidal_yes_piecewise,True,9,piecewise_lags_0_sinusoidal_yes,0.932,0.0,566.843,576.508,True,True,False,1.363,0.918,0,1.201,1.357,0.0,852.6533492803685,1.026,0.0,,,1.071,1.059,0.003,0.666
Maize_yearly_True_window_9_lags_1_sinusoidal_yes_piecewise,True,9,piecewise_lags_1_sinusoidal_yes,0.942,0.0,543.587,553.088,False,True,False,1.437,0.927,0,1.245,1.579,0.0,851.0569112167158,,,1.207,0.338,1.056,1.071,0.034,0.766
Maize_yearly_False_window_10_lags_none_sinusoidal_no_piecewise,False,10,piecewise_lags_none_sinusoidal_no,0.79,0.0,1132.287,1138.99,True,True,False,0.694,0.784,0,1.434,1.434,0.019,849.0968334065454,,,,,,,,
Maize_yearly_False_window_10_lags_0_sinusoidal_no_piecewise,False,10,piecewise_lags_0_sinusoidal_no,0.798,0.0,1131.566,1140.503,True,True,False,0.735,0.784,0,1.434,1.435,0.017,849.0968334065454,1.0,0.111,,,,,,
Maize_yearly_False_window_10_lags_1_sinusoidal_no_piecewise,False,10,piecewise_lags_1_sinusoidal_no,0.812,0.0,1106.469,1115.347,True,True,False,0.655,0.773,0,1.559,1.606,0.016,838.7504666909799,,,1.047,0.081,,,,
Maize_yearly_False_window_10_lags_none_sinusoidal_yes_piecewise,False,10,piecewise_lags_none_sinusoidal_yes,0.809,0.0,1129.73,1140.901,True,True,False,0.802,0.791,0,1.55,1.816,0.051,849.0968334065454,,,,,1.003,1.263,0.044,0.164
Maize_yearly_False_window_10_lags_0_sinusoidal_yes_piecewise,False,10,piecewise_lags_0_sinusoidal_yes,0.816,0.0,1129.178,1142.582,True,True,False,0.862,0.781,0,1.558,1.843,0.065,849.0968334065454,1.005,0.184,,,1.003,1.277,0.041,0.108
Maize_yearly_False_window_10_lags_1_sinusoidal_yes_piecewise,False,10,piecewise_lags_1_sinusoidal_yes,0.828,0.0,1104.392,1117.709,True,True,False,0.748,0.795,0,1.739,2.121,0.085,838.7504666909799,,,1.062,0.052,1.007,1.314,0.115,0.09
Maize_yearly_True_window_10_lags_none_sinusoidal_no_piecewise,True,10,piecewise_lags_none_sinusoidal_no,0.875,0.0,582.64,587.473,True,True,False,0.769,0.857,0,1.163,1.163,0.0,840.4952410278686,,,,,,,,
Maize_yearly_True_window_10_lags_0_sinusoidal_no_piecewise,True,10,piecewise_lags_0_sinusoidal_no,0.881,0.0,582.905,589.349,True,True,False,0.733,0.847,0,1.163,1.164,0.001,840.4952410278686,1.001,0.217,,,,,,
Maize_yearly_True_window_10_lags_1_sinusoidal_no_piecewise,True,10,piecewise_lags_1_sinusoidal_no,0.943,0.0,537.731,544.065,True,True,False,1.312,0.937,0,1.308,1.537,0.0,829.2666084406565,,,1.229,0.151,,,,
Maize_yearly_True_window_10_lags_none_sinusoidal_yes_piecewise,True,10,piecewise_lags_none_sinusoidal_yes,0.89,0.0,582.033,590.088,False,True,False,0.91,0.847,0,1.182,1.297,0.0,840.4952410278686,,,,,1.102,1.013,0.05,0.807
Maize_yearly_True_window_10_lags_0_sinusoidal_yes_piecewise,True,10,piecewise_lags_0_sinusoidal_yes,0.894,0.0,582.696,592.361,True,True,False,0.853,0.838,0,1.182,1.298,0.0,840.4952410278686,1.001,0.241,,,1.103,1.012,0.063,0.982
Maize_yearly_True_window_10_lags_1_sinusoidal_yes_piecewise,True,10,piecewise_lags_1_sinusoidal_yes,0.952,0.0,535.716,545.217,True,True,True,1.559,0.939,0,1.324,1.62,0.0,829.2666084406565,,,1.242,0.136,1.053,1.001,0.118,0.099
