analysis_name,yearly_aggregate,window_size,config_type,r_squared,p_value,aic,bic,is_normal,is_homoscedastic,no_autocorrelation,durbin_watson,cv_r2_score,cv_r2_std,vif_PPT,vif_quadratic,p_value_quadratic,vif_ortho_PPT_lag1,p_value_lag1,vif_ortho_PPT_lag5,p_value_lag5,vif_ortho_sin_cycle,vif_ortho_cos_cycle,p_value_sin,p_value_cos
Croplands_cluster_2_yearly_True_window_6_lags_5_sinusoidal_yes_quadratic,True,6,quadratic_lags_5_sinusoidal_yes,0.204,0.066,453.315,460.383,True,True,False,0.324,-0.181,0,1.793,2.102,0.799,,,1.144,0.056,1.054,1.111,0.784,0.69
Croplands_cluster_2_yearly_False_window_7_lags_none_sinusoidal_no_quadratic,False,7,quadratic_lags_none_sinusoidal_no,0.029,0.643,1250.218,1256.92,False,True,False,0.289,-0.014,0,1.73,1.73,0.184,,,,,,,,
Croplands_cluster_2_yearly_False_window_7_lags_1_sinusoidal_no_quadratic,False,7,quadratic_lags_1_sinusoidal_no,0.032,0.556,1234.02,1242.898,False,True,False,0.281,0.004,0,1.748,1.751,0.208,1.003,0.522,,,,,,
Croplands_cluster_2_yearly_False_window_7_lags_5_sinusoidal_no_quadratic,False,7,quadratic_lags_5_sinusoidal_no,0.018,0.77,1168.556,1177.192,False,True,False,0.282,-0.183,0,1.847,1.848,0.314,,,1.001,0.996,,,,
Croplands_cluster_2_yearly_False_window_7_lags_none_sinusoidal_yes_quadratic,False,7,quadratic_lags_none_sinusoidal_yes,0.13,0.402,1246.668,1257.839,True,True,False,0.435,0.012,0,1.882,2.09,0.024,,,,,1.193,1.015,0.009,0.744
Croplands_cluster_2_yearly_False_window_7_lags_1_sinusoidal_yes_quadratic,False,7,quadratic_lags_1_sinusoidal_yes,0.131,0.348,1230.673,1243.99,True,True,False,0.412,0.054,0,1.907,2.124,0.034,1.003,0.43,,,1.192,1.021,0.012,0.615
Croplands_cluster_2_yearly_False_window_7_lags_5_sinusoidal_yes_quadratic,False,7,quadratic_lags_5_sinusoidal_yes,0.117,0.606,1165.788,1178.741,False,True,False,0.439,-0.143,0,2.133,2.472,0.054,,,1.001,0.929,1.294,1.043,0.018,0.624
Croplands_cluster_2_yearly_True_window_7_lags_none_sinusoidal_no_quadratic,True,7,quadratic_lags_none_sinusoidal_no,0.015,0.948,519.444,523.546,False,True,False,0.19,-0.146,0,1.594,1.594,0.546,,,,,,,,
Croplands_cluster_2_yearly_True_window_7_lags_1_sinusoidal_no_quadratic,True,7,quadratic_lags_1_sinusoidal_no,0.08,0.607,502.077,507.406,True,True,False,0.387,-0.534,0,1.696,1.735,0.418,1.039,0.182,,,,,,
Croplands_cluster_2_yearly_True_window_7_lags_5_sinusoidal_no_quadratic,True,7,quadratic_lags_5_sinusoidal_no,0.162,0.077,448.164,452.877,False,True,False,0.402,0.108,0,1.631,1.662,0.38,,,1.031,0.071,,,,
