analysis_name,yearly_aggregate,window_size,config_type,r_squared,p_value,aic,bic,is_normal,is_homoscedastic,no_autocorrelation,durbin_watson,cv_r2_score,cv_r2_std,vif_PPT,vif_quadratic,p_value_quadratic,vif_ortho_sin_cycle,vif_ortho_cos_cycle,p_value_sin,p_value_cos
KBS_yearly_True_window_6_lags_none_sinusoidal_yes_quadratic,True,6,quadratic_lags_none_sinusoidal_yes,0.321,0.008,545.387,552.716,True,False,False,0.318,-0.065,0,2.372,2.396,0.603,1.014,1.01,0.827,0.629
KBS_yearly_False_window_7_lags_none_sinusoidal_no_quadratic,False,7,quadratic_lags_none_sinusoidal_no,0.277,0.007,546.157,550.554,True,True,False,0.811,0.052,0,2.444,2.444,0.973,,,,
KBS_yearly_False_window_7_lags_none_sinusoidal_yes_quadratic,False,7,quadratic_lags_none_sinusoidal_yes,0.278,0.009,550.106,557.435,True,True,False,0.812,-0.004,0,2.458,2.468,0.991,1.01,1.0,0.871,0.902
KBS_yearly_True_window_7_lags_none_sinusoidal_no_quadratic,True,7,quadratic_lags_none_sinusoidal_no,0.277,0.007,546.157,550.554,True,True,False,0.811,0.052,0,2.444,2.444,0.973,,,,
KBS_yearly_True_window_7_lags_none_sinusoidal_yes_quadratic,True,7,quadratic_lags_none_sinusoidal_yes,0.278,0.009,550.106,557.435,True,True,False,0.812,-0.004,0,2.458,2.468,0.991,1.01,1.0,0.871,0.902
KBS_yearly_False_window_8_lags_none_sinusoidal_no_quadratic,False,8,quadratic_lags_none_sinusoidal_no,0.31,0.002,541.498,545.895,True,True,False,0.592,0.197,0,2.468,2.468,0.831,,,,
KBS_yearly_False_window_8_lags_none_sinusoidal_yes_quadratic,False,8,quadratic_lags_none_sinusoidal_yes,0.325,0.002,544.794,552.123,True,True,False,0.544,-0.003,0,2.52,2.555,0.699,1.006,1.029,0.738,0.486
KBS_yearly_True_window_8_lags_none_sinusoidal_no_quadratic,True,8,quadratic_lags_none_sinusoidal_no,0.31,0.002,541.498,545.895,True,True,False,0.592,0.197,0,2.468,2.468,0.831,,,,
KBS_yearly_True_window_8_lags_none_sinusoidal_yes_quadratic,True,8,quadratic_lags_none_sinusoidal_yes,0.325,0.002,544.794,552.123,True,True,False,0.544,-0.003,0,2.52,2.555,0.699,1.006,1.029,0.738,0.486
KBS_yearly_False_window_9_lags_none_sinusoidal_no_quadratic,False,9,quadratic_lags_none_sinusoidal_no,0.394,0.0,531.006,535.403,True,False,False,0.344,0.223,0,2.738,2.738,0.409,,,,
KBS_yearly_False_window_9_lags_none_sinusoidal_yes_quadratic,False,9,quadratic_lags_none_sinusoidal_yes,0.402,0.0,534.571,541.9,True,False,False,0.316,0.057,0,2.761,2.774,0.379,1.004,1.009,0.872,0.562
KBS_yearly_True_window_9_lags_none_sinusoidal_no_quadratic,True,9,quadratic_lags_none_sinusoidal_no,0.394,0.0,531.006,535.403,True,False,False,0.344,0.223,0,2.738,2.738,0.409,,,,
KBS_yearly_True_window_9_lags_none_sinusoidal_yes_quadratic,True,9,quadratic_lags_none_sinusoidal_yes,0.402,0.0,534.571,541.9,True,False,False,0.316,0.057,0,2.761,2.774,0.379,1.004,1.009,0.872,0.562
KBS_yearly_False_window_10_lags_none_sinusoidal_no_quadratic,False,10,quadratic_lags_none_sinusoidal_no,0.36,0.0,531.266,535.664,True,True,False,0.616,0.229,0,2.863,2.863,0.417,,,,
KBS_yearly_False_window_10_lags_none_sinusoidal_yes_quadratic,False,10,quadratic_lags_none_sinusoidal_yes,0.366,0.001,534.935,542.263,True,True,False,0.579,0.139,0,2.888,2.901,0.4,1.0,1.013,0.949,0.603
KBS_yearly_True_window_10_lags_none_sinusoidal_no_quadratic,True,10,quadratic_lags_none_sinusoidal_no,0.36,0.0,531.266,535.664,True,True,False,0.616,0.229,0,2.863,2.863,0.417,,,,
KBS_yearly_True_window_10_lags_none_sinusoidal_yes_quadratic,True,10,quadratic_lags_none_sinusoidal_yes,0.366,0.001,534.935,542.263,True,True,False,0.579,0.139,0,2.888,2.901,0.4,1.0,1.013,0.949,0.603
