analysis_name,yearly_aggregate,window_size,config_type,r_squared,p_value,aic,bic,is_normal,is_homoscedastic,no_autocorrelation,durbin_watson,cv_r2_score,cv_r2_std,vif_PPT,vif_spline_0,vif_spline_1,vif_spline_2,p_value_spline_0,p_value_spline_1,p_value_spline_2,knots,vif_ortho_PPT_lag1,p_value_lag1,vif_ortho_PPT_lag2,p_value_lag2,vif_ortho_PPT_lag3,p_value_lag3,vif_ortho_PPT_lag4,p_value_lag4,vif_ortho_PPT_lag5,p_value_lag5,vif_ortho_sin_cycle,vif_ortho_cos_cycle,p_value_sin,p_value_cos
Croplands_yearly_False_window_7_lags_1_sinusoidal_yes_spline,False,7,spline_lags_1_sinusoidal_yes,0.315,0.0,3049.722,3075.041,True,False,False,0.583,0.253,0,1.0,1.145,1.137,1.003,0.177,0.815,0.638,"[np.float64(524.9273428571429), np.float64(727.898155), np.float64(793.782713), np.float64(869.065202), np.float64(1036.3539414571428)]",1.004,0.897,,,,,,,,,1.095,1.186,0.745,0.533
Croplands_yearly_False_window_7_lags_2_sinusoidal_yes_spline,False,7,spline_lags_2_sinusoidal_yes,0.328,0.0,3032.069,3057.342,True,False,False,0.564,0.253,0,1.0,1.144,1.142,1.012,0.171,0.951,0.425,"[np.float64(524.9273428571429), np.float64(727.121853), np.float64(792.812356), np.float64(871.127277), np.float64(1036.3539414571428)]",,,1.004,0.488,,,,,,,1.101,1.194,0.916,0.414
Croplands_yearly_False_window_7_lags_3_sinusoidal_yes_spline,False,7,spline_lags_3_sinusoidal_yes,0.098,0.001,3168.113,3193.34,False,False,False,1.032,0.013,0,1.0,1.191,1.145,1.006,0.272,0.367,0.408,"[np.float64(524.9273428571429), np.float64(696.560957), np.float64(774.3648), np.float64(854.655996), np.float64(1036.3539414571428)]",,,,,1.024,0.451,,,,,1.13,1.188,0.197,0.324
Croplands_yearly_False_window_7_lags_4_sinusoidal_yes_spline,False,7,spline_lags_4_sinusoidal_yes,0.316,0.0,2999.883,3025.063,True,False,False,0.57,0.256,0,1.0,1.137,1.26,1.013,0.16,0.863,0.735,"[np.float64(524.9273428571429), np.float64(724.830522), np.float64(791.564214), np.float64(872.301255), np.float64(1036.3539414571428)]",,,,,,,1.058,0.849,,,1.124,1.228,0.775,0.575
Croplands_yearly_False_window_7_lags_5_sinusoidal_yes_spline,False,7,spline_lags_5_sinusoidal_yes,0.094,0.001,3132.235,3157.368,False,False,False,0.989,-0.026,0,1.0,1.145,1.293,1.025,0.314,0.267,0.514,"[np.float64(524.9273428571429), np.float64(715.883429), np.float64(791.143229), np.float64(870.35717), np.float64(1036.3539414571428)]",,,,,,,,,1.083,0.939,1.137,1.243,0.171,0.5
Croplands_yearly_True_window_7_lags_none_sinusoidal_no_spline,True,7,spline_lags_none_sinusoidal_no,0.632,0.0,611.532,619.85,False,True,False,0.337,0.561,0,1.0,1.0,1.0,1.0,0.035,0.436,0.393,"[np.float64(649.1318273809524), np.float64(727.934527), np.float64(772.888923), np.float64(818.913198), np.float64(911.3635737578912)]",,,,,,,,,,,,,,
Croplands_yearly_True_window_7_lags_1_sinusoidal_no_spline,True,7,spline_lags_1_sinusoidal_no,0.787,0.0,577.617,587.443,True,False,False,1.087,0.519,0,1.0,1.027,1.001,1.026,0.0,0.223,0.1,"[np.float64(649.1318273809524), np.float64(726.243375), np.float64(772.531086), np.float64(815.529642), np.float64(911.3635737578912)]",1.054,0.0,,,,,,,,,,,,
Croplands_yearly_True_window_7_lags_2_sinusoidal_no_spline,True,7,spline_lags_2_sinusoidal_no,0.844,0.0,552.709,562.375,True,False,False,0.787,0.771,0,1.0,1.017,1.014,1.005,0.0,0.132,0.458,"[np.float64(649.1318273809524), np.float64(731.925325), np.float64(772.769644), np.float64(816.764645), np.float64(911.3635737578912)]",,,1.037,0.0,,,,,,,,,,
Croplands_yearly_True_window_7_lags_3_sinusoidal_no_spline,True,7,spline_lags_3_sinusoidal_no,0.803,0.0,548.217,557.718,True,True,False,0.78,0.654,0,1.0,1.001,1.0,1.022,0.004,0.025,0.185,"[np.float64(636.3920836833333), np.float64(726.575322), np.float64(773.008201), np.float64(817.838922), np.float64(911.3635737578912)]",,,,,1.023,0.0,,,,,,,,
Croplands_yearly_True_window_7_lags_4_sinusoidal_no_spline,True,7,spline_lags_4_sinusoidal_no,0.771,0.0,538.823,548.155,True,False,False,0.47,0.6,0,1.0,1.003,1.004,1.0,0.015,0.071,0.586,"[np.float64(649.1318273809524), np.float64(723.889015), np.float64(779.323679), np.float64(818.913198), np.float64(911.3635737578912)]",,,,,,,1.008,0.0,,,,,,
