analysis_name,yearly_aggregate,window_size,config_type,r_squared,p_value,aic,bic,is_normal,is_homoscedastic,no_autocorrelation,durbin_watson,cv_r2_score,cv_r2_std,vif_PPT,vif_quadratic,p_value_quadratic,vif_ortho_PPT_lag2,p_value_lag2,vif_ortho_PPT_lag3,p_value_lag3,vif_ortho_PPT_lag4,p_value_lag4,vif_ortho_PPT_lag5,p_value_lag5,vif_ortho_PPT_lag6,p_value_lag6,vif_ortho_sin_cycle,vif_ortho_cos_cycle,p_value_sin,p_value_cos
CPER-Cluster_2_yearly_False_window_5_lags_none_sinusoidal_no_quadratic,False,5,quadratic_lags_none_sinusoidal_no,0.085,0.338,131.768,133.685,True,True,False,1.458,-0.097,0,1.712,1.712,0.97,,,,,,,,,,,,,,
CPER-Cluster_2_yearly_False_window_5_lags_2_sinusoidal_no_quadratic,False,5,quadratic_lags_2_sinusoidal_no,0.282,0.155,120.856,122.796,True,True,False,0.915,-4.489,0,2.105,2.13,0.907,1.026,0.354,,,,,,,,,,,,
CPER-Cluster_2_yearly_False_window_5_lags_3_sinusoidal_no_quadratic,False,5,quadratic_lags_3_sinusoidal_no,0.474,0.9,108.234,109.826,True,True,False,1.445,-1.044,0,2.05,2.05,0.185,,,1.0,0.671,,,,,,,,,,
CPER-Cluster_2_yearly_False_window_5_lags_4_sinusoidal_no_quadratic,False,5,quadratic_lags_4_sinusoidal_no,0.3,0.195,98.729,99.94,True,True,False,1.27,-47.041,0,1.879,1.987,0.939,,,,,1.108,0.168,,,,,,,,
CPER-Cluster_2_yearly_False_window_5_lags_none_sinusoidal_yes_quadratic,False,5,quadratic_lags_none_sinusoidal_yes,0.097,0.518,135.587,138.782,True,True,False,1.434,-3.464,0,2.214,2.92,0.86,,,,,,,,,,,1.671,1.036,0.871,0.75
CPER-Cluster_2_yearly_False_window_5_lags_2_sinusoidal_yes_quadratic,False,5,quadratic_lags_2_sinusoidal_yes,0.424,0.172,122.203,125.112,True,True,False,1.306,-16.681,0,2.895,3.654,0.581,1.044,0.397,,,,,,,,,1.461,1.255,0.275,0.66
CPER-Cluster_2_yearly_False_window_5_lags_3_sinusoidal_yes_quadratic,False,5,quadratic_lags_3_sinusoidal_yes,0.572,0.795,109.952,112.339,True,True,True,1.802,-2.918,0,2.177,2.297,0.184,,,1.0,0.796,,,,,,,1.029,1.091,0.713,0.354
CPER-Cluster_2_yearly_False_window_5_lags_4_sinusoidal_yes_quadratic,False,5,quadratic_lags_4_sinusoidal_yes,0.313,0.483,102.543,104.358,True,True,False,1.461,-12.401,0,3.06,4.656,0.91,,,,,1.253,0.428,,,,,2.339,1.005,0.934,0.832
CPER-Cluster_2_yearly_True_window_5_lags_none_sinusoidal_no_quadratic,True,5,quadratic_lags_none_sinusoidal_no,0.085,0.338,131.768,133.685,True,True,False,1.458,-0.097,0,1.712,1.712,0.97,,,,,,,,,,,,,,
CPER-Cluster_2_yearly_True_window_5_lags_2_sinusoidal_no_quadratic,True,5,quadratic_lags_2_sinusoidal_no,0.282,0.155,120.856,122.796,True,True,False,0.915,-4.489,0,2.105,2.13,0.907,1.026,0.354,,,,,,,,,,,,
CPER-Cluster_2_yearly_True_window_5_lags_3_sinusoidal_no_quadratic,True,5,quadratic_lags_3_sinusoidal_no,0.474,0.9,108.234,109.826,True,True,False,1.445,-1.044,0,2.05,2.05,0.185,,,1.0,0.671,,,,,,,,,,
CPER-Cluster_2_yearly_True_window_5_lags_4_sinusoidal_no_quadratic,True,5,quadratic_lags_4_sinusoidal_no,0.3,0.195,98.729,99.94,True,True,False,1.27,-47.041,0,1.879,1.987,0.939,,,,,1.108,0.168,,,,,,,,
CPER-Cluster_2_yearly_True_window_5_lags_none_sinusoidal_yes_quadratic,True,5,quadratic_lags_none_sinusoidal_yes,0.097,0.518,135.587,138.782,True,True,False,1.434,-3.464,0,2.214,2.92,0.86,,,,,,,,,,,1.671,1.036,0.871,0.75
CPER-Cluster_2_yearly_True_window_5_lags_2_sinusoidal_yes_quadratic,True,5,quadratic_lags_2_sinusoidal_yes,0.424,0.172,122.203,125.112,True,True,False,1.306,-16.681,0,2.895,3.654,0.581,1.044,0.397,,,,,,,,,1.461,1.255,0.275,0.66
CPER-Cluster_2_yearly_True_window_5_lags_3_sinusoidal_yes_quadratic,True,5,quadratic_lags_3_sinusoidal_yes,0.572,0.795,109.952,112.339,True,True,True,1.802,-2.918,0,2.177,2.297,0.184,,,1.0,0.796,,,,,,,1.029,1.091,0.713,0.354
CPER-Cluster_2_yearly_True_window_5_lags_4_sinusoidal_yes_quadratic,True,5,quadratic_lags_4_sinusoidal_yes,0.313,0.483,102.543,104.358,True,True,False,1.461,-12.401,0,3.06,4.656,0.91,,,,,1.253,0.428,,,,,2.339,1.005,0.934,0.832
