analysis_name,yearly_aggregate,window_size,config_type,r_squared,p_value,aic,bic,is_normal,is_homoscedastic,no_autocorrelation,durbin_watson,cv_r2_score,cv_r2_std,vif_PPT,vif_segment,p_value_segment,breakpoint,vif_ortho_PPT_lag2,p_value_lag2,vif_ortho_PPT_lag3,p_value_lag3,vif_ortho_PPT_lag4,p_value_lag4,vif_ortho_PPT_lag5,p_value_lag5,vif_ortho_PPT_lag6,p_value_lag6,vif_ortho_sin_cycle,vif_ortho_cos_cycle,p_value_sin,p_value_cos
CPER-Cluster_2_yearly_True_window_1_lags_5_sinusoidal_yes_piecewise,True,1,piecewise_lags_5_sinusoidal_yes,0.715,0.301,105.831,107.014,True,True,False,1.327,-14.062,0,2.851,3.887,0.146,310.2007070707071,,,,,,,1.801,0.701,,,1.011,1.224,0.619,0.314
CPER-Cluster_2_yearly_True_window_1_lags_6_sinusoidal_yes_piecewise,True,1,piecewise_lags_6_sinusoidal_yes,0.939,0.068,83.229,83.705,True,True,False,2.701,-7.0,0,5.27,8.06,0.04,310.7228181818182,,,,,,,,,3.423,0.373,1.149,1.218,0.227,0.086
CPER-Cluster_2_yearly_False_window_2_lags_none_sinusoidal_no_piecewise,False,2,piecewise_lags_none_sinusoidal_no,0.627,0.054,150.507,152.424,True,True,True,1.518,-0.042,0,2.719,2.719,0.009,293.95055353535355,,,,,,,,,,,,,,
CPER-Cluster_2_yearly_False_window_2_lags_2_sinusoidal_no_piecewise,False,2,piecewise_lags_2_sinusoidal_no,0.655,0.679,129.507,131.446,True,True,True,1.787,0.185,0,5.869,7.488,0.097,293.4643747474747,2.619,0.286,,,,,,,,,,,,
CPER-Cluster_2_yearly_False_window_2_lags_3_sinusoidal_no_piecewise,False,2,piecewise_lags_3_sinusoidal_no,0.841,0.004,111.909,113.5,True,True,False,2.589,0.523,0,4.073,5.832,0.002,297.72391919191915,,,2.759,0.011,,,,,,,,,,
CPER-Cluster_2_yearly_False_window_2_lags_4_sinusoidal_no_piecewise,False,2,piecewise_lags_4_sinusoidal_no,0.781,0.024,111.047,112.258,True,True,True,1.56,-1.68,0,5.238,6.47,0.014,286.80886516353536,,,,,2.232,0.2,,,,,,,,
CPER-Cluster_2_yearly_False_window_2_lags_5_sinusoidal_no_piecewise,False,2,piecewise_lags_5_sinusoidal_no,0.605,0.426,97.789,98.578,True,True,False,1.447,0.035,0,3.319,4.484,0.08,308.3264172381818,,,,,,,2.165,0.529,,,,,,
CPER-Cluster_2_yearly_False_window_2_lags_6_sinusoidal_no_piecewise,False,2,piecewise_lags_6_sinusoidal_no,0.863,0.503,79.559,79.877,True,True,False,1.459,0.519,0,3.265,5.075,0.018,319.23680366474747,,,,,,,,,2.809,0.036,,,,
CPER-Cluster_2_yearly_False_window_2_lags_none_sinusoidal_yes_piecewise,False,2,piecewise_lags_none_sinusoidal_yes,0.681,0.055,152.348,155.544,True,True,True,1.511,-0.066,0,3.667,4.219,0.012,293.95055353535355,,,,,,,,,,,1.19,1.362,0.255,0.631
CPER-Cluster_2_yearly_False_window_2_lags_2_sinusoidal_yes_piecewise,False,2,piecewise_lags_2_sinusoidal_yes,0.729,0.906,130.601,133.511,True,True,True,2.27,-4.112,0,8.957,12.238,0.241,293.4643747474747,3.647,0.459,,,,,,,,,1.467,1.168,0.993,0.25
