analysis_name,yearly_aggregate,window_size,config_type,r_squared,p_value,aic,bic,is_normal,is_homoscedastic,no_autocorrelation,durbin_watson,cv_r2_score,cv_r2_std,vif_PPT,vif_segment,p_value_segment,breakpoint,vif_ortho_PPT_lag1,p_value_lag1,vif_ortho_PPT_lag2,p_value_lag2,vif_ortho_PPT_lag6,p_value_lag6,vif_ortho_sin_cycle,vif_ortho_cos_cycle,p_value_sin,p_value_cos
Croplands_cluster_1_yearly_True_window_5_lags_6_sinusoidal_yes_piecewise,True,5,piecewise_lags_6_sinusoidal_yes,0.94,0.031,252.417,257.052,True,True,True,1.902,0.751,0,2.089,3.134,0.714,1044.955371522222,,,,,1.496,0.582,1.371,1.178,0.0,0.4
Croplands_cluster_1_yearly_False_window_6_lags_none_sinusoidal_no_piecewise,False,6,piecewise_lags_none_sinusoidal_no,0.04,0.153,987.706,993.673,True,True,False,0.397,-0.034,0,2.05,2.05,0.16,1006.3321515151515,,,,,,,,,,
Croplands_cluster_1_yearly_False_window_6_lags_1_sinusoidal_no_piecewise,False,6,piecewise_lags_1_sinusoidal_no,0.042,0.231,971.431,979.312,True,True,False,0.458,-0.171,0,2.116,2.163,0.236,1006.4531818181819,1.047,0.396,,,,,,,,
Croplands_cluster_1_yearly_False_window_6_lags_2_sinusoidal_no_piecewise,False,6,piecewise_lags_2_sinusoidal_no,0.032,0.261,957.545,965.35,True,True,False,0.439,-0.078,0,2.889,3.029,0.264,982.071,,,1.141,0.631,,,,,,
Croplands_cluster_1_yearly_False_window_6_lags_6_sinusoidal_no_piecewise,False,6,piecewise_lags_6_sinusoidal_no,0.047,0.973,907.314,914.798,False,True,False,0.37,-0.209,0,1.174,1.448,0.228,1099.0489090909093,,,,,1.273,0.538,,,,
Croplands_cluster_1_yearly_False_window_6_lags_none_sinusoidal_yes_piecewise,False,6,piecewise_lags_none_sinusoidal_yes,0.231,0.022,979.714,989.659,True,True,False,0.57,0.013,0,2.116,2.18,0.026,1006.3321515151515,,,,,,,1.0,1.064,0.001,0.848
Croplands_cluster_1_yearly_False_window_6_lags_1_sinusoidal_yes_piecewise,False,6,piecewise_lags_1_sinusoidal_yes,0.224,0.035,964.265,976.087,True,True,False,0.609,-0.038,0,2.202,2.331,0.04,1006.4531818181819,1.051,0.344,,,,,1.001,1.077,0.002,0.985
Croplands_cluster_1_yearly_False_window_6_lags_2_sinusoidal_yes_piecewise,False,6,piecewise_lags_2_sinusoidal_yes,0.178,0.398,953.061,964.769,True,True,False,0.558,-0.111,0,3.035,3.264,0.393,982.071,,,1.152,0.707,,,1.007,1.07,0.008,0.519
Croplands_cluster_1_yearly_False_window_6_lags_6_sinusoidal_yes_piecewise,False,6,piecewise_lags_6_sinusoidal_yes,0.251,0.857,899.742,910.969,True,False,False,0.577,-0.33,0,1.202,1.678,0.027,1099.0489090909093,,,,,1.317,0.248,1.149,1.01,0.002,0.93
Croplands_cluster_1_yearly_True_window_6_lags_none_sinusoidal_no_piecewise,True,6,piecewise_lags_none_sinusoidal_no,0.218,0.088,376.493,379.766,True,True,False,0.893,-0.749,0,1.781,1.781,0.041,1026.100466935101,,,,,,,,,,
