analysis_name,yearly_aggregate,window_size,config_type,r_squared,p_value,aic,bic,is_normal,is_homoscedastic,no_autocorrelation,durbin_watson,cv_r2_score,cv_r2_std,vif_PPT,vif_spline_0,vif_spline_1,vif_spline_2,p_value_spline_0,p_value_spline_1,p_value_spline_2,knots,vif_ortho_PPT_lag1,p_value_lag1,vif_ortho_PPT_lag2,p_value_lag2,vif_ortho_PPT_lag6,p_value_lag6,vif_ortho_sin_cycle,vif_ortho_cos_cycle,p_value_sin,p_value_cos
Croplands_cluster_1_yearly_False_window_5_lags_none_sinusoidal_no_spline,False,5,spline_lags_none_sinusoidal_no,0.018,0.821,1006.753,1016.698,True,True,False,0.514,-1.732,0,1.0,1.0,1.0,1.0,0.371,0.967,0.829,"[np.float64(966.1750051), np.float64(1012.173011), np.float64(1049.34885), np.float64(1063.8074), np.float64(1172.54)]",,,,,,,,,,
Croplands_cluster_1_yearly_False_window_5_lags_1_sinusoidal_no_spline,False,5,spline_lags_1_sinusoidal_no,0.018,0.857,990.826,1002.648,True,True,False,0.518,-0.597,0,1.0,1.001,1.142,1.005,0.429,0.937,0.642,"[np.float64(966.1750051), np.float64(1005.634602), np.float64(1050.7524), np.float64(1061.84492), np.float64(1172.54)]",1.148,0.999,,,,,,,,
Croplands_cluster_1_yearly_False_window_5_lags_2_sinusoidal_no_spline,False,5,spline_lags_2_sinusoidal_no,0.019,0.619,975.171,986.878,True,True,False,0.487,-0.647,0,1.0,1.0,1.266,1.0,0.538,0.963,0.636,"[np.float64(966.1750051), np.float64(1003.30064), np.float64(1052.0), np.float64(1062.82616), np.float64(1172.54)]",,,1.266,0.581,,,,,,
Croplands_cluster_1_yearly_False_window_5_lags_6_sinusoidal_no_spline,False,5,spline_lags_6_sinusoidal_no,0.109,0.417,921.385,932.613,False,True,False,0.7,-0.036,0,1.0,1.308,1.238,1.001,0.345,0.057,0.803,"[np.float64(966.1750051), np.float64(1004.0), np.float64(1050.4405), np.float64(1085.816), np.float64(1172.54)]",,,,,1.547,0.836,,,,
Croplands_cluster_1_yearly_False_window_5_lags_none_sinusoidal_yes_spline,False,5,spline_lags_none_sinusoidal_yes,0.241,0.456,996.824,1010.747,True,True,False,0.759,-0.578,0,1.0,1.258,1.037,1.015,0.015,0.479,0.851,"[np.float64(966.1750051), np.float64(1012.173011), np.float64(1049.34885), np.float64(1063.8074), np.float64(1172.54)]",,,,,,,1.288,1.023,0.001,0.576
Croplands_cluster_1_yearly_False_window_5_lags_1_sinusoidal_yes_spline,False,5,spline_lags_1_sinusoidal_yes,0.239,0.532,981.338,997.1,True,True,False,0.757,-1.299,0,1.0,1.284,1.185,1.027,0.02,0.455,0.963,"[np.float64(966.1750051), np.float64(1005.634602), np.float64(1050.7524), np.float64(1061.84492), np.float64(1172.54)]",1.153,0.96,,,,,1.314,1.029,0.001,0.671
Croplands_cluster_1_yearly_False_window_5_lags_2_sinusoidal_yes_spline,False,5,spline_lags_2_sinusoidal_yes,0.248,0.434,965.339,980.949,True,False,False,0.747,-0.402,0,1.0,1.334,1.299,1.008,0.023,0.607,0.797,"[np.float64(966.1750051), np.float64(1003.30064), np.float64(1052.0), np.float64(1062.82616), np.float64(1172.54)]",,,1.273,0.643,,,1.354,1.015,0.001,0.642
Croplands_cluster_1_yearly_False_window_5_lags_6_sinusoidal_yes_spline,False,5,spline_lags_6_sinusoidal_yes,0.29,0.132,914.526,929.496,True,False,False,1.101,-0.071,0,1.0,1.73,1.239,1.013,0.02,0.041,0.989,"[np.float64(966.1750051), np.float64(1004.0), np.float64(1050.4405), np.float64(1085.816), np.float64(1172.54)]",,,,,1.634,0.828,1.325,1.024,0.003,0.998
Croplands_cluster_1_yearly_True_window_5_lags_none_sinusoidal_no_spline,True,5,spline_lags_none_sinusoidal_no,0.219,0.19,387.555,393.011,True,True,False,0.691,-2.495,0,1.0,1.0,1.0,1.0,0.093,0.895,0.739,"[np.float64(994.994943), np.float64(1021.047555), np.float64(1036.969533), np.float64(1049.098429), np.float64(1077.3494494800002)]",,,,,,,,,,
Croplands_cluster_1_yearly_True_window_5_lags_1_sinusoidal_no_spline,True,5,spline_lags_1_sinusoidal_no,0.366,0.617,368.677,374.944,True,True,False,0.942,-49.799,0,1.0,1.043,1.011,1.0,0.174,0.464,0.268,"[np.float64(990.700426), np.float64(1026.220001), np.float64(1039.386667), np.float64(1048.291049), np.float64(1077.3494494800002)]",1.054,0.177,,,,,,,,
Croplands_cluster_1_yearly_True_window_5_lags_2_sinusoidal_no_spline,True,5,spline_lags_2_sinusoidal_no,0.524,0.681,346.802,352.776,True,True,False,1.279,-2.076,0,1.0,1.099,1.003,1.008,0.514,0.311,0.056,"[np.float64(996.550568), np.float64(1025.775378), np.float64(1040.375933), np.float64(1052.69725), np.float64(1077.3494494800002)]",,,1.11,0.096,,,,,,
Croplands_cluster_1_yearly_True_window_5_lags_6_sinusoidal_no_spline,True,5,spline_lags_6_sinusoidal_no,0.548,0.018,284.748,289.383,False,True,False,1.032,-1.945,0,1.0,1.083,1.122,1.005,0.317,0.827,0.289,"[np.float64(1006.12906), np.float64(1034.420871), np.float64(1046.758575), np.float64(1053.3115), np.float64(1077.3494494800002)]",,,,,1.209,0.747,,,,
Croplands_cluster_1_yearly_True_window_5_lags_none_sinusoidal_yes_spline,True,5,spline_lags_none_sinusoidal_yes,0.48,0.392,382.599,390.237,True,True,False,1.035,-1.586,0,1.0,1.594,1.541,1.058,0.526,0.218,0.833,"[np.float64(994.994943), np.float64(1021.047555), np.float64(1036.969533), np.float64(1049.098429), np.float64(1077.3494494800002)]",,,,,,,1.667,1.526,0.024,0.26
Croplands_cluster_1_yearly_True_window_5_lags_1_sinusoidal_yes_spline,True,5,spline_lags_1_sinusoidal_yes,0.602,0.831,362.92,371.276,True,True,False,1.13,-19.507,0,1.0,1.521,1.598,1.146,0.477,0.603,0.767,"[np.float64(990.700426), np.float64(1026.220001), np.float64(1039.386667), np.float64(1048.291049), np.float64(1077.3494494800002)]",1.075,0.112,,,,,1.734,1.456,0.046,0.098
Croplands_cluster_1_yearly_True_window_5_lags_2_sinusoidal_yes_spline,True,5,spline_lags_2_sinusoidal_yes,0.759,0.373,337.184,345.15,True,True,False,1.309,-1.833,0,1.0,1.535,1.989,1.558,0.936,0.567,0.907,"[np.float64(996.550568), np.float64(1025.775378), np.float64(1040.375933), np.float64(1052.69725), np.float64(1077.3494494800002)]",,,1.153,0.007,,,2.199,1.729,0.009,0.032
Croplands_cluster_1_yearly_True_window_5_lags_6_sinusoidal_yes_spline,True,5,spline_lags_6_sinusoidal_yes,0.964,0.011,248.225,254.406,True,True,True,2.001,-0.415,0,1.0,1.528,1.468,1.157,0.617,0.049,0.773,"[np.float64(1006.12906), np.float64(1034.420871), np.float64(1046.758575), np.float64(1053.3115), np.float64(1077.3494494800002)]",,,,,1.233,0.242,1.273,1.648,0.0,0.841
Croplands_cluster_1_yearly_False_window_6_lags_none_sinusoidal_no_spline,False,6,spline_lags_none_sinusoidal_no,0.055,0.676,990.811,1000.755,True,True,False,0.479,-0.26,0,1.0,1.0,1.0,1.0,0.671,0.456,0.164,"[np.float64(970.88200255), np.float64(1020.8548), np.float64(1053.5858), np.float64(1083.6886), np.float64(1151.97)]",,,,,,,,,,
Croplands_cluster_1_yearly_False_window_6_lags_1_sinusoidal_no_spline,False,6,spline_lags_1_sinusoidal_no,0.042,0.912,975.422,987.244,True,True,False,0.475,-5.564,0,1.0,1.001,1.004,1.001,0.629,0.653,0.351,"[np.float64(970.88200255), np.float64(1022.2912), np.float64(1046.455621), np.float64(1086.8424), np.float64(1151.97)]",1.006,0.417,,,,,,,,
Croplands_cluster_1_yearly_False_window_6_lags_2_sinusoidal_no_spline,False,6,spline_lags_2_sinusoidal_no,0.027,0.872,961.829,973.536,True,True,False,0.414,-0.382,0,1.0,1.0,1.007,1.003,0.772,0.819,0.371,"[np.float64(970.88200255), np.float64(1023.438402), np.float64(1047.921217), np.float64(1063.373625), np.float64(1151.97)]",,,1.01,0.552,,,,,,
Croplands_cluster_1_yearly_False_window_6_lags_6_sinusoidal_no_spline,False,6,spline_lags_6_sinusoidal_no,0.034,0.379,911.945,923.172,False,True,False,0.379,-0.364,0,1.0,1.083,1.087,1.014,0.62,0.538,0.621,"[np.float64(970.88200255), np.float64(1031.808203), np.float64(1055.22355), np.float64(1093.15), np.float64(1151.97)]",,,,,1.184,0.462,,,,
Croplands_cluster_1_yearly_False_window_6_lags_none_sinusoidal_yes_spline,False,6,spline_lags_none_sinusoidal_yes,0.236,0.697,983.338,997.261,True,True,False,0.645,-0.262,0,1.0,1.277,1.084,1.071,0.06,0.363,0.534,"[np.float64(970.88200255), np.float64(1020.8548), np.float64(1053.5858), np.float64(1083.6886), np.float64(1151.97)]",,,,,,,1.353,1.08,0.002,0.8
Croplands_cluster_1_yearly_False_window_6_lags_1_sinusoidal_yes_spline,False,6,spline_lags_1_sinusoidal_yes,0.234,0.833,967.564,983.326,True,True,False,0.666,-3.203,0,1.0,1.272,1.071,1.036,0.049,0.592,0.656,"[np.float64(970.88200255), np.float64(1022.2912), np.float64(1046.455621), np.float64(1086.8424), np.float64(1151.97)]",1.006,0.317,,,,,1.303,1.069,0.002,0.981
Croplands_cluster_1_yearly_False_window_6_lags_2_sinusoidal_yes_spline,False,6,spline_lags_2_sinusoidal_yes,0.245,0.716,952.592,968.202,True,True,False,0.642,-0.427,0,1.0,1.316,1.045,1.014,0.052,0.848,0.47,"[np.float64(970.88200255), np.float64(1023.438402), np.float64(1047.921217), np.float64(1063.373625), np.float64(1151.97)]",,,1.01,0.478,,,1.321,1.043,0.001,0.9
Croplands_cluster_1_yearly_False_window_6_lags_6_sinusoidal_yes_spline,False,6,spline_lags_6_sinusoidal_yes,0.235,0.131,904.795,919.765,True,False,False,0.568,-0.492,0,1.0,1.366,1.186,1.098,0.056,0.878,0.847,"[np.float64(970.88200255), np.float64(1031.808203), np.float64(1055.22355), np.float64(1093.15), np.float64(1151.97)]",,,,,1.202,0.276,1.331,1.117,0.002,0.943
Croplands_cluster_1_yearly_True_window_6_lags_none_sinusoidal_no_spline,True,6,spline_lags_none_sinusoidal_no,0.219,0.661,380.461,385.917,True,True,False,0.786,-4.021,0,1.0,1.0,1.0,1.0,0.193,0.33,0.297,"[np.float64(994.994943), np.float64(1023.634302), np.float64(1030.263358), np.float64(1050.58756), np.float64(1071.9376653333334)]",,,,,,,,,,
Croplands_cluster_1_yearly_True_window_6_lags_1_sinusoidal_no_spline,True,6,spline_lags_1_sinusoidal_no,0.448,0.802,359.177,365.444,True,True,False,1.282,-9.92,0,1.0,1.002,1.102,1.076,0.222,0.084,0.121,"[np.float64(990.700426), np.float64(1022.698717), np.float64(1030.124217), np.float64(1054.54), np.float64(1071.9376653333334)]",1.18,0.108,,,,,,,,
Croplands_cluster_1_yearly_True_window_6_lags_2_sinusoidal_no_spline,True,6,spline_lags_2_sinusoidal_no,0.614,0.695,336.665,342.639,True,True,False,1.475,-4.567,0,1.0,1.002,1.001,1.012,0.754,0.016,0.025,"[np.float64(996.550568), np.float64(1027.31849), np.float64(1034.592402), np.float64(1055.196612), np.float64(1071.9376653333334)]",,,1.015,0.04,,,,,,
Croplands_cluster_1_yearly_True_window_6_lags_6_sinusoidal_no_spline,True,6,spline_lags_6_sinusoidal_no,0.431,0.043,287.144,291.78,True,True,False,0.537,-37.185,0,1.0,1.062,1.202,1.018,0.723,0.973,0.951,"[np.float64(1012.5742166666665), np.float64(1032.358719), np.float64(1043.29565), np.float64(1056.181531), np.float64(1071.9376653333334)]",,,,,1.282,0.794,,,,
Croplands_cluster_1_yearly_True_window_6_lags_none_sinusoidal_yes_spline,True,6,spline_lags_none_sinusoidal_yes,0.403,0.649,378.56,386.197,True,True,False,0.683,-3.286,0,1.0,1.315,1.387,1.105,0.995,0.831,0.697,"[np.float64(994.994943), np.float64(1023.634302), np.float64(1030.263358), np.float64(1050.58756), np.float64(1071.9376653333334)]",,,,,,,1.597,1.21,0.058,0.24
Croplands_cluster_1_yearly_True_window_6_lags_1_sinusoidal_yes_spline,True,6,spline_lags_1_sinusoidal_yes,0.744,0.048,347.043,355.399,True,True,True,1.958,-115.186,0,1.0,1.444,1.513,1.322,0.805,0.117,0.105,"[np.float64(990.700426), np.float64(1022.698717), np.float64(1030.124217), np.float64(1054.54), np.float64(1071.9376653333334)]",1.21,0.024,,,,,1.901,1.168,0.067,0.003
Croplands_cluster_1_yearly_True_window_6_lags_2_sinusoidal_yes_spline,True,6,spline_lags_2_sinusoidal_yes,0.84,0.015,323.0,330.966,True,True,True,1.912,-1.593,0,1.0,1.277,2.09,1.537,0.146,0.466,0.891,"[np.float64(996.550568), np.float64(1027.31849), np.float64(1034.592402), np.float64(1055.196612), np.float64(1071.9376653333334)]",,,1.025,0.001,,,2.125,1.755,0.003,0.003
Croplands_cluster_1_yearly_True_window_6_lags_6_sinusoidal_yes_spline,True,6,spline_lags_6_sinusoidal_yes,0.974,0.088,242.052,248.233,True,True,True,2.288,-0.164,0,1.0,1.071,1.379,1.032,0.066,0.438,0.232,"[np.float64(1012.5742166666665), np.float64(1032.358719), np.float64(1043.29565), np.float64(1056.181531), np.float64(1071.9376653333334)]",,,,,1.299,0.226,1.028,1.155,0.0,0.11
Croplands_cluster_1_yearly_False_window_7_lags_none_sinusoidal_no_spline,False,7,spline_lags_none_sinusoidal_no,0.22,0.192,971.258,981.203,True,True,False,0.596,-0.038,0,1.0,1.0,1.0,1.0,0.357,0.002,0.112,"[np.float64(975.589), np.float64(1012.173011), np.float64(1054.2096), np.float64(1071.124), np.float64(1146.554)]",,,,,,,,,,
Croplands_cluster_1_yearly_False_window_7_lags_1_sinusoidal_no_spline,False,7,spline_lags_1_sinusoidal_no,0.274,0.376,951.076,962.897,False,True,False,0.892,0.087,0,1.0,1.003,1.146,1.021,0.323,0.001,0.025,"[np.float64(975.589), np.float64(1013.442602), np.float64(1054.762), np.float64(1074.416), np.float64(1146.554)]",1.17,0.087,,,,,,,,
Croplands_cluster_1_yearly_False_window_7_lags_2_sinusoidal_no_spline,False,7,spline_lags_2_sinusoidal_no,0.24,0.516,938.899,950.606,True,True,False,0.786,-0.13,0,1.0,1.006,1.064,1.003,0.229,0.002,0.418,"[np.float64(975.589), np.float64(1004.0), np.float64(1052.0), np.float64(1077.708), np.float64(1146.554)]",,,1.074,0.072,,,,,,
Croplands_cluster_1_yearly_False_window_7_lags_6_sinusoidal_no_spline,False,7,spline_lags_6_sinusoidal_no,0.053,0.44,915.045,926.272,False,True,False,0.51,-0.323,0,1.0,1.059,1.132,1.005,0.398,0.408,0.927,"[np.float64(975.589), np.float64(1013.76), np.float64(1057.432445), np.float64(1092.4), np.float64(1146.554)]",,,,,1.196,0.203,,,,
Croplands_cluster_1_yearly_False_window_7_lags_none_sinusoidal_yes_spline,False,7,spline_lags_none_sinusoidal_yes,0.313,0.236,968.391,982.314,False,True,False,0.676,-0.129,0,1.0,1.596,1.227,1.078,0.447,0.02,0.321,"[np.float64(975.589), np.float64(1012.173011), np.float64(1054.2096), np.float64(1071.124), np.float64(1146.554)]",,,,,,,1.72,1.18,0.015,0.748
Croplands_cluster_1_yearly_False_window_7_lags_1_sinusoidal_yes_spline,False,7,spline_lags_1_sinusoidal_yes,0.361,0.403,948.344,964.106,True,True,False,0.889,0.151,0,1.0,1.571,1.459,1.025,0.547,0.015,0.03,"[np.float64(975.589), np.float64(1013.442602), np.float64(1054.762), np.float64(1074.416), np.float64(1146.554)]",1.2,0.113,,,,,1.664,1.193,0.018,0.896
Croplands_cluster_1_yearly_False_window_7_lags_2_sinusoidal_yes_spline,False,7,spline_lags_2_sinusoidal_yes,0.343,0.593,935.36,950.97,True,True,False,0.844,-0.344,0,1.0,1.722,1.323,1.032,0.547,0.015,0.658,"[np.float64(975.589), np.float64(1004.0), np.float64(1052.0), np.float64(1077.708), np.float64(1146.554)]",,,1.103,0.105,,,1.796,1.178,0.014,0.939
Croplands_cluster_1_yearly_False_window_7_lags_6_sinusoidal_yes_spline,False,7,spline_lags_6_sinusoidal_yes,0.189,0.381,911.576,926.546,True,False,False,0.638,-0.854,0,1.0,1.845,1.26,1.134,0.345,0.475,0.69,"[np.float64(975.589), np.float64(1013.76), np.float64(1057.432445), np.float64(1092.4), np.float64(1146.554)]",,,,,1.264,0.286,1.753,1.222,0.013,0.921
Croplands_cluster_1_yearly_True_window_7_lags_none_sinusoidal_no_spline,True,7,spline_lags_none_sinusoidal_no,0.189,0.825,373.793,379.248,True,True,False,0.855,-34.444,0,1.0,1.0,1.0,1.0,0.169,0.299,0.724,"[np.float64(994.994943), np.float64(1022.120072), np.float64(1031.960536), np.float64(1045.839428), np.float64(1070.659321057143)]",,,,,,,,,,
Croplands_cluster_1_yearly_True_window_7_lags_1_sinusoidal_no_spline,True,7,spline_lags_1_sinusoidal_no,0.39,0.847,352.831,359.098,True,True,False,0.922,-3.942,0,1.0,1.01,1.051,1.045,0.101,0.096,0.529,"[np.float64(990.700426), np.float64(1024.550286), np.float64(1030.4025), np.float64(1041.139178), np.float64(1070.659321057143)]",1.106,0.091,,,,,,,,
Croplands_cluster_1_yearly_True_window_7_lags_2_sinusoidal_no_spline,True,7,spline_lags_2_sinusoidal_no,0.382,0.331,339.364,345.338,True,True,False,0.726,-1.738,0,1.0,1.0,1.013,1.168,0.206,0.738,0.784,"[np.float64(1015.5041428571429), np.float64(1029.131453), np.float64(1040.164166), np.float64(1047.090892), np.float64(1070.659321057143)]",,,1.182,0.153,,,,,,
Croplands_cluster_1_yearly_True_window_7_lags_6_sinusoidal_no_spline,True,7,spline_lags_6_sinusoidal_no,0.841,0.002,260.778,265.414,False,True,False,1.415,-2.259,0,1.0,1.147,1.003,1.001,0.006,0.267,0.162,"[np.float64(1012.5742166666665), np.float64(1029.928788), np.float64(1040.695991), np.float64(1048.108321), np.float64(1070.659321057143)]",,,,,1.152,0.118,,,,
Croplands_cluster_1_yearly_True_window_7_lags_none_sinusoidal_yes_spline,True,7,spline_lags_none_sinusoidal_yes,0.542,0.589,365.245,372.882,True,True,False,1.096,-3.409,0,1.0,1.157,1.26,1.01,0.796,0.791,0.453,"[np.float64(994.994943), np.float64(1022.120072), np.float64(1031.960536), np.float64(1045.839428), np.float64(1070.659321057143)]",,,,,,,1.339,1.089,0.004,0.361
Croplands_cluster_1_yearly_True_window_7_lags_1_sinusoidal_yes_spline,True,7,spline_lags_1_sinusoidal_yes,0.828,0.019,330.286,338.642,True,True,True,1.689,-1.148,0,1.0,1.292,1.238,1.106,0.693,0.027,0.996,"[np.float64(990.700426), np.float64(1024.550286), np.float64(1030.4025), np.float64(1041.139178), np.float64(1070.659321057143)]",1.115,0.004,,,,,1.504,1.016,0.001,0.002
Croplands_cluster_1_yearly_True_window_7_lags_2_sinusoidal_yes_spline,True,7,spline_lags_2_sinusoidal_yes,0.842,0.025,316.073,324.038,True,True,True,1.612,-8.145,0,1.0,1.088,1.064,1.254,0.15,0.117,0.104,"[np.float64(1015.5041428571429), np.float64(1029.131453), np.float64(1040.164166), np.float64(1047.090892), np.float64(1070.659321057143)]",,,1.192,0.001,,,1.096,1.118,0.0,0.002
Croplands_cluster_1_yearly_True_window_7_lags_6_sinusoidal_yes_spline,True,7,spline_lags_6_sinusoidal_yes,0.983,0.025,228.666,234.847,True,True,False,3.026,-2.152,0,1.0,1.901,1.166,1.305,0.005,0.118,0.523,"[np.float64(1012.5742166666665), np.float64(1029.928788), np.float64(1040.695991), np.float64(1048.108321), np.float64(1070.659321057143)]",,,,,1.227,0.002,1.943,1.202,0.0,0.185
Croplands_cluster_1_yearly_False_window_8_lags_none_sinusoidal_no_spline,False,8,spline_lags_none_sinusoidal_no,0.248,0.05,961.443,971.388,True,True,False,0.638,-0.64,0,1.0,1.0,1.0,1.0,0.331,0.0,0.424,"[np.float64(975.589), np.float64(1024.190353), np.float64(1047.444), np.float64(1065.1272), np.float64(1138.977)]",,,,,,,,,,
Croplands_cluster_1_yearly_False_window_8_lags_1_sinusoidal_no_spline,False,8,spline_lags_1_sinusoidal_no,0.264,0.096,943.726,955.548,True,True,False,0.606,0.103,0,1.0,1.002,1.001,1.024,0.294,0.001,0.522,"[np.float64(975.589), np.float64(1021.128102), np.float64(1049.4364), np.float64(1066.9785), np.float64(1138.977)]",1.027,0.123,,,,,,,,
Croplands_cluster_1_yearly_False_window_8_lags_2_sinusoidal_no_spline,False,8,spline_lags_2_sinusoidal_no,0.242,0.196,931.235,942.942,True,True,False,0.604,0.004,0,1.0,1.005,1.0,1.0,0.248,0.001,0.576,"[np.float64(975.589), np.float64(1029.303343), np.float64(1052.0992), np.float64(1066.9785), np.float64(1138.977)]",,,1.005,0.431,,,,,,
Croplands_cluster_1_yearly_False_window_8_lags_6_sinusoidal_no_spline,False,8,spline_lags_6_sinusoidal_no,0.218,0.733,890.76,901.987,False,True,False,0.54,-0.412,0,1.0,1.006,1.1,1.003,0.024,0.05,0.685,"[np.float64(975.589), np.float64(1036.788655), np.float64(1059.5733), np.float64(1072.58), np.float64(1138.977)]",,,,,1.109,0.134,,,,
Croplands_cluster_1_yearly_False_window_8_lags_none_sinusoidal_yes_spline,False,8,spline_lags_none_sinusoidal_yes,0.37,0.077,955.865,969.788,True,True,False,0.773,-2.009,0,1.0,1.273,1.29,1.007,0.733,0.002,0.532,"[np.float64(975.589), np.float64(1024.190353), np.float64(1047.444), np.float64(1065.1272), np.float64(1138.977)]",,,,,,,1.292,1.277,0.005,0.755
Croplands_cluster_1_yearly_False_window_8_lags_1_sinusoidal_yes_spline,False,8,spline_lags_1_sinusoidal_yes,0.364,0.132,940.0,955.762,True,True,False,0.75,0.087,0,1.0,1.297,1.27,1.07,0.959,0.003,0.806,"[np.float64(975.589), np.float64(1021.128102), np.float64(1049.4364), np.float64(1066.9785), np.float64(1138.977)]",1.029,0.08,,,,,1.34,1.268,0.017,0.609
Croplands_cluster_1_yearly_False_window_8_lags_2_sinusoidal_yes_spline,False,8,spline_lags_2_sinusoidal_yes,0.399,0.196,923.176,938.786,True,True,False,0.807,-0.067,0,1.0,1.324,1.223,1.007,0.755,0.002,0.381,"[np.float64(975.589), np.float64(1029.303343), np.float64(1052.0992), np.float64(1066.9785), np.float64(1138.977)]",,,1.006,0.313,,,1.325,1.223,0.002,0.607
Croplands_cluster_1_yearly_False_window_8_lags_6_sinusoidal_yes_spline,False,8,spline_lags_6_sinusoidal_yes,0.337,0.507,886.861,901.83,True,False,False,0.588,-0.434,0,1.0,1.409,1.371,1.144,0.373,0.053,0.288,"[np.float64(975.589), np.float64(1036.788655), np.float64(1059.5733), np.float64(1072.58), np.float64(1138.977)]",,,,,1.137,0.076,1.436,1.35,0.013,0.813
Croplands_cluster_1_yearly_True_window_8_lags_none_sinusoidal_no_spline,True,8,spline_lags_none_sinusoidal_no,0.24,0.663,365.515,370.971,True,True,False,0.778,-8.86,0,1.0,1.0,1.0,1.0,0.109,0.593,0.211,"[np.float64(994.994943), np.float64(1021.909264), np.float64(1033.392116), np.float64(1041.03148), np.float64(1075.020280925)]",,,,,,,,,,
Croplands_cluster_1_yearly_True_window_8_lags_1_sinusoidal_no_spline,True,8,spline_lags_1_sinusoidal_no,0.511,0.807,341.271,347.538,True,True,False,0.847,-23.278,0,1.0,1.019,1.02,1.045,0.174,0.102,0.018,"[np.float64(990.700426), np.float64(1021.310001), np.float64(1036.286537), np.float64(1047.640531), np.float64(1075.020280925)]",1.084,0.352,,,,,,,,
Croplands_cluster_1_yearly_True_window_8_lags_2_sinusoidal_no_spline,True,8,spline_lags_2_sinusoidal_no,0.321,0.297,335.201,341.176,True,True,False,0.699,-8.116,0,1.0,1.0,1.045,1.093,0.355,0.846,0.55,"[np.float64(1014.066125), np.float64(1030.08275), np.float64(1036.774722), np.float64(1042.934033), np.float64(1075.0202809250002)]",,,1.138,0.39,,,,,,
Croplands_cluster_1_yearly_True_window_8_lags_6_sinusoidal_no_spline,True,8,spline_lags_6_sinusoidal_no,0.856,0.003,257.619,262.255,True,True,False,1.485,-1.196,0,1.0,1.093,1.018,1.079,0.01,0.547,0.028,"[np.float64(1012.5742166666665), np.float64(1032.188997), np.float64(1040.030318), np.float64(1049.578249), np.float64(1075.0202809250002)]",,,,,1.19,0.275,,,,
Croplands_cluster_1_yearly_True_window_8_lags_none_sinusoidal_yes_spline,True,8,spline_lags_none_sinusoidal_yes,0.662,0.442,351.712,359.349,True,True,False,1.482,-0.798,0,1.0,1.114,1.375,1.031,0.446,0.41,0.029,"[np.float64(994.994943), np.float64(1021.909264), np.float64(1033.392116), np.float64(1041.03148), np.float64(1075.020280925)]",,,,,,,1.385,1.135,0.001,0.028
Croplands_cluster_1_yearly_True_window_8_lags_1_sinusoidal_yes_spline,True,8,spline_lags_1_sinusoidal_yes,0.824,0.027,323.78,332.136,True,True,False,1.395,-1.231,0,1.0,1.176,1.7,1.741,0.858,0.324,0.867,"[np.float64(990.700426), np.float64(1021.310001), np.float64(1036.286537), np.float64(1047.640531), np.float64(1075.020280925)]",1.097,0.014,,,,,2.171,1.349,0.002,0.001
Croplands_cluster_1_yearly_True_window_8_lags_2_sinusoidal_yes_spline,True,8,spline_lags_2_sinusoidal_yes,0.841,0.022,310.107,318.073,True,True,True,1.642,-9.632,0,1.0,1.133,1.187,1.207,0.297,0.431,0.091,"[np.float64(1014.066125), np.float64(1030.08275), np.float64(1036.774722), np.float64(1042.934033), np.float64(1075.0202809250002)]",,,1.147,0.002,,,1.192,1.187,0.0,0.001
Croplands_cluster_1_yearly_True_window_8_lags_6_sinusoidal_yes_spline,True,8,spline_lags_6_sinusoidal_yes,0.988,0.018,221.47,227.65,True,True,True,1.959,-2.507,0,1.0,3.219,1.357,3.226,0.252,0.258,0.927,"[np.float64(1012.5742166666665), np.float64(1032.188997), np.float64(1040.030318), np.float64(1049.578249), np.float64(1075.0202809250002)]",,,,,1.713,0.05,4.892,1.196,0.0,0.005
Croplands_cluster_1_yearly_False_window_9_lags_none_sinusoidal_no_spline,False,9,spline_lags_none_sinusoidal_no,0.335,0.019,948.402,958.347,True,True,False,0.868,0.101,0,1.0,1.0,1.0,1.0,0.166,0.0,0.526,"[np.float64(975.589), np.float64(1008.495156), np.float64(1044.244), np.float64(1057.648), np.float64(1145.02184)]",,,,,,,,,,
Croplands_cluster_1_yearly_False_window_9_lags_1_sinusoidal_no_spline,False,9,spline_lags_1_sinusoidal_no,0.337,0.049,931.549,943.371,True,True,False,1.032,-0.048,0,1.0,1.004,1.078,1.022,0.153,0.0,0.584,"[np.float64(975.589), np.float64(1013.442602), np.float64(1046.336), np.float64(1058.61), np.float64(1145.02184)]",1.105,0.14,,,,,,,,
Croplands_cluster_1_yearly_False_window_9_lags_2_sinusoidal_no_spline,False,9,spline_lags_2_sinusoidal_no,0.357,0.116,914.11,925.818,True,True,False,0.976,0.132,0,1.0,1.004,1.018,1.018,0.144,0.0,0.794,"[np.float64(975.589), np.float64(1013.76), np.float64(1049.168), np.float64(1058.61), np.float64(1145.02184)]",,,1.041,0.089,,,,,,
Croplands_cluster_1_yearly_False_window_9_lags_6_sinusoidal_no_spline,False,9,spline_lags_6_sinusoidal_no,0.249,0.474,888.181,899.409,False,True,False,0.947,-0.054,0,1.0,1.039,1.232,1.002,0.039,0.015,0.829,"[np.float64(975.589), np.float64(1011.808), np.float64(1052.0), np.float64(1064.24696), np.float64(1145.02184)]",,,,,1.273,0.019,,,,
