analysis_name,yearly_aggregate,window_size,config_type,r_squared,p_value,aic,bic,is_normal,is_homoscedastic,no_autocorrelation,durbin_watson,cv_r2_score,cv_r2_std,vif_PPT,vif_spline_0,vif_spline_1,vif_spline_2,p_value_spline_0,p_value_spline_1,p_value_spline_2,knots,vif_ortho_PPT_lag1,p_value_lag1,vif_ortho_PPT_lag2,p_value_lag2,vif_ortho_PPT_lag6,p_value_lag6,vif_ortho_sin_cycle,vif_ortho_cos_cycle,p_value_sin,p_value_cos
Croplands_cluster_1_yearly_False_window_2_lags_1_sinusoidal_yes_spline,False,2,spline_lags_1_sinusoidal_yes,0.171,0.514,1037.561,1053.323,True,True,False,1.022,-17.315,0,1.0,1.045,1.06,1.026,0.164,0.238,0.58,"[np.float64(937.097), np.float64(1009.582), np.float64(1048.12806), np.float64(1104.78092), np.float64(1329.622989)]",1.094,0.138,,,,,1.018,1.018,0.069,0.93
Croplands_cluster_1_yearly_False_window_2_lags_2_sinusoidal_yes_spline,False,2,spline_lags_2_sinusoidal_yes,0.17,0.718,1018.079,1033.689,True,False,False,1.077,-0.063,0,1.0,1.096,1.272,1.021,0.145,0.172,0.659,"[np.float64(937.097), np.float64(1008.66207), np.float64(1044.92875), np.float64(1104.97244), np.float64(1329.622989)]",,,1.365,0.114,,,1.019,1.004,0.105,0.949
Croplands_cluster_1_yearly_False_window_2_lags_6_sinusoidal_yes_spline,False,2,spline_lags_6_sinusoidal_yes,0.173,0.027,943.121,958.09,True,True,False,1.007,-5.368,0,1.0,1.293,1.1,1.036,0.213,0.151,0.792,"[np.float64(937.097), np.float64(1007.07092), np.float64(1047.8153), np.float64(1117.347395), np.float64(1329.622989)]",,,,,1.349,0.083,1.052,1.029,0.126,0.915
Croplands_cluster_1_yearly_True_window_2_lags_none_sinusoidal_no_spline,True,2,spline_lags_none_sinusoidal_no,0.114,0.766,406.936,412.392,True,True,False,0.684,-0.232,0,1.0,1.0,1.0,1.0,0.371,0.566,0.514,"[np.float64(967.8835000000001), np.float64(1014.402105), np.float64(1036.660058), np.float64(1071.480875), np.float64(1126.58)]",,,,,,,,,,
Croplands_cluster_1_yearly_True_window_2_lags_1_sinusoidal_no_spline,True,2,spline_lags_1_sinusoidal_no,0.259,0.929,388.04,394.307,True,True,False,1.157,-1.074,0,1.0,1.027,1.001,1.001,0.348,0.512,0.113,"[np.float64(967.8835000000001), np.float64(1030.934002), np.float64(1044.333), np.float64(1084.268128), np.float64(1126.58)]",1.029,0.579,,,,,,,,
Croplands_cluster_1_yearly_True_window_2_lags_2_sinusoidal_no_spline,True,2,spline_lags_2_sinusoidal_no,0.184,0.949,374.706,380.681,True,True,False,0.836,-2.174,0,1.0,1.027,1.111,1.012,0.283,0.524,0.551,"[np.float64(967.8835000000001), np.float64(1032.995301), np.float64(1045.12766), np.float64(1078.854532), np.float64(1126.58)]",,,1.151,0.763,,,,,,
Croplands_cluster_1_yearly_True_window_2_lags_6_sinusoidal_no_spline,True,2,spline_lags_6_sinusoidal_no,0.338,0.34,299.056,303.692,True,True,False,1.444,-4.893,0,1.0,1.018,1.043,1.007,0.163,0.667,0.377,"[np.float64(967.8835), np.float64(1035.410662), np.float64(1069.520814), np.float64(1092.025124), np.float64(1126.58)]",,,,,1.068,0.453,,,,
Croplands_cluster_1_yearly_True_window_2_lags_none_sinusoidal_yes_spline,True,2,spline_lags_none_sinusoidal_yes,0.391,0.646,402.68,410.318,True,False,False,0.977,0.109,0,1.0,1.083,1.003,1.039,0.162,0.421,0.266,"[np.float64(967.8835000000001), np.float64(1014.402105), np.float64(1036.660058), np.float64(1071.480875), np.float64(1126.58)]",,,,,,,1.046,1.079,0.054,0.129
Croplands_cluster_1_yearly_True_window_2_lags_1_sinusoidal_yes_spline,True,2,spline_lags_1_sinusoidal_yes,0.469,0.415,385.042,393.398,True,True,False,1.479,-1.328,0,1.0,1.138,1.014,1.332,0.107,0.328,0.41,"[np.float64(967.8835000000001), np.float64(1030.934002), np.float64(1044.333), np.float64(1084.268128), np.float64(1126.58)]",1.032,0.289,,,,,1.324,1.127,0.292,0.063
Croplands_cluster_1_yearly_True_window_2_lags_2_sinusoidal_yes_spline,True,2,spline_lags_2_sinusoidal_yes,0.511,0.209,368.477,376.443,True,True,False,1.469,-1.776,0,1.0,1.209,1.14,1.081,0.094,0.433,0.94,"[np.float64(967.8835000000001), np.float64(1032.995301), np.float64(1045.12766), np.float64(1078.854532), np.float64(1126.58)]",,,1.166,0.154,,,1.109,1.155,0.085,0.045
Croplands_cluster_1_yearly_True_window_2_lags_6_sinusoidal_yes_spline,True,2,spline_lags_6_sinusoidal_yes,0.803,0.12,283.693,289.874,True,True,True,1.958,-23.911,0,1.0,1.228,1.328,1.319,0.131,0.299,0.45,"[np.float64(967.8835), np.float64(1035.410662), np.float64(1069.520814), np.float64(1092.025124), np.float64(1126.58)]",,,,,1.073,0.279,1.465,1.336,0.004,0.097
