analysis_name,yearly_aggregate,window_size,config_type,r_squared,p_value,aic,bic,is_normal,is_homoscedastic,no_autocorrelation,durbin_watson,cv_r2_score,cv_r2_std,vif_PPT,vif_quadratic,p_value_quadratic,vif_ortho_PPT_lag1,p_value_lag1,vif_ortho_sin_cycle,vif_ortho_cos_cycle,p_value_sin,p_value_cos
Maize-Cluster_0_yearly_False_window_5_lags_1_sinusoidal_no_quadratic,False,5,quadratic_lags_1_sinusoidal_no,0.434,0.02,337.525,341.508,True,True,False,1.093,-1.134,0,1.471,1.494,0.483,1.024,0.104,,,,
Maize-Cluster_0_yearly_False_window_5_lags_none_sinusoidal_yes_quadratic,False,5,quadratic_lags_none_sinusoidal_yes,0.364,0.075,357.83,363.052,True,True,False,0.807,-0.135,0,1.865,2.255,0.31,,,1.007,1.383,0.052,0.266
Maize-Cluster_0_yearly_False_window_5_lags_1_sinusoidal_yes_quadratic,False,5,quadratic_lags_1_sinusoidal_yes,0.581,0.007,335.5,341.474,True,True,False,1.059,-2.423,0,1.585,1.858,0.659,1.029,0.086,1.079,1.164,0.428,0.056
Maize-Cluster_0_yearly_True_window_5_lags_none_sinusoidal_no_quadratic,True,5,quadratic_lags_none_sinusoidal_no,0.027,0.641,336.16,338.993,True,True,False,0.399,-1.92,0,1.369,1.369,0.529,,,,,,
Maize-Cluster_0_yearly_True_window_5_lags_1_sinusoidal_no_quadratic,True,5,quadratic_lags_1_sinusoidal_no,0.086,0.38,320.913,324.474,False,True,False,0.299,-1.257,0,1.486,1.516,0.832,1.03,0.371,,,,
Maize-Cluster_0_yearly_True_window_5_lags_none_sinusoidal_yes_quadratic,True,5,quadratic_lags_none_sinusoidal_yes,0.201,0.453,336.42,341.142,True,True,False,0.737,-1.021,0,1.423,1.57,0.398,,,1.0,1.146,0.114,0.631
Maize-Cluster_0_yearly_True_window_5_lags_1_sinusoidal_yes_quadratic,True,5,quadratic_lags_1_sinusoidal_yes,0.232,0.337,321.789,327.131,True,True,False,0.561,-2.843,0,1.548,1.708,0.825,1.034,0.379,1.119,1.007,0.192,0.598
Maize-Cluster_0_yearly_False_window_6_lags_none_sinusoidal_no_quadratic,False,6,quadratic_lags_none_sinusoidal_no,0.129,0.126,359.842,362.976,True,False,False,0.557,-0.77,0,1.462,1.462,0.825,,,,,,
Maize-Cluster_0_yearly_False_window_6_lags_1_sinusoidal_no_quadratic,False,6,quadratic_lags_1_sinusoidal_no,0.427,0.01,338.298,342.281,True,True,False,0.893,-1.447,0,1.379,1.38,0.767,1.001,0.275,,,,
Maize-Cluster_0_yearly_False_window_6_lags_none_sinusoidal_yes_quadratic,False,6,quadratic_lags_none_sinusoidal_yes,0.324,0.1,358.545,363.767,True,False,False,0.853,-0.986,0,1.518,1.638,0.548,,,1.005,1.115,0.064,0.431
Maize-Cluster_0_yearly_False_window_6_lags_1_sinusoidal_yes_quadratic,False,6,quadratic_lags_1_sinusoidal_yes,0.607,0.002,334.738,340.713,True,True,False,1.18,-5.873,0,1.406,1.476,0.961,1.001,0.133,1.066,1.004,0.776,0.027
Maize-Cluster_0_yearly_True_window_6_lags_none_sinusoidal_no_quadratic,True,6,quadratic_lags_none_sinusoidal_no,0.031,0.826,332.697,335.53,True,True,False,0.284,-3.797,0,1.232,1.232,0.514,,,,,,
Maize-Cluster_0_yearly_True_window_6_lags_1_sinusoidal_no_quadratic,True,6,quadratic_lags_1_sinusoidal_no,0.064,0.598,318.277,321.839,True,True,False,0.376,-0.869,0,1.676,1.728,0.52,1.052,0.624,,,,
Maize-Cluster_0_yearly_True_window_6_lags_none_sinusoidal_yes_quadratic,True,6,quadratic_lags_none_sinusoidal_yes,0.271,0.285,331.293,336.015,True,True,False,0.582,-4.298,0,1.286,1.521,0.187,,,1.015,1.22,0.092,0.233
Maize-Cluster_0_yearly_True_window_6_lags_1_sinusoidal_yes_quadratic,True,6,quadratic_lags_1_sinusoidal_yes,0.313,0.412,316.699,322.041,True,True,False,1.026,-2.692,0,1.791,2.021,0.187,1.061,0.611,1.168,1.001,0.101,0.357
Maize-Cluster_0_yearly_False_window_7_lags_none_sinusoidal_no_quadratic,False,7,quadratic_lags_none_sinusoidal_no,0.319,0.038,354.436,357.57,True,True,False,0.564,0.12,0,1.43,1.43,0.248,,,,,,
Maize-Cluster_0_yearly_False_window_7_lags_1_sinusoidal_no_quadratic,False,7,quadratic_lags_1_sinusoidal_no,0.483,0.008,335.567,339.55,True,True,False,0.856,-0.326,0,1.38,1.38,0.948,1.0,0.426,,,,
Maize-Cluster_0_yearly_False_window_7_lags_none_sinusoidal_yes_quadratic,False,7,quadratic_lags_none_sinusoidal_yes,0.646,0.005,344.687,349.91,True,True,False,1.009,0.189,0,1.454,1.511,0.607,,,1.052,1.004,0.002,0.213
Maize-Cluster_0_yearly_False_window_7_lags_1_sinusoidal_yes_quadratic,False,7,quadratic_lags_1_sinusoidal_yes,0.747,0.002,325.282,331.257,True,True,False,1.473,0.347,0,1.391,1.42,0.682,1.0,0.224,1.026,1.002,0.019,0.032
Maize-Cluster_0_yearly_True_window_7_lags_none_sinusoidal_no_quadratic,True,7,quadratic_lags_none_sinusoidal_no,0.002,0.986,333.143,335.976,False,True,False,0.272,-1.818,0,1.805,1.805,0.878,,,,,,
Maize-Cluster_0_yearly_True_window_7_lags_1_sinusoidal_no_quadratic,True,7,quadratic_lags_1_sinusoidal_no,0.028,0.584,317.803,321.365,True,True,False,0.22,-5.865,0,2.016,2.02,0.7,1.004,0.846,,,,
Maize-Cluster_0_yearly_True_window_7_lags_none_sinusoidal_yes_quadratic,True,7,quadratic_lags_none_sinusoidal_yes,0.333,0.262,329.472,334.194,True,True,False,0.621,-3.236,0,2.369,3.07,0.785,,,1.047,1.654,0.025,0.482
Maize-Cluster_0_yearly_True_window_7_lags_1_sinusoidal_yes_quadratic,True,7,quadratic_lags_1_sinusoidal_yes,0.33,0.313,315.11,320.453,True,True,False,0.553,-6.369,0,2.097,2.18,0.955,1.004,0.597,1.038,1.042,0.046,0.422
Maize-Cluster_0_yearly_False_window_8_lags_none_sinusoidal_no_quadratic,False,8,quadratic_lags_none_sinusoidal_no,0.305,0.014,353.423,356.556,True,True,False,0.45,-0.15,0,1.754,1.754,0.58,,,,,,
Maize-Cluster_0_yearly_False_window_8_lags_1_sinusoidal_no_quadratic,False,8,quadratic_lags_1_sinusoidal_no,0.633,0.0,327.196,331.179,True,True,False,0.793,0.112,0,1.636,1.638,0.67,1.002,0.113,,,,
Maize-Cluster_0_yearly_False_window_8_lags_none_sinusoidal_yes_quadratic,False,8,quadratic_lags_none_sinusoidal_yes,0.61,0.005,345.309,350.531,True,True,False,0.793,0.162,0,1.774,1.799,0.515,,,1.002,1.023,0.005,0.282
Maize-Cluster_0_yearly_False_window_8_lags_1_sinusoidal_yes_quadratic,False,8,quadratic_lags_1_sinusoidal_yes,0.835,0.0,315.168,321.143,True,True,False,1.244,0.33,0,1.658,1.694,0.935,1.002,0.046,1.001,1.034,0.055,0.006
Maize-Cluster_0_yearly_True_window_8_lags_none_sinusoidal_no_quadratic,True,8,quadratic_lags_none_sinusoidal_no,0.033,0.472,329.309,332.142,True,True,False,0.243,-1.58,0,1.556,1.556,0.711,,,,,,
Maize-Cluster_0_yearly_True_window_8_lags_1_sinusoidal_no_quadratic,True,8,quadratic_lags_1_sinusoidal_no,0.055,0.724,314.015,317.577,False,True,False,0.28,-2.144,0,1.922,2.005,0.391,1.084,0.723,,,,
Maize-Cluster_0_yearly_True_window_8_lags_none_sinusoidal_yes_quadratic,True,8,quadratic_lags_none_sinusoidal_yes,0.364,0.612,325.363,330.085,True,True,False,0.496,-1.898,0,2.05,2.941,0.167,,,1.46,1.431,0.018,0.702
Maize-Cluster_0_yearly_True_window_8_lags_1_sinusoidal_yes_quadratic,True,8,quadratic_lags_1_sinusoidal_yes,0.268,0.975,313.425,318.767,True,True,False,0.386,-2.736,0,2.074,2.338,0.911,1.098,0.988,1.148,1.018,0.087,0.824
Maize-Cluster_0_yearly_False_window_9_lags_none_sinusoidal_no_quadratic,False,9,quadratic_lags_none_sinusoidal_no,0.307,0.013,355.823,358.956,True,True,False,0.524,-0.603,0,1.588,1.588,0.638,,,,,,
Maize-Cluster_0_yearly_False_window_9_lags_1_sinusoidal_no_quadratic,False,9,quadratic_lags_1_sinusoidal_no,0.712,0.0,324.255,328.238,True,True,False,0.943,-0.422,0,1.794,1.8,0.286,1.006,0.006,,,,
Maize-Cluster_0_yearly_False_window_9_lags_none_sinusoidal_yes_quadratic,False,9,quadratic_lags_none_sinusoidal_yes,0.529,0.01,351.707,356.93,True,False,False,0.874,-1.207,0,1.61,1.649,0.977,,,1.037,1.001,0.014,0.91
Maize-Cluster_0_yearly_False_window_9_lags_1_sinusoidal_yes_quadratic,False,9,quadratic_lags_1_sinusoidal_yes,0.795,0.0,321.49,327.464,True,True,False,1.108,-0.088,0,1.811,1.837,0.253,1.006,0.009,1.016,1.005,0.044,0.518
Maize-Cluster_0_yearly_True_window_9_lags_none_sinusoidal_no_quadratic,True,9,quadratic_lags_none_sinusoidal_no,0.1,0.261,326.858,329.691,True,True,False,0.224,-0.399,0,1.641,1.641,0.957,,,,,,
Maize-Cluster_0_yearly_True_window_9_lags_1_sinusoidal_no_quadratic,True,9,quadratic_lags_1_sinusoidal_no,0.008,0.906,314.157,317.718,False,True,False,0.118,-1.457,0,1.799,2.043,0.99,1.244,0.764,,,,
Maize-Cluster_0_yearly_True_window_9_lags_none_sinusoidal_yes_quadratic,True,9,quadratic_lags_none_sinusoidal_yes,0.344,0.726,324.845,329.567,True,True,False,0.327,-1.317,0,1.996,2.551,0.648,,,1.0,1.554,0.039,0.745
Maize-Cluster_0_yearly_True_window_9_lags_1_sinusoidal_yes_quadratic,True,9,quadratic_lags_1_sinusoidal_yes,0.299,0.992,311.912,317.255,True,True,False,0.352,-2.469,0,1.828,2.116,0.98,1.253,0.797,1.0,1.036,0.046,0.951
Maize-Cluster_0_yearly_False_window_10_lags_none_sinusoidal_no_quadratic,False,10,quadratic_lags_none_sinusoidal_no,0.182,0.072,357.639,360.772,True,True,False,0.377,-0.245,0,1.925,1.925,0.854,,,,,,
Maize-Cluster_0_yearly_False_window_10_lags_1_sinusoidal_no_quadratic,False,10,quadratic_lags_1_sinusoidal_no,0.701,0.0,323.312,327.295,False,True,False,1.294,0.315,0,2.342,2.392,0.11,1.05,0.004,,,,
Maize-Cluster_0_yearly_False_window_10_lags_none_sinusoidal_yes_quadratic,False,10,quadratic_lags_none_sinusoidal_yes,0.452,0.065,353.208,358.431,True,True,False,0.638,0.258,0,2.044,2.173,0.955,,,1.003,1.127,0.018,0.396
Maize-Cluster_0_yearly_False_window_10_lags_1_sinusoidal_yes_quadratic,False,10,quadratic_lags_1_sinusoidal_yes,0.776,0.0,321.608,327.583,True,True,False,1.276,0.225,0,2.479,2.637,0.148,1.055,0.011,1.01,1.092,0.05,0.901
