analysis_name,yearly_aggregate,window_size,config_type,r_squared,p_value,aic,bic,is_normal,is_homoscedastic,no_autocorrelation,durbin_watson,cv_r2_score,cv_r2_std,vif_PPT,vif_spline_0,vif_spline_1,vif_spline_2,p_value_spline_0,p_value_spline_1,p_value_spline_2,knots,vif_ortho_PPT_lag1,p_value_lag1,vif_ortho_PPT_lag5,p_value_lag5,vif_ortho_sin_cycle,vif_ortho_cos_cycle,p_value_sin,p_value_cos
Croplands_cluster_2_yearly_True_window_6_lags_5_sinusoidal_no_spline,True,6,spline_lags_5_sinusoidal_no,0.256,0.122,451.684,458.752,True,True,False,0.461,-16.457,0,1.0,1.037,1.225,1.009,0.367,0.496,0.62,"[np.float64(730.9892765577779), np.float64(775.540416), np.float64(785.25404), np.float64(801.853784), np.float64(828.4511249999999)]",,,1.271,0.055,,,,
Croplands_cluster_2_yearly_True_window_6_lags_none_sinusoidal_yes_spline,True,6,spline_lags_none_sinusoidal_yes,0.015,0.896,530.074,539.645,False,True,False,0.161,-2.483,0,1.0,1.113,1.096,1.06,0.967,0.933,0.996,"[np.float64(730.9892765577779), np.float64(771.521459), np.float64(780.669789), np.float64(793.049089), np.float64(828.4511249999999)]",,,,,1.116,1.153,0.832,0.648
Croplands_cluster_2_yearly_True_window_6_lags_1_sinusoidal_yes_spline,True,6,spline_lags_1_sinusoidal_yes,0.104,0.874,511.826,522.483,True,True,False,0.252,-4.277,0,1.0,1.181,1.166,1.156,0.949,0.85,0.506,"[np.float64(730.9892765577779), np.float64(767.065561), np.float64(777.982984), np.float64(794.905233), np.float64(828.4511249999999)]",1.149,0.244,,,1.253,1.1,0.984,0.58
Croplands_cluster_2_yearly_True_window_6_lags_5_sinusoidal_yes_spline,True,6,spline_lags_5_sinusoidal_yes,0.284,0.156,454.782,464.207,True,True,False,0.532,-21.364,0,1.0,1.105,1.609,1.087,0.443,0.352,0.789,"[np.float64(730.9892765577779), np.float64(775.540416), np.float64(785.25404), np.float64(801.853784), np.float64(828.4511249999999)]",,,1.348,0.063,1.304,1.149,0.495,0.672
Croplands_cluster_2_yearly_False_window_7_lags_none_sinusoidal_no_spline,False,7,spline_lags_none_sinusoidal_no,0.053,0.485,1252.509,1263.679,False,True,False,0.321,-0.02,0,1.0,1.0,1.0,1.0,0.259,0.497,0.21,"[np.float64(709.8422857142858), np.float64(754.601057), np.float64(779.319217), np.float64(796.182411), np.float64(834.3645714285714)]",,,,,,,,
Croplands_cluster_2_yearly_False_window_7_lags_1_sinusoidal_no_spline,False,7,spline_lags_1_sinusoidal_no,0.037,0.423,1237.651,1250.968,False,True,False,0.305,-0.019,0,1.0,1.0,1.001,1.005,0.316,0.47,0.568,"[np.float64(709.8422857142857), np.float64(754.517228), np.float64(778.721708), np.float64(796.855661), np.float64(834.3645714285714)]",1.006,0.498,,,,,,
Croplands_cluster_2_yearly_False_window_7_lags_5_sinusoidal_no_spline,False,7,spline_lags_5_sinusoidal_no,0.024,0.695,1172.152,1185.105,True,True,False,0.317,-0.25,0,1.0,1.004,1.131,1.0,0.426,0.577,0.551,"[np.float64(709.8422857142857), np.float64(752.3935), np.float64(776.593878), np.float64(799.350558), np.float64(834.3645714285714)]",,,1.135,0.998,,,,
Croplands_cluster_2_yearly_False_window_7_lags_none_sinusoidal_yes_spline,False,7,spline_lags_none_sinusoidal_yes,0.14,0.295,1249.856,1265.495,True,True,False,0.412,-0.017,0,1.0,1.217,1.035,1.054,0.039,0.381,0.485,"[np.float64(709.8422857142858), np.float64(754.601057), np.float64(779.319217), np.float64(796.182411), np.float64(834.3645714285714)]",,,,,1.271,1.035,0.016,0.705
Croplands_cluster_2_yearly_False_window_7_lags_1_sinusoidal_yes_spline,False,7,spline_lags_1_sinusoidal_yes,0.137,0.281,1234.183,1251.939,True,True,False,0.413,0.009,0,1.0,1.218,1.037,1.012,0.048,0.394,0.605,"[np.float64(709.8422857142857), np.float64(754.517228), np.float64(778.721708), np.float64(796.855661), np.float64(834.3645714285714)]",1.006,0.444,,,1.218,1.043,0.013,0.612
Croplands_cluster_2_yearly_False_window_7_lags_5_sinusoidal_yes_spline,False,7,spline_lags_5_sinusoidal_yes,0.122,0.628,1169.394,1186.665,False,True,False,0.431,-0.172,0,1.0,1.361,1.197,1.022,0.068,0.53,0.731,"[np.float64(709.8422857142857), np.float64(752.3935), np.float64(776.593878), np.float64(799.350558), np.float64(834.3645714285714)]",,,1.141,0.921,1.37,1.069,0.021,0.574
Croplands_cluster_2_yearly_True_window_7_lags_none_sinusoidal_no_spline,True,7,spline_lags_none_sinusoidal_no,0.018,0.843,523.364,530.201,False,True,False,0.197,-0.269,0,1.0,1.0,1.0,1.0,0.575,0.908,0.818,"[np.float64(744.0589227580952), np.float64(771.349971), np.float64(781.964314), np.float64(797.209795), np.float64(828.4511249999999)]",,,,,,,,
Croplands_cluster_2_yearly_True_window_7_lags_1_sinusoidal_no_spline,True,7,spline_lags_1_sinusoidal_no,0.088,0.945,505.836,513.829,True,True,False,0.428,-0.558,0,1.0,1.158,1.041,1.031,0.422,0.916,0.67,"[np.float64(744.0589227580953), np.float64(771.258071), np.float64(782.681261), np.float64(791.658262), np.float64(828.451125)]",1.229,0.182,,,,,,
Croplands_cluster_2_yearly_True_window_7_lags_5_sinusoidal_no_spline,True,7,spline_lags_5_sinusoidal_no,0.204,0.234,450.941,458.01,False,True,False,0.357,-3.785,0,1.0,1.083,1.098,1.0,0.343,0.407,0.865,"[np.float64(744.0589227580953), np.float64(771.411237), np.float64(785.024067), np.float64(796.432427), np.float64(828.451125)]",,,1.181,0.127,,,,
Croplands_cluster_2_yearly_True_window_7_lags_none_sinusoidal_yes_spline,True,7,spline_lags_none_sinusoidal_yes,0.025,0.936,527.165,536.736,False,True,False,0.193,-1.318,0,1.0,1.058,1.178,1.023,0.599,0.854,0.836,"[np.float64(744.0589227580952), np.float64(771.349971), np.float64(781.964314), np.float64(797.209795), np.float64(828.4511249999999)]",,,,,1.2,1.058,0.805,0.779
Croplands_cluster_2_yearly_True_window_7_lags_1_sinusoidal_yes_spline,True,7,spline_lags_1_sinusoidal_yes,0.092,0.894,509.688,520.346,True,True,False,0.422,-0.807,0,1.0,1.218,1.218,1.109,0.457,0.954,0.634,"[np.float64(744.0589227580953), np.float64(771.258071), np.float64(782.681261), np.float64(791.658262), np.float64(828.451125)]",1.231,0.196,,,1.209,1.105,0.914,0.765
Croplands_cluster_2_yearly_True_window_7_lags_5_sinusoidal_yes_spline,True,7,spline_lags_5_sinusoidal_yes,0.247,0.31,453.589,463.014,False,True,False,0.401,-5.289,0,1.0,1.103,1.443,1.118,0.439,0.272,0.877,"[np.float64(744.0589227580953), np.float64(771.411237), np.float64(785.024067), np.float64(796.432427), np.float64(828.451125)]",,,1.2,0.158,1.414,1.05,0.404,0.634
Croplands_cluster_2_yearly_False_window_8_lags_none_sinusoidal_no_spline,False,8,spline_lags_none_sinusoidal_no,0.023,0.385,1252.295,1263.466,False,True,False,0.308,-0.086,0,1.0,1.0,1.0,1.0,0.529,0.45,0.629,"[np.float64(703.6906250000001), np.float64(756.769484), np.float64(778.38041), np.float64(795.5637), np.float64(829.5615750000001)]",,,,,,,,
Croplands_cluster_2_yearly_False_window_8_lags_1_sinusoidal_no_spline,False,8,spline_lags_1_sinusoidal_no,0.025,0.362,1236.211,1249.528,False,True,False,0.286,-0.353,0,1.0,1.007,1.0,1.0,0.636,0.42,0.556,"[np.float64(703.690625), np.float64(756.648457), np.float64(778.228688), np.float64(795.650775), np.float64(829.561575)]",1.008,0.716,,,,,,
Croplands_cluster_2_yearly_False_window_8_lags_5_sinusoidal_no_spline,False,8,spline_lags_5_sinusoidal_no,0.014,0.615,1170.981,1183.935,False,False,False,0.289,-0.307,0,1.0,1.022,1.087,1.004,0.625,0.561,0.877,"[np.float64(703.690625), np.float64(753.647932), np.float64(768.209812), np.float64(796.28075), np.float64(829.5615750000001)]",,,1.113,0.853,,,,
Croplands_cluster_2_yearly_False_window_8_lags_none_sinusoidal_yes_spline,False,8,spline_lags_none_sinusoidal_yes,0.099,0.219,1250.746,1266.385,True,True,False,0.432,-0.159,0,1.0,1.091,1.018,1.063,0.208,0.322,0.513,"[np.float64(703.6906250000001), np.float64(756.769484), np.float64(778.38041), np.float64(795.5637), np.float64(829.5615750000001)]",,,,,1.078,1.094,0.032,0.504
Croplands_cluster_2_yearly_False_window_8_lags_1_sinusoidal_yes_spline,False,8,spline_lags_1_sinusoidal_yes,0.096,0.242,1235.064,1252.82,True,True,False,0.393,-0.615,0,1.0,1.104,1.017,1.002,0.276,0.333,0.61,"[np.float64(703.690625), np.float64(756.648457), np.float64(778.228688), np.float64(795.650775), np.float64(829.561575)]",1.009,0.686,,,1.09,1.025,0.042,0.506
Croplands_cluster_2_yearly_False_window_8_lags_5_sinusoidal_yes_spline,False,8,spline_lags_5_sinusoidal_yes,0.086,0.688,1170.086,1187.357,True,True,False,0.397,-0.33,0,1.0,1.19,1.115,1.031,0.227,0.674,0.988,"[np.float64(703.690625), np.float64(753.647932), np.float64(768.209812), np.float64(796.28075), np.float64(829.5615750000001)]",,,1.119,0.801,1.176,1.041,0.052,0.498
Croplands_cluster_2_yearly_True_window_8_lags_none_sinusoidal_no_spline,True,8,spline_lags_none_sinusoidal_no,0.061,0.562,520.987,527.823,False,True,False,0.198,-5.467,0,1.0,1.0,1.0,1.0,0.286,0.936,0.637,"[np.float64(757.219249085), np.float64(769.082013), np.float64(779.863808), np.float64(792.966613), np.float64(817.6236066333332)]",,,,,,,,
Croplands_cluster_2_yearly_True_window_8_lags_1_sinusoidal_no_spline,True,8,spline_lags_1_sinusoidal_no,0.166,0.796,502.215,510.208,True,True,False,0.465,-1.377,0,1.0,1.294,1.0,1.062,0.164,0.776,0.691,"[np.float64(756.4692376047618), np.float64(777.574137), np.float64(781.72185), np.float64(793.409591), np.float64(817.6236066333335)]",1.356,0.069,,,,,,
Croplands_cluster_2_yearly_True_window_8_lags_5_sinusoidal_no_spline,True,8,spline_lags_5_sinusoidal_no,0.362,0.012,443.993,451.062,True,False,False,0.503,-7.3,0,1.0,1.156,1.087,1.011,0.017,0.566,0.742,"[np.float64(757.219249085), np.float64(779.477353), np.float64(788.276135), np.float64(796.891122), np.float64(817.6236066333335)]",,,1.254,0.01,,,,
Croplands_cluster_2_yearly_True_window_8_lags_none_sinusoidal_yes_spline,True,8,spline_lags_none_sinusoidal_yes,0.062,0.641,524.937,534.508,False,True,False,0.201,-5.467,0,1.0,1.053,1.134,1.005,0.336,0.894,0.662,"[np.float64(757.219249085), np.float64(769.082013), np.float64(779.863808), np.float64(792.966613), np.float64(817.6236066333332)]",,,,,1.127,1.066,0.86,0.942
