analysis_name,yearly_aggregate,window_size,config_type,r_squared,p_value,aic,bic,is_normal,is_homoscedastic,no_autocorrelation,durbin_watson,cv_r2_score,cv_r2_std,vif_PPT,vif_ortho_PPT_lag1,p_value_lag1,vif_ortho_PPT_lag2,p_value_lag2,vif_ortho_PPT_lag3,p_value_lag3,vif_ortho_PPT_lag4,p_value_lag4,vif_ortho_PPT_lag5,p_value_lag5,vif_ortho_sin_cycle,vif_ortho_cos_cycle,p_value_sin,p_value_cos
CPER_yearly_False_window_5_lags_none_sinusoidal_yes_linear,False,5,linear_lags_none_sinusoidal_yes,0.721,0.0,440.989,447.433,True,True,False,0.377,0.529,0,1.0,,,,,,,,,,,1.0,1.0,0.555,0.0
CPER_yearly_False_window_5_lags_1_sinusoidal_yes_linear,False,5,linear_lags_1_sinusoidal_yes,0.766,0.0,422.991,430.909,True,True,False,0.742,0.575,0,1.0,1.0,0.608,,,,,,,,,1.0,1.0,0.629,0.0
CPER_yearly_False_window_5_lags_2_sinusoidal_yes_linear,False,5,linear_lags_2_sinusoidal_yes,0.817,0.0,403.647,411.423,True,True,False,0.693,0.736,0,1.0,,,1.0,0.123,,,,,,,1.0,1.0,0.809,0.0
CPER_yearly_False_window_5_lags_3_sinusoidal_yes_linear,False,5,linear_lags_3_sinusoidal_yes,0.83,0.0,391.319,398.951,True,True,False,0.699,0.77,0,1.0,,,,,1.0,0.023,,,,,1.0,1.0,0.954,0.0
CPER_yearly_False_window_5_lags_4_sinusoidal_yes_linear,False,5,linear_lags_4_sinusoidal_yes,0.83,0.001,380.663,388.146,True,False,False,0.676,0.785,0,1.0,,,,,,,1.0,0.008,,,1.0,1.0,0.902,0.0
CPER_yearly_False_window_5_lags_5_sinusoidal_yes_linear,False,5,linear_lags_5_sinusoidal_yes,0.846,0.07,366.87,374.199,True,True,False,0.705,0.799,0,1.0,,,,,,,,,1.0,0.0,1.0,1.0,0.802,0.0
CPER_yearly_True_window_5_lags_none_sinusoidal_no_linear,True,5,linear_lags_none_sinusoidal_no,0.538,0.0,455.74,458.962,True,False,False,0.277,0.447,0,1.0,,,,,,,,,,,,,,
CPER_yearly_True_window_5_lags_1_sinusoidal_no_linear,True,5,linear_lags_1_sinusoidal_no,0.504,0.0,446.059,450.809,True,False,False,0.303,0.429,0,1.0,1.0,0.685,,,,,,,,,,,,
CPER_yearly_True_window_5_lags_2_sinusoidal_no_linear,True,5,linear_lags_2_sinusoidal_no,0.526,0.0,432.954,437.62,True,False,False,0.318,0.465,0,1.0,,,1.0,0.272,,,,,,,,,,
CPER_yearly_True_window_5_lags_3_sinusoidal_no_linear,True,5,linear_lags_3_sinusoidal_no,0.566,0.002,419.139,423.718,True,False,False,0.375,0.505,0,1.0,,,,,1.0,0.055,,,,,,,,
