analysis_name,yearly_aggregate,window_size,config_type,r_squared,p_value,aic,bic,is_normal,is_homoscedastic,no_autocorrelation,durbin_watson,cv_r2_score,cv_r2_std,vif_PPT,vif_ortho_PPT_lag1,p_value_lag1,vif_ortho_sin_cycle,vif_ortho_cos_cycle,p_value_sin,p_value_cos
Maize-Cluster_0_yearly_False_window_1_lags_none_sinusoidal_no_linear,False,1,linear_lags_none_sinusoidal_no,0.005,0.767,408.87,410.959,True,True,True,2.052,-0.145,0,1.0,,,,,,
Maize-Cluster_0_yearly_False_window_1_lags_1_sinusoidal_no_linear,False,1,linear_lags_1_sinusoidal_no,0.304,0.101,385.292,388.279,True,True,True,2.078,-0.057,0,1.0,1.0,0.015,,,,
Maize-Cluster_0_yearly_False_window_1_lags_none_sinusoidal_yes_linear,False,1,linear_lags_none_sinusoidal_yes,0.041,0.933,412.087,416.265,True,True,True,1.95,-0.226,0,1.0,,,1.0,1.0,0.874,0.449
Maize-Cluster_0_yearly_False_window_1_lags_1_sinusoidal_yes_linear,False,1,linear_lags_1_sinusoidal_yes,0.416,0.05,385.759,390.737,True,True,True,1.767,0.14,0,1.0,1.0,0.008,1.0,1.0,0.615,0.129
Maize-Cluster_0_yearly_True_window_1_lags_none_sinusoidal_no_linear,True,1,linear_lags_none_sinusoidal_no,0.021,0.552,361.117,363.006,True,True,True,2.098,-1.051,0,1.0,,,,,,
Maize-Cluster_0_yearly_True_window_1_lags_1_sinusoidal_no_linear,True,1,linear_lags_1_sinusoidal_no,0.047,0.849,344.625,347.296,True,True,True,2.069,-0.604,0,1.0,1.0,0.475,,,,
Maize-Cluster_0_yearly_True_window_1_lags_none_sinusoidal_yes_linear,True,1,linear_lags_none_sinusoidal_yes,0.069,0.804,364.169,367.947,True,True,True,1.918,-1.394,0,1.0,,,1.0,1.0,0.948,0.395
Maize-Cluster_0_yearly_True_window_1_lags_1_sinusoidal_yes_linear,True,1,linear_lags_1_sinusoidal_yes,0.131,0.557,346.972,351.424,True,True,True,1.8,-1.284,0,1.0,1.0,0.335,1.0,1.0,0.888,0.286
Maize-Cluster_0_yearly_False_window_2_lags_none_sinusoidal_no_linear,False,2,linear_lags_none_sinusoidal_no,0.018,0.567,392.729,394.818,True,True,False,1.174,-0.001,0,1.0,,,,,,
Maize-Cluster_0_yearly_False_window_2_lags_1_sinusoidal_no_linear,False,2,linear_lags_1_sinusoidal_no,0.227,0.088,372.4,375.387,True,True,False,1.092,-0.468,0,1.0,1.0,0.064,,,,
Maize-Cluster_0_yearly_False_window_2_lags_none_sinusoidal_yes_linear,False,2,linear_lags_none_sinusoidal_yes,0.062,0.462,395.758,399.936,True,True,False,1.269,-0.983,0,1.0,,,1.0,1.0,0.559,0.518
Maize-Cluster_0_yearly_False_window_2_lags_1_sinusoidal_yes_linear,False,2,linear_lags_1_sinusoidal_yes,0.355,0.05,372.78,377.759,True,True,False,1.163,-1.711,0,1.0,1.0,0.046,1.0,1.0,0.161,0.372
Maize-Cluster_0_yearly_True_window_2_lags_none_sinusoidal_no_linear,True,2,linear_lags_none_sinusoidal_no,0.023,0.534,346.686,348.574,True,True,False,1.02,-0.266,0,1.0,,,,,,
Maize-Cluster_0_yearly_True_window_2_lags_1_sinusoidal_no_linear,True,2,linear_lags_1_sinusoidal_no,0.015,0.884,331.81,334.481,True,True,False,0.995,-1.436,0,1.0,1.0,0.732,,,,
Maize-Cluster_0_yearly_True_window_2_lags_none_sinusoidal_yes_linear,True,2,linear_lags_none_sinusoidal_yes,0.068,0.795,349.795,353.572,True,True,False,1.096,-0.32,0,1.0,,,1.0,1.0,0.477,0.647
Maize-Cluster_0_yearly_True_window_2_lags_1_sinusoidal_yes_linear,True,2,linear_lags_1_sinusoidal_yes,0.091,0.849,334.355,338.807,True,True,False,1.099,-1.619,0,1.0,1.0,0.64,1.0,1.0,0.36,0.624
Maize-Cluster_0_yearly_False_window_3_lags_none_sinusoidal_no_linear,False,3,linear_lags_none_sinusoidal_no,0.001,0.868,378.798,380.887,True,True,False,1.001,-0.232,0,1.0,,,,,,
