analysis_name,yearly_aggregate,window_size,config_type,r_squared,p_value,aic,bic,is_normal,is_homoscedastic,no_autocorrelation,durbin_watson,cv_r2_score,cv_r2_std,vif_PPT,vif_segment,p_value_segment,breakpoint,vif_ortho_sin_cycle,vif_ortho_cos_cycle,p_value_sin,p_value_cos
KBS_yearly_True_window_6_lags_none_sinusoidal_no_piecewise,True,6,piecewise_lags_none_sinusoidal_no,0.333,0.08,540.826,545.223,True,False,False,0.369,0.143,0,3.197,3.197,0.27,862.6269665993266,,,,
KBS_yearly_True_window_6_lags_none_sinusoidal_yes_piecewise,True,6,piecewise_lags_none_sinusoidal_yes,0.338,0.106,544.548,551.877,True,False,False,0.333,-0.035,0,3.224,3.236,0.326,862.6269665993266,1.012,1.0,0.834,0.664
KBS_yearly_False_window_7_lags_none_sinusoidal_no_piecewise,False,7,piecewise_lags_none_sinusoidal_no,0.357,0.026,542.406,546.803,True,True,False,1.009,0.114,0,1.169,1.169,0.067,1026.1818717604617,,,,
KBS_yearly_False_window_7_lags_none_sinusoidal_yes_piecewise,False,7,piecewise_lags_none_sinusoidal_yes,0.364,0.035,546.056,553.384,True,True,False,0.989,0.06,0,1.175,1.207,0.067,1026.1818717604617,1.032,1.001,0.592,0.962
KBS_yearly_True_window_7_lags_none_sinusoidal_no_piecewise,True,7,piecewise_lags_none_sinusoidal_no,0.357,0.026,542.406,546.803,True,True,False,1.009,0.114,0,1.169,1.169,0.067,1026.1818717604617,,,,
KBS_yearly_True_window_7_lags_none_sinusoidal_yes_piecewise,True,7,piecewise_lags_none_sinusoidal_yes,0.364,0.035,546.056,553.384,True,True,False,0.989,0.06,0,1.175,1.207,0.067,1026.1818717604617,1.032,1.001,0.592,0.962
KBS_yearly_False_window_8_lags_none_sinusoidal_no_piecewise,False,8,piecewise_lags_none_sinusoidal_no,0.35,0.005,539.595,543.992,True,True,False,0.753,0.186,0,1.09,1.09,0.187,1031.8024575,,,,
KBS_yearly_False_window_8_lags_none_sinusoidal_yes_piecewise,False,8,piecewise_lags_none_sinusoidal_yes,0.378,0.007,542.155,549.483,True,True,False,0.722,-0.17,0,1.099,1.198,0.126,1031.8024575,1.076,1.023,0.487,0.38
KBS_yearly_True_window_8_lags_none_sinusoidal_no_piecewise,True,8,piecewise_lags_none_sinusoidal_no,0.35,0.005,539.595,543.992,True,True,False,0.753,0.186,0,1.09,1.09,0.187,1031.8024575,,,,
KBS_yearly_True_window_8_lags_none_sinusoidal_yes_piecewise,True,8,piecewise_lags_none_sinusoidal_yes,0.378,0.007,542.155,549.483,True,True,False,0.722,-0.17,0,1.099,1.198,0.126,1031.8024575,1.076,1.023,0.487,0.38
KBS_yearly_False_window_9_lags_none_sinusoidal_no_piecewise,False,9,piecewise_lags_none_sinusoidal_no,0.485,0.384,525.797,530.195,True,True,False,0.651,0.321,0,1.733,1.733,0.021,991.8485934904601,,,,
KBS_yearly_False_window_9_lags_none_sinusoidal_yes_piecewise,False,9,piecewise_lags_none_sinusoidal_yes,0.503,0.47,528.65,535.978,True,True,False,0.616,0.21,0,1.749,1.771,0.017,991.8485934904601,1.002,1.02,0.741,0.356
KBS_yearly_True_window_9_lags_none_sinusoidal_no_piecewise,True,9,piecewise_lags_none_sinusoidal_no,0.485,0.384,525.797,530.195,True,True,False,0.651,0.321,0,1.733,1.733,0.021,991.8485934904601,,,,
KBS_yearly_True_window_9_lags_none_sinusoidal_yes_piecewise,True,9,piecewise_lags_none_sinusoidal_yes,0.503,0.47,528.65,535.978,True,True,False,0.616,0.21,0,1.749,1.771,0.017,991.8485934904601,1.002,1.02,0.741,0.356
KBS_yearly_False_window_10_lags_none_sinusoidal_no_piecewise,False,10,piecewise_lags_none_sinusoidal_no,0.417,0.603,528.268,532.666,True,True,False,0.818,0.308,0,1.82,1.82,0.068,975.6723806868687,,,,
KBS_yearly_False_window_10_lags_none_sinusoidal_yes_piecewise,False,10,piecewise_lags_none_sinusoidal_yes,0.429,0.695,531.584,538.913,True,True,False,0.75,0.26,0,1.837,1.857,0.062,975.6723806868687,1.017,1.003,0.767,0.485
KBS_yearly_True_window_10_lags_none_sinusoidal_no_piecewise,True,10,piecewise_lags_none_sinusoidal_no,0.417,0.603,528.268,532.666,True,True,False,0.818,0.308,0,1.82,1.82,0.068,975.6723806868687,,,,
KBS_yearly_True_window_10_lags_none_sinusoidal_yes_piecewise,True,10,piecewise_lags_none_sinusoidal_yes,0.429,0.695,531.584,538.913,True,True,False,0.75,0.26,0,1.837,1.857,0.062,975.6723806868687,1.017,1.003,0.767,0.485
