analysis_name,yearly_aggregate,window_size,config_type,r_squared,p_value,aic,bic,is_normal,is_homoscedastic,no_autocorrelation,durbin_watson,cv_r2_score,cv_r2_std,vif_PPT,vif_segment,p_value_segment,breakpoint,vif_ortho_PPT_lag1,p_value_lag1,vif_ortho_PPT_lag2,p_value_lag2,vif_ortho_PPT_lag3,p_value_lag3,vif_ortho_PPT_lag4,p_value_lag4,vif_ortho_PPT_lag5,p_value_lag5,vif_ortho_sin_cycle,vif_ortho_cos_cycle,p_value_sin,p_value_cos
CPER_yearly_True_window_3_lags_4_sinusoidal_yes_piecewise,True,3,piecewise_lags_4_sinusoidal_yes,0.728,0.023,414.559,423.538,False,True,False,0.946,0.54,0,1.986,2.865,0.976,314.7633967900337,,,,,,,1.462,0.207,,,1.371,1.045,0.885,0.0
CPER_yearly_True_window_3_lags_5_sinusoidal_yes_piecewise,True,3,piecewise_lags_5_sinusoidal_yes,0.744,0.529,401.287,410.081,False,True,False,1.013,0.69,0,1.955,2.794,0.523,315.21052946626264,,,,,,,,,1.488,0.029,1.314,1.037,0.781,0.001
CPER_yearly_False_window_4_lags_none_sinusoidal_no_piecewise,False,4,piecewise_lags_none_sinusoidal_no,0.54,0.002,465.437,470.269,True,False,False,0.56,0.38,0,1.574,1.574,0.356,313.02185151515147,,,,,,,,,,,,,,
CPER_yearly_False_window_4_lags_1_sinusoidal_no_piecewise,False,4,piecewise_lags_1_sinusoidal_no,0.499,0.002,455.535,461.869,True,True,False,0.513,0.359,0,1.483,1.556,0.284,313.3417121212121,1.073,0.51,,,,,,,,,,,,
CPER_yearly_False_window_4_lags_2_sinusoidal_no_piecewise,False,4,piecewise_lags_2_sinusoidal_no,0.488,0.099,443.177,449.398,True,True,False,0.62,0.447,0,4.475,4.802,0.218,269.8193,,,1.327,0.949,,,,,,,,,,
CPER_yearly_False_window_4_lags_3_sinusoidal_no_piecewise,False,4,piecewise_lags_3_sinusoidal_no,0.518,0.289,430.366,436.472,True,True,False,0.594,0.333,0,5.442,6.099,0.475,270.13435,,,,,1.657,0.227,,,,,,,,
CPER_yearly_False_window_4_lags_4_sinusoidal_no_piecewise,False,4,piecewise_lags_4_sinusoidal_no,0.544,0.566,416.214,422.2,True,True,False,0.646,0.327,0,7.419,8.461,0.697,267.7795,,,,,,,2.042,0.061,,,,,,
CPER_yearly_False_window_4_lags_5_sinusoidal_no_piecewise,False,4,piecewise_lags_5_sinusoidal_no,0.619,0.965,398.968,404.831,True,True,False,0.57,0.433,0,9.377,10.981,0.985,265.1125,,,,,,,,,2.604,0.006,,,,
CPER_yearly_False_window_4_lags_none_sinusoidal_yes_piecewise,False,4,piecewise_lags_none_sinusoidal_yes,0.678,0.008,456.176,464.231,True,True,False,0.655,0.436,0,1.79,2.166,0.976,313.02185151515147,,,,,,,,,,,1.334,1.042,0.894,0.001
CPER_yearly_False_window_4_lags_1_sinusoidal_yes_piecewise,False,4,piecewise_lags_1_sinusoidal_yes,0.764,0.001,432.449,441.95,True,True,False,0.808,0.539,0,1.731,2.357,0.942,313.3417121212121,1.111,0.298,,,,,,,,,1.47,1.044,0.866,0.0
CPER_yearly_False_window_4_lags_2_sinusoidal_yes_piecewise,False,4,piecewise_lags_2_sinusoidal_yes,0.778,0.212,417.896,427.228,True,True,False,0.919,0.701,0,6.502,7.603,0.531,269.8193,,,1.518,0.945,,,,,,,1.566,1.018,0.487,0.0
CPER_yearly_False_window_4_lags_3_sinusoidal_yes_piecewise,False,4,piecewise_lags_3_sinusoidal_yes,0.779,0.491,407.86,417.018,True,True,False,0.89,0.668,0,8.214,9.905,0.892,270.13435,,,,,2.067,0.143,,,,,1.548,1.076,0.425,0.0
CPER_yearly_False_window_4_lags_4_sinusoidal_yes_piecewise,False,4,piecewise_lags_4_sinusoidal_yes,0.77,0.738,397.689,406.668,True,True,False,0.856,0.657,0,10.629,12.692,0.988,267.7795,,,,,,,2.563,0.054,,,1.361,1.139,0.412,0.0
CPER_yearly_False_window_4_lags_5_sinusoidal_yes_piecewise,False,4,piecewise_lags_5_sinusoidal_yes,0.79,0.825,383.948,392.743,True,False,False,0.84,0.693,0,12.601,15.208,0.701,265.1125,,,,,,,,,3.222,0.005,1.269,1.116,0.627,0.0
CPER_yearly_True_window_4_lags_none_sinusoidal_no_piecewise,True,4,piecewise_lags_none_sinusoidal_no,0.54,0.002,465.437,470.269,True,False,False,0.56,0.38,0,1.574,1.574,0.356,313.02185151515147,,,,,,,,,,,,,,
CPER_yearly_True_window_4_lags_1_sinusoidal_no_piecewise,True,4,piecewise_lags_1_sinusoidal_no,0.499,0.002,455.535,461.869,True,True,False,0.513,0.359,0,1.483,1.556,0.284,313.3417121212121,1.073,0.51,,,,,,,,,,,,
CPER_yearly_True_window_4_lags_2_sinusoidal_no_piecewise,True,4,piecewise_lags_2_sinusoidal_no,0.488,0.099,443.177,449.398,True,True,False,0.62,0.447,0,4.475,4.802,0.218,269.8193,,,1.327,0.949,,,,,,,,,,
CPER_yearly_True_window_4_lags_3_sinusoidal_no_piecewise,True,4,piecewise_lags_3_sinusoidal_no,0.518,0.289,430.366,436.472,True,True,False,0.594,0.333,0,5.442,6.099,0.475,270.13435,,,,,1.657,0.227,,,,,,,,
CPER_yearly_True_window_4_lags_4_sinusoidal_no_piecewise,True,4,piecewise_lags_4_sinusoidal_no,0.544,0.566,416.214,422.2,True,True,False,0.646,0.327,0,7.419,8.461,0.697,267.7795,,,,,,,2.042,0.061,,,,,,
CPER_yearly_True_window_4_lags_5_sinusoidal_no_piecewise,True,4,piecewise_lags_5_sinusoidal_no,0.619,0.965,398.968,404.831,True,True,False,0.57,0.433,0,9.377,10.981,0.985,265.1125,,,,,,,,,2.604,0.006,,,,
CPER_yearly_True_window_4_lags_none_sinusoidal_yes_piecewise,True,4,piecewise_lags_none_sinusoidal_yes,0.678,0.008,456.176,464.231,True,True,False,0.655,0.436,0,1.79,2.166,0.976,313.02185151515147,,,,,,,,,,,1.334,1.042,0.894,0.001
CPER_yearly_True_window_4_lags_1_sinusoidal_yes_piecewise,True,4,piecewise_lags_1_sinusoidal_yes,0.764,0.001,432.449,441.95,True,True,False,0.808,0.539,0,1.731,2.357,0.942,313.3417121212121,1.111,0.298,,,,,,,,,1.47,1.044,0.866,0.0
CPER_yearly_True_window_4_lags_2_sinusoidal_yes_piecewise,True,4,piecewise_lags_2_sinusoidal_yes,0.778,0.212,417.896,427.228,True,True,False,0.919,0.701,0,6.502,7.603,0.531,269.8193,,,1.518,0.945,,,,,,,1.566,1.018,0.487,0.0
CPER_yearly_True_window_4_lags_3_sinusoidal_yes_piecewise,True,4,piecewise_lags_3_sinusoidal_yes,0.779,0.491,407.86,417.018,True,True,False,0.89,0.668,0,8.214,9.905,0.892,270.13435,,,,,2.067,0.143,,,,,1.548,1.076,0.425,0.0
CPER_yearly_True_window_4_lags_4_sinusoidal_yes_piecewise,True,4,piecewise_lags_4_sinusoidal_yes,0.77,0.738,397.689,406.668,True,True,False,0.856,0.657,0,10.629,12.692,0.988,267.7795,,,,,,,2.563,0.054,,,1.361,1.139,0.412,0.0
CPER_yearly_True_window_4_lags_5_sinusoidal_yes_piecewise,True,4,piecewise_lags_5_sinusoidal_yes,0.79,0.825,383.948,392.743,True,False,False,0.84,0.693,0,12.601,15.208,0.701,265.1125,,,,,,,,,3.222,0.005,1.269,1.116,0.627,0.0
CPER_yearly_False_window_5_lags_none_sinusoidal_no_piecewise,False,5,piecewise_lags_none_sinusoidal_no,0.585,0.0,453.738,458.571,True,True,False,0.47,0.128,0,1.863,1.863,0.057,299.9737564637576,,,,,,,,,,,,,,
CPER_yearly_False_window_5_lags_1_sinusoidal_no_piecewise,False,5,piecewise_lags_1_sinusoidal_no,0.561,0.001,443.705,450.039,True,True,False,0.503,0.254,0,1.775,1.86,0.051,300.3614273878788,1.085,0.902,,,,,,,,,,,,
CPER_yearly_False_window_5_lags_2_sinusoidal_no_piecewise,False,5,piecewise_lags_2_sinusoidal_no,0.576,0.002,431.057,437.278,True,True,False,0.485,0.512,0,1.812,2.05,0.065,299.7892946738181,,,1.238,0.311,,,,,,,,,,
CPER_yearly_False_window_5_lags_3_sinusoidal_no_piecewise,False,5,piecewise_lags_3_sinusoidal_no,0.592,0.017,419.052,425.158,True,True,False,0.508,0.527,0,1.921,2.306,0.178,300.4187358974343,,,,,1.385,0.132,,,,,,,,
CPER_yearly_False_window_5_lags_4_sinusoidal_no_piecewise,False,5,piecewise_lags_4_sinusoidal_no,0.617,0.043,405.354,411.34,True,False,False,0.539,0.463,0,2.113,2.667,0.222,300.1985419687273,,,,,,,1.553,0.034,,,,,,
CPER_yearly_False_window_5_lags_5_sinusoidal_no_piecewise,False,5,piecewise_lags_5_sinusoidal_no,0.672,0.556,388.994,394.857,True,True,False,0.463,0.492,0,2.332,3.13,0.725,299.7957868268889,,,,,,,,,1.798,0.003,,,,
CPER_yearly_False_window_5_lags_none_sinusoidal_yes_piecewise,False,5,piecewise_lags_none_sinusoidal_yes,0.731,0.002,441.744,449.799,True,True,False,0.452,0.482,0,2.224,2.643,0.303,299.9737564637576,,,,,,,,,,,1.419,1.0,0.671,0.0
CPER_yearly_False_window_5_lags_1_sinusoidal_yes_piecewise,False,5,piecewise_lags_1_sinusoidal_yes,0.785,0.0,421.986,431.487,True,True,False,0.76,0.493,0,2.218,2.922,0.117,300.3614273878788,1.134,0.729,,,,,,,,,1.57,1.001,0.817,0.0
CPER_yearly_False_window_5_lags_2_sinusoidal_yes_piecewise,False,5,piecewise_lags_2_sinusoidal_yes,0.824,0.002,404.309,413.641,True,True,False,0.759,0.742,0,2.323,3.339,0.297,299.7892946738181,,,1.387,0.123,,,,,,,1.617,1.012,0.965,0.0
CPER_yearly_False_window_5_lags_3_sinusoidal_yes_piecewise,False,5,piecewise_lags_3_sinusoidal_yes,0.837,0.005,391.86,401.018,True,True,False,0.727,0.779,0,2.48,3.705,0.277,300.4187358974343,,,,,1.618,0.041,,,,,1.573,1.034,0.854,0.0
CPER_yearly_False_window_5_lags_4_sinusoidal_yes_piecewise,False,5,piecewise_lags_4_sinusoidal_yes,0.834,0.016,381.755,390.734,True,False,False,0.687,0.776,0,2.684,4.034,0.393,300.1985419687273,,,,,,,1.837,0.013,,,1.45,1.063,0.987,0.0
CPER_yearly_False_window_5_lags_5_sinusoidal_yes_piecewise,False,5,piecewise_lags_5_sinusoidal_yes,0.846,0.344,368.836,377.631,True,True,False,0.706,0.763,0,2.86,4.369,0.869,299.7957868268889,,,,,,,,,2.114,0.002,1.34,1.056,0.812,0.0
CPER_yearly_True_window_5_lags_none_sinusoidal_no_piecewise,True,5,piecewise_lags_none_sinusoidal_no,0.585,0.0,453.738,458.571,True,True,False,0.47,0.128,0,1.863,1.863,0.057,299.9737564637576,,,,,,,,,,,,,,
CPER_yearly_True_window_5_lags_1_sinusoidal_no_piecewise,True,5,piecewise_lags_1_sinusoidal_no,0.561,0.001,443.705,450.039,True,True,False,0.503,0.254,0,1.775,1.86,0.051,300.3614273878788,1.085,0.902,,,,,,,,,,,,
CPER_yearly_True_window_5_lags_2_sinusoidal_no_piecewise,True,5,piecewise_lags_2_sinusoidal_no,0.576,0.002,431.057,437.278,True,True,False,0.485,0.512,0,1.812,2.05,0.065,299.7892946738181,,,1.238,0.311,,,,,,,,,,
CPER_yearly_True_window_5_lags_3_sinusoidal_no_piecewise,True,5,piecewise_lags_3_sinusoidal_no,0.592,0.017,419.052,425.158,True,True,False,0.508,0.527,0,1.921,2.306,0.178,300.4187358974343,,,,,1.385,0.132,,,,,,,,
CPER_yearly_True_window_5_lags_4_sinusoidal_no_piecewise,True,5,piecewise_lags_4_sinusoidal_no,0.617,0.043,405.354,411.34,True,False,False,0.539,0.463,0,2.113,2.667,0.222,300.1985419687273,,,,,,,1.553,0.034,,,,,,
CPER_yearly_True_window_5_lags_5_sinusoidal_no_piecewise,True,5,piecewise_lags_5_sinusoidal_no,0.672,0.556,388.994,394.857,True,True,False,0.463,0.492,0,2.332,3.13,0.725,299.7957868268889,,,,,,,,,1.798,0.003,,,,
CPER_yearly_True_window_5_lags_none_sinusoidal_yes_piecewise,True,5,piecewise_lags_none_sinusoidal_yes,0.731,0.002,441.744,449.799,True,True,False,0.452,0.482,0,2.224,2.643,0.303,299.9737564637576,,,,,,,,,,,1.419,1.0,0.671,0.0
CPER_yearly_True_window_5_lags_1_sinusoidal_yes_piecewise,True,5,piecewise_lags_1_sinusoidal_yes,0.785,0.0,421.986,431.487,True,True,False,0.76,0.493,0,2.218,2.922,0.117,300.3614273878788,1.134,0.729,,,,,,,,,1.57,1.001,0.817,0.0
CPER_yearly_True_window_5_lags_2_sinusoidal_yes_piecewise,True,5,piecewise_lags_2_sinusoidal_yes,0.824,0.002,404.309,413.641,True,True,False,0.759,0.742,0,2.323,3.339,0.297,299.7892946738181,,,1.387,0.123,,,,,,,1.617,1.012,0.965,0.0
CPER_yearly_True_window_5_lags_3_sinusoidal_yes_piecewise,True,5,piecewise_lags_3_sinusoidal_yes,0.837,0.005,391.86,401.018,True,True,False,0.727,0.779,0,2.48,3.705,0.277,300.4187358974343,,,,,1.618,0.041,,,,,1.573,1.034,0.854,0.0
