analysis_name,yearly_aggregate,window_size,config_type,r_squared,p_value,aic,bic,is_normal,is_homoscedastic,no_autocorrelation,durbin_watson,cv_r2_score,cv_r2_std,vif_PPT,vif_spline_0,vif_spline_1,vif_spline_2,p_value_spline_0,p_value_spline_1,p_value_spline_2,knots,vif_ortho_PPT_lag0,p_value_lag0,vif_ortho_PPT_lag1,p_value_lag1,vif_ortho_sin_cycle,vif_ortho_cos_cycle,p_value_sin,p_value_cos
Maize_yearly_True_window_4_lags_1_sinusoidal_no_spline,True,4,spline_lags_1_sinusoidal_no,0.721,0.0,613.118,622.619,True,True,False,0.854,0.541,0,1.0,1.0,1.011,1.052,0.166,0.536,0.491,"[np.float64(597.3186166666667), np.float64(715.217018), np.float64(774.983356), np.float64(844.862486), np.float64(929.6609916916667)]",,,1.064,0.366,,,,
Maize_yearly_True_window_4_lags_none_sinusoidal_yes_spline,True,4,spline_lags_none_sinusoidal_yes,0.683,0.0,637.696,648.973,True,True,False,1.192,0.013,0,1.0,1.198,1.034,1.097,0.745,0.99,0.046,"[np.float64(597.3186166666667), np.float64(718.693727), np.float64(774.794854), np.float64(841.091002), np.float64(929.6609916916667)]",,,,,1.078,1.251,0.139,0.698
Maize_yearly_True_window_4_lags_0_sinusoidal_yes_spline,True,4,spline_lags_0_sinusoidal_yes,0.723,0.0,634.67,647.557,True,True,False,1.133,-0.528,0,1.0,1.208,1.034,1.101,0.593,0.964,0.048,"[np.float64(597.3186166666667), np.float64(718.693727), np.float64(774.794854), np.float64(841.091002), np.float64(929.6609916916667)]",1.058,0.064,,,1.074,1.21,0.137,0.431
Maize_yearly_True_window_4_lags_1_sinusoidal_yes_spline,True,4,spline_lags_1_sinusoidal_yes,0.755,0.0,612.372,625.041,True,True,False,0.911,0.63,0,1.0,1.132,1.046,1.096,0.31,0.873,0.728,"[np.float64(597.3186166666667), np.float64(715.217018), np.float64(774.983356), np.float64(844.862486), np.float64(929.6609916916667)]",,,1.068,0.295,1.063,1.143,0.081,0.396
Maize_yearly_False_window_5_lags_none_sinusoidal_no_spline,False,5,spline_lags_none_sinusoidal_no,0.499,0.0,1215.023,1226.193,True,True,False,0.603,0.436,0,1.0,1.0,1.0,1.0,0.071,0.358,0.492,"[np.float64(637.61408), np.float64(720.569399), np.float64(804.86936), np.float64(883.2586), np.float64(977.11692004)]",,,,,,,,
Maize_yearly_False_window_5_lags_0_sinusoidal_no_spline,False,5,spline_lags_0_sinusoidal_no,0.523,0.0,1213.64,1227.045,True,True,False,0.667,0.362,0,1.0,1.02,1.003,1.003,0.04,0.4,0.547,"[np.float64(637.61408), np.float64(720.569399), np.float64(804.86936), np.float64(883.2586), np.float64(977.11692004)]",1.025,0.08,,,,,,
Maize_yearly_False_window_5_lags_1_sinusoidal_no_spline,False,5,spline_lags_1_sinusoidal_no,0.544,0.0,1191.466,1204.783,True,True,False,0.701,0.434,0,1.0,1.01,1.025,1.004,0.023,0.35,0.93,"[np.float64(637.61408), np.float64(720.405399), np.float64(802.60514), np.float64(883.30299), np.float64(977.11692004)]",,,1.039,0.431,,,,
Maize_yearly_False_window_5_lags_none_sinusoidal_yes_spline,False,5,spline_lags_none_sinusoidal_yes,0.542,0.0,1212.763,1228.402,True,True,False,0.649,0.454,0,1.0,1.029,1.016,1.002,0.039,0.218,0.542,"[np.float64(637.61408), np.float64(720.569399), np.float64(804.86936), np.float64(883.2586), np.float64(977.11692004)]",,,,,1.024,1.024,0.024,0.475
Maize_yearly_False_window_5_lags_0_sinusoidal_yes_spline,False,5,spline_lags_0_sinusoidal_yes,0.563,0.0,1211.535,1229.408,True,True,False,0.705,0.217,0,1.0,1.041,1.019,1.005,0.025,0.236,0.602,"[np.float64(637.61408), np.float64(720.569399), np.float64(804.86936), np.float64(883.2586), np.float64(977.11692004)]",1.026,0.069,,,1.024,1.016,0.022,0.733
Maize_yearly_False_window_5_lags_1_sinusoidal_yes_spline,False,5,spline_lags_1_sinusoidal_yes,0.58,0.0,1189.916,1207.672,True,True,False,0.746,0.291,0,1.0,1.032,1.039,1.01,0.014,0.216,0.978,"[np.float64(637.61408), np.float64(720.405399), np.float64(802.60514), np.float64(883.30299), np.float64(977.11692004)]",,,1.039,0.432,1.022,1.02,0.029,0.756
Maize_yearly_True_window_5_lags_none_sinusoidal_no_spline,True,5,spline_lags_none_sinusoidal_no,0.711,0.0,624.604,632.658,True,True,False,0.851,0.545,0,1.0,1.0,1.0,1.0,0.129,0.27,0.003,"[np.float64(622.7538533333333), np.float64(719.465425), np.float64(775.395573), np.float64(841.091002), np.float64(910.9888466866666)]",,,,,,,,
Maize_yearly_True_window_5_lags_0_sinusoidal_no_spline,True,5,spline_lags_0_sinusoidal_no,0.711,0.0,626.601,636.266,True,True,False,0.847,0.529,0,1.0,1.137,1.108,1.083,0.155,0.293,0.005,"[np.float64(622.7538533333333), np.float64(719.465425), np.float64(775.395573), np.float64(841.091002), np.float64(910.9888466866666)]",1.328,0.961,,,,,,
Maize_yearly_True_window_5_lags_1_sinusoidal_no_spline,True,5,spline_lags_1_sinusoidal_no,0.771,0.0,600.751,610.252,True,True,False,0.867,0.475,0,1.0,1.004,1.0,1.086,0.029,0.052,0.509,"[np.float64(622.7538533333333), np.float64(718.793461), np.float64(769.762163), np.float64(842.744931), np.float64(910.9888466866666)]",,,1.09,0.909,,,,
Maize_yearly_True_window_5_lags_none_sinusoidal_yes_spline,True,5,spline_lags_none_sinusoidal_yes,0.736,0.0,625.307,636.584,True,True,False,0.855,0.474,0,1.0,1.316,1.128,1.024,0.079,0.68,0.004,"[np.float64(622.7538533333333), np.float64(719.465425), np.float64(775.395573), np.float64(841.091002), np.float64(910.9888466866666)]",,,,,1.129,1.338,0.281,0.22
Maize_yearly_True_window_5_lags_0_sinusoidal_yes_spline,True,5,spline_lags_0_sinusoidal_yes,0.736,0.0,627.307,640.194,True,True,False,0.857,0.437,0,1.0,1.508,1.261,1.095,0.107,0.704,0.006,"[np.float64(622.7538533333333), np.float64(719.465425), np.float64(775.395573), np.float64(841.091002), np.float64(910.9888466866666)]",1.365,0.955,,,1.152,1.347,0.295,0.23
Maize_yearly_True_window_5_lags_1_sinusoidal_yes_spline,True,5,spline_lags_1_sinusoidal_yes,0.779,0.0,603.506,616.174,True,True,False,0.843,0.333,0,1.0,1.339,1.153,1.181,0.104,0.195,0.553,"[np.float64(622.7538533333333), np.float64(718.793461), np.float64(769.762163), np.float64(842.744931), np.float64(910.9888466866666)]",,,1.092,0.951,1.124,1.457,0.336,0.858
Maize_yearly_False_window_6_lags_none_sinusoidal_no_spline,False,6,spline_lags_none_sinusoidal_no,0.57,0.0,1196.64,1207.81,True,True,False,0.693,0.466,0,1.0,1.0,1.0,1.0,0.127,0.967,0.156,"[np.float64(625.7615666666667), np.float64(738.959233), np.float64(795.382633), np.float64(863.513439), np.float64(965.9827333666667)]",,,,,,,,
Maize_yearly_False_window_6_lags_0_sinusoidal_no_spline,False,6,spline_lags_0_sinusoidal_no,0.599,0.0,1193.837,1207.242,True,True,False,0.738,0.143,0,1.0,1.008,1.009,1.0,0.081,0.882,0.137,"[np.float64(625.7615666666667), np.float64(738.959233), np.float64(795.382633), np.float64(863.513439), np.float64(965.9827333666667)]",1.018,0.037,,,,,,
Maize_yearly_False_window_6_lags_1_sinusoidal_no_spline,False,6,spline_lags_1_sinusoidal_no,0.611,0.0,1171.845,1185.162,True,True,False,0.737,0.47,0,1.0,1.01,1.004,1.026,0.039,0.925,0.484,"[np.float64(625.7615666666667), np.float64(735.649738), np.float64(790.403159), np.float64(864.369659), np.float64(965.9827333666667)]",,,1.04,0.965,,,,
Maize_yearly_False_window_6_lags_none_sinusoidal_yes_spline,False,6,spline_lags_none_sinusoidal_yes,0.605,0.0,1194.817,1210.455,True,True,False,0.73,0.468,0,1.0,1.057,1.052,1.015,0.082,0.565,0.19,"[np.float64(625.7615666666667), np.float64(738.959233), np.float64(795.382633), np.float64(863.513439), np.float64(965.9827333666667)]",,,,,1.059,1.065,0.023,0.872
Maize_yearly_False_window_6_lags_0_sinusoidal_yes_spline,False,6,spline_lags_0_sinusoidal_yes,0.635,0.0,1191.265,1209.138,True,True,False,0.776,0.378,0,1.0,1.061,1.065,1.016,0.058,0.691,0.155,"[np.float64(625.7615666666667), np.float64(738.959233), np.float64(795.382633), np.float64(863.513439), np.float64(965.9827333666667)]",1.018,0.033,,,1.059,1.064,0.017,0.83
Maize_yearly_False_window_6_lags_1_sinusoidal_yes_spline,False,6,spline_lags_1_sinusoidal_yes,0.64,0.0,1170.573,1188.329,True,True,False,0.779,0.41,0,1.0,1.056,1.055,1.035,0.029,0.699,0.601,"[np.float64(625.7615666666667), np.float64(735.649738), np.float64(790.403159), np.float64(864.369659), np.float64(965.9827333666667)]",,,1.04,0.994,1.065,1.041,0.033,0.851
Maize_yearly_True_window_6_lags_none_sinusoidal_no_spline,True,6,spline_lags_none_sinusoidal_no,0.636,0.0,630.032,638.086,False,True,False,0.42,0.473,0,1.0,1.0,1.0,1.0,0.142,0.417,0.904,"[np.float64(653.9633), np.float64(729.773841), np.float64(785.760338), np.float64(825.19539), np.float64(896.4259611277777)]",,,,,,,,
Maize_yearly_True_window_6_lags_0_sinusoidal_no_spline,True,6,spline_lags_0_sinusoidal_no,0.766,0.0,615.618,625.283,False,True,False,0.903,0.477,0,1.0,1.003,1.041,1.373,0.048,0.129,0.048,"[np.float64(653.9633), np.float64(729.773841), np.float64(785.760338), np.float64(825.19539), np.float64(896.4259611277777)]",1.418,0.0,,,,,,
Maize_yearly_True_window_6_lags_1_sinusoidal_no_spline,True,6,spline_lags_1_sinusoidal_no,0.808,0.0,590.518,600.019,True,True,False,1.008,0.612,0,1.0,1.03,1.001,1.012,0.003,0.434,0.93,"[np.float64(653.9633), np.float64(746.091711), np.float64(797.74255), np.float64(830.19787), np.float64(896.4259611277777)]",,,1.043,0.53,,,,
Maize_yearly_True_window_6_lags_none_sinusoidal_yes_spline,True,6,spline_lags_none_sinusoidal_yes,0.673,0.0,630.084,641.361,True,False,False,0.517,0.434,0,1.0,1.322,1.107,1.001,0.049,0.879,0.924,"[np.float64(653.9633), np.float64(729.773841), np.float64(785.760338), np.float64(825.19539), np.float64(896.4259611277777)]",,,,,1.134,1.296,0.089,0.414
Maize_yearly_True_window_6_lags_0_sinusoidal_yes_spline,True,6,spline_lags_0_sinusoidal_yes,0.781,0.0,617.196,630.084,False,True,False,0.983,-0.14,0,1.0,1.368,1.189,1.398,0.093,0.39,0.063,"[np.float64(653.9633), np.float64(729.773841), np.float64(785.760338), np.float64(825.19539), np.float64(896.4259611277777)]",1.412,0.0,,,1.157,1.386,0.127,0.767
Maize_yearly_True_window_6_lags_1_sinusoidal_yes_spline,True,6,spline_lags_1_sinusoidal_yes,0.822,0.0,591.758,604.426,True,True,False,1.035,0.64,0,1.0,1.236,1.222,1.022,0.005,0.784,0.923,"[np.float64(653.9633), np.float64(746.091711), np.float64(797.74255), np.float64(830.19787), np.float64(896.4259611277777)]",,,1.053,0.614,1.094,1.333,0.158,0.901
Maize_yearly_False_window_7_lags_none_sinusoidal_no_spline,False,7,spline_lags_none_sinusoidal_no,0.668,0.0,1172.237,1183.408,True,False,False,0.564,0.563,0,1.0,1.0,1.0,1.0,0.066,0.195,0.168,"[np.float64(624.6426285714286), np.float64(750.454487), np.float64(803.173914), np.float64(861.128863), np.float64(948.9909143142858)]",,,,,,,,
Maize_yearly_False_window_7_lags_0_sinusoidal_no_spline,False,7,spline_lags_0_sinusoidal_no,0.676,0.0,1172.485,1185.889,True,True,False,0.535,0.626,0,1.0,1.004,1.025,1.016,0.079,0.151,0.126,"[np.float64(624.6426285714286), np.float64(750.454487), np.float64(803.173914), np.float64(861.128863), np.float64(948.9909143142858)]",1.045,0.208,,,,,,
Maize_yearly_False_window_7_lags_1_sinusoidal_no_spline,False,7,spline_lags_1_sinusoidal_no,0.695,0.0,1148.822,1162.139,True,True,False,0.512,0.628,0,1.0,1.003,1.008,1.001,0.024,0.238,0.948,"[np.float64(624.6426285714286), np.float64(748.82673), np.float64(802.819485), np.float64(861.952894), np.float64(948.9909143142858)]",,,1.012,0.446,,,,
Maize_yearly_False_window_7_lags_none_sinusoidal_yes_spline,False,7,spline_lags_none_sinusoidal_yes,0.689,0.0,1171.839,1187.478,True,False,False,0.594,0.579,0,1.0,1.06,1.11,1.009,0.102,0.428,0.207,"[np.float64(624.6426285714286), np.float64(750.454487), np.float64(803.173914), np.float64(861.128863), np.float64(948.9909143142858)]",,,,,1.051,1.129,0.05,0.828
Maize_yearly_False_window_7_lags_0_sinusoidal_yes_spline,False,7,spline_lags_0_sinusoidal_yes,0.696,0.0,1172.301,1190.174,True,False,False,0.566,0.625,0,1.0,1.068,1.152,1.029,0.127,0.338,0.158,"[np.float64(624.6426285714286), np.float64(750.454487), np.float64(803.173914), np.float64(861.128863), np.float64(948.9909143142858)]",1.052,0.216,,,1.057,1.141,0.061,0.723
Maize_yearly_False_window_7_lags_1_sinusoidal_yes_spline,False,7,spline_lags_1_sinusoidal_yes,0.715,0.0,1148.24,1165.996,True,True,False,0.532,0.615,0,1.0,1.055,1.125,1.006,0.052,0.426,0.93,"[np.float64(624.6426285714286), np.float64(748.82673), np.float64(802.819485), np.float64(861.952894), np.float64(948.9909143142858)]",,,1.012,0.4,1.049,1.125,0.061,0.488
Maize_yearly_True_window_7_lags_none_sinusoidal_no_spline,True,7,spline_lags_none_sinusoidal_no,0.74,0.0,616.184,624.239,True,True,False,0.573,0.622,0,1.0,1.0,1.0,1.0,0.023,0.118,0.809,"[np.float64(657.7737523809523), np.float64(725.3012), np.float64(778.908716), np.float64(821.270161), np.float64(896.4259611277777)]",,,,,,,,
Maize_yearly_True_window_7_lags_0_sinusoidal_no_spline,True,7,spline_lags_0_sinusoidal_no,0.811,0.0,606.326,615.992,True,True,False,1.049,-0.375,0,1.0,1.016,1.039,1.002,0.004,0.028,0.889,"[np.float64(657.7737523809523), np.float64(725.3012), np.float64(778.908716), np.float64(821.270161), np.float64(896.4259611277777)]",1.057,0.002,,,,,,
Maize_yearly_True_window_7_lags_1_sinusoidal_no_spline,True,7,spline_lags_1_sinusoidal_no,0.864,0.0,576.504,586.005,True,True,False,1.27,0.772,0,1.0,1.0,1.001,1.013,0.001,0.003,0.684,"[np.float64(657.7737523809523), np.float64(727.559072), np.float64(768.421663), np.float64(814.240933), np.float64(896.4259611277777)]",,,1.014,0.658,,,,
Maize_yearly_True_window_7_lags_none_sinusoidal_yes_spline,True,7,spline_lags_none_sinusoidal_yes,0.775,0.0,614.833,626.109,True,True,False,0.663,0.616,0,1.0,1.347,1.051,1.013,0.005,0.207,0.997,"[np.float64(657.7737523809523), np.float64(725.3012), np.float64(778.908716), np.float64(821.270161), np.float64(896.4259611277777)]",,,,,1.085,1.327,0.063,0.231
Maize_yearly_True_window_7_lags_0_sinusoidal_yes_spline,True,7,spline_lags_0_sinusoidal_yes,0.862,0.0,598.792,611.68,True,True,False,1.097,0.787,0,1.0,1.357,1.075,1.034,0.0,0.03,0.551,"[np.float64(657.7737523809523), np.float64(725.3012), np.float64(778.908716), np.float64(821.270161), np.float64(896.4259611277777)]",1.053,0.0,,,1.085,1.327,0.026,0.121
Maize_yearly_True_window_7_lags_1_sinusoidal_yes_spline,True,7,spline_lags_1_sinusoidal_yes,0.878,0.0,576.698,589.366,True,True,False,1.346,0.753,0,1.0,1.34,1.046,1.017,0.001,0.004,0.62,"[np.float64(657.7737523809523), np.float64(727.559072), np.float64(768.421663), np.float64(814.240933), np.float64(896.4259611277777)]",,,1.014,0.667,1.062,1.328,0.088,0.841
Maize_yearly_False_window_8_lags_none_sinusoidal_no_spline,False,8,spline_lags_none_sinusoidal_no,0.692,0.0,1166.149,1177.32,True,True,False,0.725,0.301,0,1.0,1.0,1.0,1.0,0.3,0.265,0.437,"[np.float64(648.155925), np.float64(759.131655), np.float64(798.803), np.float64(867.771867), np.float64(936.824300025)]",,,,,,,,
Maize_yearly_False_window_8_lags_0_sinusoidal_no_spline,False,8,spline_lags_0_sinusoidal_no,0.694,0.0,1167.703,1181.108,True,True,False,0.76,0.283,0,1.0,1.003,1.01,1.022,0.294,0.264,0.391,"[np.float64(648.155925), np.float64(759.131655), np.float64(798.803), np.float64(867.771867), np.float64(936.824300025)]",1.034,0.525,,,,,,
Maize_yearly_False_window_8_lags_1_sinusoidal_no_spline,False,8,spline_lags_1_sinusoidal_no,0.73,0.0,1138.978,1152.295,True,True,False,0.781,0.6,0,1.0,1.004,1.019,1.047,0.079,0.775,0.386,"[np.float64(648.155925), np.float64(759.015795), np.float64(816.886547), np.float64(876.972792), np.float64(936.8243000250001)]",,,1.07,0.385,,,,
Maize_yearly_False_window_8_lags_none_sinusoidal_yes_spline,False,8,spline_lags_none_sinusoidal_yes,0.712,0.0,1165.378,1181.016,True,False,False,0.766,0.262,0,1.0,1.092,1.212,1.006,0.527,0.485,0.398,"[np.float64(648.155925), np.float64(759.131655), np.float64(798.803), np.float64(867.771867), np.float64(936.824300025)]",,,,,1.094,1.216,0.082,0.31
Maize_yearly_False_window_8_lags_0_sinusoidal_yes_spline,False,8,spline_lags_0_sinusoidal_yes,0.75,0.0,1157.759,1175.631,True,True,False,0.817,0.379,0,1.0,1.101,1.236,1.037,0.353,0.268,0.162,"[np.float64(648.155925), np.float64(759.131655), np.float64(798.803), np.float64(867.771867), np.float64(936.824300025)]",1.056,0.01,,,1.094,1.224,0.066,0.1
Maize_yearly_False_window_8_lags_1_sinusoidal_yes_spline,False,8,spline_lags_1_sinusoidal_yes,0.749,0.0,1137.869,1155.625,True,True,False,0.814,0.605,0,1.0,1.052,1.31,1.082,0.206,0.681,0.537,"[np.float64(648.155925), np.float64(759.015795), np.float64(816.886547), np.float64(876.972792), np.float64(936.8243000250001)]",,,1.08,0.355,1.122,1.243,0.172,0.122
Maize_yearly_True_window_8_lags_none_sinusoidal_no_spline,True,8,spline_lags_none_sinusoidal_no,0.771,0.0,610.778,618.832,False,True,False,0.867,0.691,0,1.0,1.0,1.0,1.0,0.017,0.044,0.136,"[np.float64(652.7589083333332), np.float64(720.565151), np.float64(769.289046), np.float64(830.185229), np.float64(896.4259611277777)]",,,,,,,,
Maize_yearly_True_window_8_lags_0_sinusoidal_no_spline,True,8,spline_lags_0_sinusoidal_no,0.773,0.0,612.551,622.217,False,True,False,0.862,0.658,0,1.0,1.002,1.032,1.072,0.019,0.044,0.126,"[np.float64(652.7589083333332), np.float64(720.565151), np.float64(769.289046), np.float64(830.185229), np.float64(896.4259611277777)]",1.105,0.665,,,,,,
Maize_yearly_True_window_8_lags_1_sinusoidal_no_spline,True,8,spline_lags_1_sinusoidal_no,0.904,0.0,562.906,572.407,True,True,False,1.408,0.847,0,1.0,1.01,1.017,1.055,0.0,0.001,0.22,"[np.float64(652.7589083333334), np.float64(722.474594), np.float64(773.038783), np.float64(819.71906), np.float64(896.4259611277777)]",,,1.082,0.294,,,,
Maize_yearly_True_window_8_lags_none_sinusoidal_yes_spline,True,8,spline_lags_none_sinusoidal_yes,0.792,0.0,611.307,622.583,False,True,False,0.928,0.596,0,1.0,1.238,1.035,1.01,0.005,0.067,0.174,"[np.float64(652.7589083333332), np.float64(720.565151), np.float64(769.289046), np.float64(830.185229), np.float64(896.4259611277777)]",,,,,1.184,1.099,0.102,0.603
Maize_yearly_True_window_8_lags_0_sinusoidal_yes_spline,True,8,spline_lags_0_sinusoidal_yes,0.794,0.0,612.861,625.748,False,True,False,0.929,0.533,0,1.0,1.239,1.072,1.089,0.006,0.065,0.147,"[np.float64(652.7589083333332), np.float64(720.565151), np.float64(769.289046), np.float64(830.185229), np.float64(896.4259611277777)]",1.108,0.695,,,1.181,1.112,0.093,0.726
Maize_yearly_True_window_8_lags_1_sinusoidal_yes_spline,True,8,spline_lags_1_sinusoidal_yes,0.916,0.0,562.065,574.733,True,True,True,1.583,0.829,0,1.0,1.226,1.072,1.094,0.0,0.002,0.222,"[np.float64(652.7589083333334), np.float64(722.474594), np.float64(773.038783), np.float64(819.71906), np.float64(896.4259611277777)]",,,1.095,0.281,1.154,1.144,0.097,0.415
Maize_yearly_False_window_9_lags_none_sinusoidal_no_spline,False,9,spline_lags_none_sinusoidal_no,0.772,0.0,1143.291,1154.462,True,True,False,0.731,0.746,0,1.0,1.0,1.0,1.0,0.059,0.025,0.533,"[np.float64(646.8319999999999), np.float64(754.060445), np.float64(797.901933), np.float64(864.534644), np.float64(922.1666222444443)]",,,,,,,,
Maize_yearly_False_window_9_lags_0_sinusoidal_no_spline,False,9,spline_lags_0_sinusoidal_no,0.788,0.0,1140.166,1153.57,True,True,False,0.717,0.37,0,1.0,1.011,1.024,1.01,0.032,0.042,0.395,"[np.float64(646.8319999999999), np.float64(754.060445), np.float64(797.901933), np.float64(864.534644), np.float64(922.1666222444443)]",1.044,0.031,,,,,,
Maize_yearly_False_window_9_lags_1_sinusoidal_no_spline,False,9,spline_lags_1_sinusoidal_no,0.783,0.0,1121.85,1135.167,True,True,False,0.637,0.749,0,1.0,1.007,1.001,1.004,0.033,0.116,0.741,"[np.float64(646.832), np.float64(763.655356), np.float64(799.710211), np.float64(865.710911), np.float64(922.1666222444445)]",,,1.013,0.19,,,,
Maize_yearly_False_window_9_lags_none_sinusoidal_yes_spline,False,9,spline_lags_none_sinusoidal_yes,0.791,0.0,1141.232,1156.87,False,True,False,0.826,0.733,0,1.0,1.155,1.257,1.008,0.255,0.025,0.551,"[np.float64(646.8319999999999), np.float64(754.060445), np.float64(797.901933), np.float64(864.534644), np.float64(922.1666222444443)]",,,,,1.05,1.37,0.091,0.122
Maize_yearly_False_window_9_lags_0_sinusoidal_yes_spline,False,9,spline_lags_0_sinusoidal_yes,0.809,0.0,1137.224,1155.097,False,True,False,0.836,0.154,0,1.0,1.156,1.262,1.019,0.219,0.029,0.389,"[np.float64(646.8319999999999), np.float64(754.060445), np.float64(797.901933), np.float64(864.534644), np.float64(922.1666222444443)]",1.043,0.062,,,1.051,1.344,0.078,0.054
