analysis_name,yearly_aggregate,window_size,config_type,r_squared,p_value,aic,bic,is_normal,is_homoscedastic,no_autocorrelation,durbin_watson,cv_r2_score,cv_r2_std,vif_PPT,vif_segment,p_value_segment,breakpoint,vif_ortho_PPT_lag2,p_value_lag2,vif_ortho_PPT_lag3,p_value_lag3,vif_ortho_sin_cycle,vif_ortho_cos_cycle,p_value_sin,p_value_cos
CPER-Cluster_0_yearly_False_window_4_lags_3_sinusoidal_yes_piecewise,False,4,piecewise_lags_3_sinusoidal_yes,0.485,0.932,85.574,86.051,True,True,True,2.295,-20.249,0,7.968,13.958,0.609,394.2117090909091,,,6.192,0.579,1.253,1.546,0.551,0.713
CPER-Cluster_0_yearly_True_window_4_lags_none_sinusoidal_no_piecewise,True,4,piecewise_lags_none_sinusoidal_no,0.532,0.143,113.447,114.64,True,True,False,1.376,-0.189,0,1.768,1.768,0.036,387.7344208754209,,,,,,,,
CPER-Cluster_0_yearly_True_window_4_lags_2_sinusoidal_no_piecewise,True,4,piecewise_lags_2_sinusoidal_no,0.588,0.511,93.066,93.855,True,True,False,3.032,-0.149,0,3.775,5.326,0.119,383.7326053872054,2.551,0.165,,,,,,
CPER-Cluster_0_yearly_True_window_4_lags_3_sinusoidal_no_piecewise,True,4,piecewise_lags_3_sinusoidal_no,0.344,0.659,83.501,83.819,True,True,True,2.367,-1.597,0,4.873,7.759,0.749,394.2117090909091,,,3.886,0.362,,,,
CPER-Cluster_0_yearly_True_window_4_lags_none_sinusoidal_yes_piecewise,True,4,piecewise_lags_none_sinusoidal_yes,0.595,0.137,115.878,117.867,True,True,True,2.155,-251.153,0,1.834,1.921,0.061,387.7344208754209,,,,,1.026,1.061,0.933,0.379
CPER-Cluster_0_yearly_True_window_4_lags_2_sinusoidal_yes_piecewise,True,4,piecewise_lags_2_sinusoidal_yes,0.755,0.411,92.392,93.576,True,True,False,2.945,-2.919,0,4.035,5.825,0.775,383.7326053872054,2.697,0.158,,,1.092,1.002,0.774,0.25
CPER-Cluster_0_yearly_True_window_4_lags_3_sinusoidal_yes_piecewise,True,4,piecewise_lags_3_sinusoidal_yes,0.485,0.932,85.574,86.051,True,True,True,2.295,-20.249,0,7.968,13.958,0.609,394.2117090909091,,,6.192,0.579,1.253,1.546,0.551,0.713
CPER-Cluster_0_yearly_False_window_5_lags_none_sinusoidal_no_piecewise,False,5,piecewise_lags_none_sinusoidal_no,0.132,0.464,121.775,122.968,False,True,True,1.681,-20.11,0,1.787,1.787,0.324,389.87218181818184,,,,,,,,
CPER-Cluster_0_yearly_False_window_5_lags_none_sinusoidal_yes_piecewise,False,5,piecewise_lags_none_sinusoidal_yes,0.225,0.949,124.523,126.512,True,True,False,1.31,-135.398,0,2.088,2.471,0.993,389.87218181818184,,,,,1.378,1.005,0.475,0.561
CPER-Cluster_0_yearly_True_window_5_lags_none_sinusoidal_no_piecewise,True,5,piecewise_lags_none_sinusoidal_no,0.132,0.464,121.775,122.968,False,True,True,1.681,-20.11,0,1.787,1.787,0.324,389.87218181818184,,,,,,,,
CPER-Cluster_0_yearly_True_window_5_lags_none_sinusoidal_yes_piecewise,True,5,piecewise_lags_none_sinusoidal_yes,0.225,0.949,124.523,126.512,True,True,False,1.31,-135.398,0,2.088,2.471,0.993,389.87218181818184,,,,,1.378,1.005,0.475,0.561
