analysis_name,yearly_aggregate,window_size,config_type,r_squared,p_value,aic,bic,is_normal,is_homoscedastic,no_autocorrelation,durbin_watson,cv_r2_score,cv_r2_std,vif_PPT,vif_ortho_PPT_lag0,p_value_lag0,vif_ortho_PPT_lag1,p_value_lag1,vif_ortho_PPT_lag7,p_value_lag7,vif_ortho_sin_cycle,vif_ortho_cos_cycle,p_value_sin,p_value_cos,model_type,vif_segment,p_value_segment,breakpoint
Soybean_cluster_0_yearly_True_window_9_lags_none_sinusoidal_no_linear,True,9,linear_lags_none_sinusoidal_no,0.799,0.0,268.164,270.053,True,True,False,0.772,0.747,0,1.0,,,,,,,,,,,linear,,,
Soybean_cluster_0_yearly_True_window_9_lags_none_sinusoidal_no_piecewise,True,9,piecewise_lags_none_sinusoidal_no,0.859,0.0,263.407,266.24,True,True,False,1.11,0.774,0,1.606,,,,,,,,,,,piecewise,1.606,0.019,595.6560744023955
