analysis_name,yearly_aggregate,window_size,config_type,r_squared,p_value,aic,bic,is_normal,is_homoscedastic,no_autocorrelation,durbin_watson,cv_r2_score,cv_r2_std,vif_PPT,model_type,vif_quadratic,p_value_quadratic
NP_yearly_False_window_9_lags_none_sinusoidal_no_linear,False,9,linear_lags_none_sinusoidal_no,0.5,0.001,273.531,275.311,True,True,False,0.83,0.471,0,1.0,linear,,
NP_yearly_False_window_4_lags_none_sinusoidal_no_quadratic,False,4,quadratic_lags_none_sinusoidal_no,0.564,0.005,289.959,292.63,True,True,False,0.631,0.479,0,1.801,quadratic,1.801,0.025
