analysis_name,yearly_aggregate,window_size,config_type,r_squared,p_value,aic,bic,is_normal,is_homoscedastic,no_autocorrelation,durbin_watson,cv_r2_score,cv_r2_std,vif_PPT,vif_ortho_sin_cycle,vif_ortho_cos_cycle,p_value_sin,p_value_cos
Winter_Wheat_yearly_False_window_7_lags_none_sinusoidal_yes_linear,False,7,linear_lags_none_sinusoidal_yes,0.801,0.0,333.11,337.652,True,True,False,1.256,0.717,0,1.0,1.0,1.0,0.014,0.52
Winter_Wheat_yearly_True_window_7_lags_none_sinusoidal_no_linear,True,7,linear_lags_none_sinusoidal_no,0.777,0.0,272.249,274.138,True,True,False,0.84,0.711,0,1.0,,,,
Winter_Wheat_yearly_True_window_7_lags_none_sinusoidal_yes_linear,True,7,linear_lags_none_sinusoidal_yes,0.819,0.0,272.284,276.061,True,True,False,0.942,0.603,0,1.0,1.0,1.0,0.663,0.089
Winter_Wheat_yearly_False_window_8_lags_none_sinusoidal_no_linear,False,8,linear_lags_none_sinusoidal_no,0.717,0.0,327.221,329.492,True,True,False,1.376,0.697,0,1.0,,,,
Winter_Wheat_yearly_False_window_8_lags_none_sinusoidal_yes_linear,False,8,linear_lags_none_sinusoidal_yes,0.762,0.0,327.27,331.812,True,True,True,1.68,0.719,0,1.0,1.0,1.0,0.123,0.375
Winter_Wheat_yearly_True_window_8_lags_none_sinusoidal_no_linear,True,8,linear_lags_none_sinusoidal_no,0.863,0.0,263.353,265.242,False,True,False,1.171,0.848,0,1.0,,,,
Winter_Wheat_yearly_True_window_8_lags_none_sinusoidal_yes_linear,True,8,linear_lags_none_sinusoidal_yes,0.913,0.0,258.668,262.446,True,True,False,1.493,0.85,0,1.0,1.0,1.0,0.712,0.01
Winter_Wheat_yearly_False_window_9_lags_none_sinusoidal_no_linear,False,9,linear_lags_none_sinusoidal_no,0.707,0.0,322.152,324.423,True,True,False,1.171,0.628,0,1.0,,,,
Winter_Wheat_yearly_False_window_9_lags_none_sinusoidal_yes_linear,False,9,linear_lags_none_sinusoidal_yes,0.761,0.0,321.46,326.002,True,True,True,1.508,0.698,0,1.0,1.0,1.0,0.593,0.061
Winter_Wheat_yearly_True_window_9_lags_none_sinusoidal_no_linear,True,9,linear_lags_none_sinusoidal_no,0.845,0.0,261.568,263.456,True,True,False,0.699,0.81,0,1.0,,,,
Winter_Wheat_yearly_True_window_9_lags_none_sinusoidal_yes_linear,True,9,linear_lags_none_sinusoidal_yes,0.871,0.0,262.024,265.802,True,True,False,0.802,0.752,0,1.0,1.0,1.0,0.191,0.284
Winter_Wheat_yearly_False_window_10_lags_none_sinusoidal_no_linear,False,10,linear_lags_none_sinusoidal_no,0.682,0.0,322.71,324.981,True,True,False,1.194,0.47,0,1.0,,,,
Winter_Wheat_yearly_False_window_10_lags_none_sinusoidal_yes_linear,False,10,linear_lags_none_sinusoidal_yes,0.749,0.0,321.267,325.809,True,True,False,1.322,0.436,0,1.0,1.0,1.0,0.606,0.041
