analysis_name,yearly_aggregate,window_size,config_type,r_squared,p_value,aic,bic,is_normal,is_homoscedastic,no_autocorrelation,durbin_watson,cv_r2_score,cv_r2_std,vif_PPT,vif_ortho_PPT_lag1,p_value_lag1,vif_ortho_PPT_lag2,p_value_lag2,vif_ortho_PPT_lag3,p_value_lag3,vif_ortho_PPT_lag4,p_value_lag4,vif_ortho_PPT_lag7,p_value_lag7,vif_ortho_sin_cycle,vif_ortho_cos_cycle,p_value_sin,p_value_cos,model_type,vif_segment,p_value_segment,breakpoint
Croplands_cluster_0_yearly_True_window_10_lags_none_sinusoidal_no_linear,True,10,linear_lags_none_sinusoidal_no,0.379,0.0,426.585,429.249,True,True,False,0.414,0.348,0,1.0,,,,,,,,,,,,,,,linear,,,
Croplands_cluster_0_yearly_True_window_9_lags_none_sinusoidal_no_piecewise,True,9,piecewise_lags_none_sinusoidal_no,0.614,0.0,416.99,420.987,True,True,False,1.159,0.541,0,1.606,,,,,,,,,,,,,,,piecewise,1.606,0.0,563.3889156565656
