analysis_name,yearly_aggregate,window_size,config_type,r_squared,p_value,aic,bic,is_normal,is_homoscedastic,no_autocorrelation,durbin_watson,cv_r2_score,cv_r2_std,vif_PPT,vif_spline_0,vif_spline_1,vif_spline_2,p_value_spline_0,p_value_spline_1,p_value_spline_2,knots,vif_ortho_PPT_lag1,p_value_lag1,vif_ortho_PPT_lag7,p_value_lag7,vif_ortho_sin_cycle,vif_ortho_cos_cycle,p_value_sin,p_value_cos
Soybean_yearly_False_window_9_lags_7_sinusoidal_no_spline,False,9,spline_lags_7_sinusoidal_no,0.191,0.381,837.946,849.768,True,False,False,0.462,-0.266,0,1.0,1.024,1.148,1.0,0.804,0.13,0.149,"[np.float64(637.9771547444444), np.float64(741.184467), np.float64(793.36251), np.float64(846.811066), np.float64(960.6492555555556)]",,,1.173,0.849,,,,
Soybean_yearly_False_window_9_lags_none_sinusoidal_yes_spline,False,9,spline_lags_none_sinusoidal_yes,0.261,0.066,964.706,979.367,True,False,False,0.356,-0.936,0,1.0,1.226,1.091,1.032,0.232,0.023,0.638,"[np.float64(637.9771547444444), np.float64(739.433066), np.float64(776.384356), np.float64(837.266433), np.float64(960.6492555555556)]",,,,,1.271,1.078,0.163,0.864
Soybean_yearly_False_window_9_lags_1_sinusoidal_yes_spline,False,9,spline_lags_1_sinusoidal_yes,0.308,0.095,940.378,956.998,True,False,False,0.451,-0.324,0,1.0,1.301,1.121,1.04,0.377,0.025,0.334,"[np.float64(637.9771547444444), np.float64(738.529217), np.float64(778.474045), np.float64(839.430644), np.float64(960.6492555555556)]",1.043,0.157,,,1.288,1.131,0.139,0.632
Soybean_yearly_False_window_9_lags_7_sinusoidal_yes_spline,False,9,spline_lags_7_sinusoidal_yes,0.379,0.054,827.953,843.715,True,True,False,0.656,0.176,0,1.0,1.267,1.29,1.035,0.196,0.248,0.122,"[np.float64(637.9771547444444), np.float64(741.184467), np.float64(793.36251), np.float64(846.811066), np.float64(960.6492555555556)]",,,1.183,0.636,1.293,1.116,0.003,0.088
Soybean_yearly_True_window_9_lags_none_sinusoidal_no_spline,True,9,spline_lags_none_sinusoidal_no,0.667,0.0,555.441,563.495,True,False,False,0.424,0.643,0,1.0,1.0,1.0,1.0,0.359,0.003,0.521,"[np.float64(682.3398851851852), np.float64(737.52024), np.float64(783.052628), np.float64(810.438306), np.float64(891.4186694444446)]",,,,,,,,
Soybean_yearly_True_window_9_lags_1_sinusoidal_no_spline,True,9,spline_lags_1_sinusoidal_no,0.703,0.0,532.862,542.363,True,True,False,0.536,0.372,0,1.0,1.062,1.005,1.068,0.246,0.016,0.843,"[np.float64(682.3398851851853), np.float64(740.200694), np.float64(768.659196), np.float64(804.540181), np.float64(891.4186694444444)]",1.135,0.465,,,,,,
Soybean_yearly_True_window_9_lags_7_sinusoidal_no_spline,True,9,spline_lags_7_sinusoidal_no,0.61,0.014,450.807,459.215,True,True,False,0.507,-1.057,0,1.0,1.0,1.243,1.005,0.386,0.019,0.573,"[np.float64(682.3398851851853), np.float64(752.286189), np.float64(793.604259), np.float64(811.684905), np.float64(891.4186694444444)]",,,1.247,0.908,,,,
Soybean_yearly_True_window_9_lags_none_sinusoidal_yes_spline,True,9,spline_lags_none_sinusoidal_yes,0.763,0.0,546.891,558.168,True,True,False,0.742,0.696,0,1.0,1.522,1.118,1.019,0.327,0.001,0.311,"[np.float64(682.3398851851852), np.float64(737.52024), np.float64(783.052628), np.float64(810.438306), np.float64(891.4186694444446)]",,,,,1.531,1.127,0.006,0.06
Soybean_yearly_True_window_9_lags_1_sinusoidal_yes_spline,True,9,spline_lags_1_sinusoidal_yes,0.858,0.0,510.335,523.003,True,True,False,1.135,0.625,0,1.0,1.606,1.099,1.083,0.175,0.0,0.592,"[np.float64(682.3398851851853), np.float64(740.200694), np.float64(768.659196), np.float64(804.540181), np.float64(891.4186694444444)]",1.169,0.555,,,1.486,1.134,0.001,0.0
Soybean_yearly_True_window_9_lags_7_sinusoidal_yes_spline,True,9,spline_lags_7_sinusoidal_yes,0.856,0.0,424.954,436.163,False,True,False,1.3,-0.253,0,1.0,2.717,1.508,1.082,0.525,0.0,0.456,"[np.float64(682.3398851851853), np.float64(752.286189), np.float64(793.604259), np.float64(811.684905), np.float64(891.4186694444444)]",,,1.294,0.018,2.876,1.136,0.168,0.0
Soybean_yearly_False_window_10_lags_none_sinusoidal_no_spline,False,10,spline_lags_none_sinusoidal_no,0.315,0.031,953.754,964.226,True,False,False,0.312,0.139,0,1.0,1.0,1.0,1.0,0.291,0.005,0.135,"[np.float64(663.04133927), np.float64(734.604699), np.float64(766.326269), np.float64(823.510388), np.float64(936.55273)]",,,,,,,,
Soybean_yearly_False_window_10_lags_1_sinusoidal_no_spline,False,10,spline_lags_1_sinusoidal_no,0.311,0.048,933.427,945.892,False,False,False,0.299,-0.063,0,1.0,1.057,1.007,1.052,0.343,0.008,0.804,"[np.float64(663.04133927), np.float64(734.370399), np.float64(763.204953), np.float64(812.12264), np.float64(936.55273)]",1.116,0.299,,,,,,
Soybean_yearly_False_window_10_lags_7_sinusoidal_no_spline,False,10,spline_lags_7_sinusoidal_no,0.274,0.171,827.703,839.525,True,False,False,0.382,-0.182,0,1.0,1.126,1.109,1.001,0.846,0.042,0.035,"[np.float64(663.04133927), np.float64(733.192222), np.float64(770.9636), np.float64(849.77256), np.float64(936.55273)]",,,1.236,0.835,,,,
Soybean_yearly_False_window_10_lags_none_sinusoidal_yes_spline,False,10,spline_lags_none_sinusoidal_yes,0.339,0.018,955.587,970.247,True,False,False,0.333,-0.071,0,1.0,1.434,1.097,1.089,0.099,0.009,0.16,"[np.float64(663.04133927), np.float64(734.604699), np.float64(766.326269), np.float64(823.510388), np.float64(936.55273)]",,,,,1.357,1.263,0.171,0.801
Soybean_yearly_False_window_10_lags_1_sinusoidal_yes_spline,False,10,spline_lags_1_sinusoidal_yes,0.334,0.025,935.383,952.003,True,False,False,0.332,-0.213,0,1.0,1.634,1.087,1.064,0.133,0.018,0.885,"[np.float64(663.04133927), np.float64(734.370399), np.float64(763.204953), np.float64(812.12264), np.float64(936.55273)]",1.144,0.247,,,1.4,1.242,0.187,0.953
Soybean_yearly_False_window_10_lags_7_sinusoidal_yes_spline,False,10,spline_lags_7_sinusoidal_yes,0.453,0.005,816.697,832.46,True,True,False,0.529,0.157,0,1.0,1.731,1.283,1.006,0.174,0.302,0.012,"[np.float64(663.04133927), np.float64(733.192222), np.float64(770.9636), np.float64(849.77256), np.float64(936.55273)]",,,1.28,0.35,1.469,1.272,0.005,0.04
Soybean_yearly_True_window_10_lags_none_sinusoidal_no_spline,True,10,spline_lags_none_sinusoidal_no,0.663,0.0,554.266,562.321,True,False,False,0.367,0.576,0,1.0,1.0,1.0,1.0,0.464,0.004,0.414,"[np.float64(681.5620463016667), np.float64(747.99871), np.float64(778.88122), np.float64(803.736474), np.float64(891.4186694444446)]",,,,,,,,
Soybean_yearly_True_window_10_lags_1_sinusoidal_no_spline,True,10,spline_lags_1_sinusoidal_no,0.734,0.0,526.485,535.986,True,False,False,0.481,0.487,0,1.0,1.057,1.01,1.01,0.572,0.007,0.352,"[np.float64(681.5620463016667), np.float64(735.467626), np.float64(768.412685), np.float64(805.252099), np.float64(891.4186694444444)]",1.077,0.169,,,,,,
Soybean_yearly_True_window_10_lags_7_sinusoidal_no_spline,True,10,spline_lags_7_sinusoidal_no,0.675,0.019,443.96,452.367,True,False,False,0.701,-1.0,0,1.0,1.011,1.183,1.018,0.551,0.011,0.044,"[np.float64(681.5620463016667), np.float64(752.72298), np.float64(788.116562), np.float64(815.228688), np.float64(891.4186694444444)]",,,1.212,0.687,,,,
Soybean_yearly_True_window_10_lags_none_sinusoidal_yes_spline,True,10,spline_lags_none_sinusoidal_yes,0.754,0.0,546.576,557.852,True,True,False,0.539,0.63,0,1.0,1.366,1.202,1.014,0.404,0.001,0.591,"[np.float64(681.5620463016667), np.float64(747.99871), np.float64(778.88122), np.float64(803.736474), np.float64(891.4186694444446)]",,,,,1.371,1.21,0.016,0.033
Soybean_yearly_True_window_10_lags_1_sinusoidal_yes_spline,True,10,spline_lags_1_sinusoidal_yes,0.896,0.0,496.823,509.491,False,True,False,1.232,0.646,0,1.0,1.521,1.214,1.037,0.05,0.0,0.168,"[np.float64(681.5620463016667), np.float64(735.467626), np.float64(768.412685), np.float64(805.252099), np.float64(891.4186694444444)]",1.109,0.184,,,1.401,1.263,0.001,0.0
Soybean_yearly_True_window_10_lags_7_sinusoidal_yes_spline,True,10,spline_lags_7_sinusoidal_yes,0.877,0.0,418.723,429.932,True,True,False,1.452,0.562,0,1.0,2.059,1.48,1.092,0.059,0.0,0.092,"[np.float64(681.5620463016667), np.float64(752.72298), np.float64(788.116562), np.float64(815.228688), np.float64(891.4186694444444)]",,,1.24,0.544,2.091,1.3,0.035,0.0
