analysis_name,yearly_aggregate,window_size,config_type,r_squared,p_value,aic,bic,is_normal,is_homoscedastic,no_autocorrelation,durbin_watson,cv_r2_score,cv_r2_std,vif_PPT,vif_spline_0,vif_spline_1,vif_spline_2,p_value_spline_0,p_value_spline_1,p_value_spline_2,knots,vif_ortho_sin_cycle,vif_ortho_cos_cycle,p_value_sin,p_value_cos
Winter_Wheat_yearly_False_window_4_lags_none_sinusoidal_yes_spline,False,4,spline_lags_none_sinusoidal_yes,0.442,0.031,381.641,389.59,False,True,False,1.097,0.137,0,1.0,1.025,1.015,1.109,0.219,0.513,0.687,"[np.float64(831.698), np.float64(942.257554), np.float64(980.648), np.float64(1043.888801), np.float64(1155.72074325)]",1.116,1.033,0.873,0.374
Winter_Wheat_yearly_True_window_4_lags_none_sinusoidal_no_spline,True,4,spline_lags_none_sinusoidal_no,0.746,0.0,290.43,295.152,True,True,True,1.607,0.535,0,1.0,1.0,1.0,1.0,0.567,0.148,0.086,"[np.float64(836.798825), np.float64(916.787765), np.float64(1020.618189), np.float64(1041.718), np.float64(1130.41687365)]",,,,
Winter_Wheat_yearly_True_window_4_lags_none_sinusoidal_yes_spline,True,4,spline_lags_none_sinusoidal_yes,0.804,0.0,289.454,296.065,True,True,False,1.376,0.69,0,1.0,1.038,1.01,1.041,0.646,0.122,0.056,"[np.float64(836.798825), np.float64(916.787765), np.float64(1020.618189), np.float64(1041.718), np.float64(1130.41687365)]",1.071,1.018,0.936,0.082
Winter_Wheat_yearly_False_window_5_lags_none_sinusoidal_no_spline,False,5,spline_lags_none_sinusoidal_no,0.495,0.002,372.354,378.031,False,True,False,1.192,-4.618,0,1.0,1.0,1.0,1.0,0.267,0.757,0.382,"[np.float64(831.698), np.float64(928.59647), np.float64(973.346365), np.float64(1025.690029), np.float64(1117.81159562)]",,,,
Winter_Wheat_yearly_False_window_5_lags_none_sinusoidal_yes_spline,False,5,spline_lags_none_sinusoidal_yes,0.558,0.012,373.291,381.239,False,True,False,1.462,-7.325,0,1.0,1.062,1.009,1.004,0.233,0.969,0.334,"[np.float64(831.698), np.float64(928.59647), np.float64(973.346365), np.float64(1025.690029), np.float64(1117.81159562)]",1.032,1.043,0.231,0.386
Winter_Wheat_yearly_True_window_5_lags_none_sinusoidal_no_spline,True,5,spline_lags_none_sinusoidal_no,0.689,0.0,290.648,295.37,True,True,False,1.433,0.332,0,1.0,1.0,1.0,1.0,0.332,0.477,0.853,"[np.float64(836.798825), np.float64(922.613812), np.float64(960.951272), np.float64(1038.541615), np.float64(1101.19201732)]",,,,
Winter_Wheat_yearly_True_window_5_lags_none_sinusoidal_yes_spline,True,5,spline_lags_none_sinusoidal_yes,0.7,0.001,293.944,300.555,True,True,False,1.335,-1.181,0,1.0,1.028,1.004,1.121,0.376,0.533,0.759,"[np.float64(836.798825), np.float64(922.613812), np.float64(960.951272), np.float64(1038.541615), np.float64(1101.19201732)]",1.146,1.007,0.629,0.648
Winter_Wheat_yearly_False_window_6_lags_none_sinusoidal_no_spline,False,6,spline_lags_none_sinusoidal_no,0.754,0.0,347.148,352.825,True,True,False,1.106,-1.328,0,1.0,1.0,1.0,1.0,0.396,0.086,0.113,"[np.float64(831.6980000000001), np.float64(927.988737), np.float64(992.091165), np.float64(1031.652105), np.float64(1133.2563296833334)]",,,,
Winter_Wheat_yearly_False_window_6_lags_none_sinusoidal_yes_spline,False,6,spline_lags_none_sinusoidal_yes,0.764,0.0,350.174,358.122,True,True,False,1.134,-2.085,0,1.0,1.045,1.017,1.135,0.341,0.17,0.136,"[np.float64(831.6980000000001), np.float64(927.988737), np.float64(992.091165), np.float64(1031.652105), np.float64(1133.2563296833334)]",1.035,1.161,0.418,0.996
Winter_Wheat_yearly_True_window_6_lags_none_sinusoidal_no_spline,True,6,spline_lags_none_sinusoidal_no,0.853,0.0,274.797,279.52,True,True,False,0.884,0.44,0,1.0,1.0,1.0,1.0,0.213,0.309,0.089,"[np.float64(836.798825), np.float64(929.498434), np.float64(996.38569), np.float64(1045.277839), np.float64(1106.2266811000002)]",,,,
