analysis_name,yearly_aggregate,window_size,config_type,r_squared,p_value,aic,bic,is_normal,is_homoscedastic,no_autocorrelation,durbin_watson,cv_r2_score,cv_r2_std,vif_PPT,vif_ortho_PPT_lag1,p_value_lag1,vif_ortho_PPT_lag2,p_value_lag2,vif_ortho_PPT_lag3,p_value_lag3,vif_ortho_PPT_lag4,p_value_lag4,vif_ortho_PPT_lag5,p_value_lag5,vif_ortho_sin_cycle,vif_ortho_cos_cycle,p_value_sin,p_value_cos,model_type,vif_quadratic,p_value_quadratic,vif_segment,p_value_segment,breakpoint
CPER_yearly_False_window_3_lags_none_sinusoidal_no_linear,False,3,linear_lags_none_sinusoidal_no,0.537,0.0,474.829,478.051,True,True,False,0.568,0.505,0,1.0,,,,,,,,,,,,,,,linear,,,,,
CPER_yearly_False_window_6_lags_none_sinusoidal_no_quadratic,False,6,quadratic_lags_none_sinusoidal_no,0.565,0.0,447.398,452.231,True,True,False,0.474,0.499,0,1.645,,,,,,,,,,,,,,,quadratic,1.645,0.045,,,
CPER_yearly_False_window_8_lags_none_sinusoidal_no_piecewise,False,8,piecewise_lags_none_sinusoidal_no,0.546,0.0,430.717,435.549,True,True,False,0.538,0.48,0,1.714,,,,,,,,,,,,,,,piecewise,,,1.714,0.002,307.02495001833336
