analysis_name,yearly_aggregate,window_size,config_type,r_squared,p_value,aic,bic,is_normal,is_homoscedastic,no_autocorrelation,durbin_watson,cv_r2_score,cv_r2_std,vif_PPT,vif_quadratic,p_value_quadratic,vif_ortho_PPT_lag1,p_value_lag1,vif_ortho_PPT_lag7,p_value_lag7,vif_ortho_sin_cycle,vif_ortho_cos_cycle,p_value_sin,p_value_cos
Soybean_yearly_True_window_6_lags_1_sinusoidal_no_quadratic,True,6,quadratic_lags_1_sinusoidal_no,0.415,0.002,553.609,559.943,False,True,False,0.408,0.242,0,2.281,2.284,0.201,1.004,0.608,,,,,,
Soybean_yearly_True_window_6_lags_7_sinusoidal_no_quadratic,True,6,quadratic_lags_7_sinusoidal_no,0.258,0.159,466.934,472.539,False,False,False,0.315,-0.24,0,2.453,2.454,0.099,,,1.001,0.666,,,,
Soybean_yearly_True_window_6_lags_none_sinusoidal_yes_quadratic,True,6,quadratic_lags_none_sinusoidal_yes,0.373,0.004,577.322,585.376,True,True,False,0.29,0.082,0,2.64,2.869,0.439,,,,,1.122,1.107,0.088,0.95
Soybean_yearly_True_window_6_lags_1_sinusoidal_yes_quadratic,True,6,quadratic_lags_1_sinusoidal_yes,0.498,0.0,552.083,561.584,True,True,False,0.409,0.298,0,2.552,2.768,0.837,1.005,0.664,,,1.099,1.113,0.053,0.238
Soybean_yearly_True_window_6_lags_7_sinusoidal_yes_quadratic,True,6,quadratic_lags_7_sinusoidal_yes,0.355,0.036,466.746,475.153,True,False,False,0.344,-0.64,0,3.39,4.036,0.801,,,1.002,0.895,1.385,1.259,0.32,0.081
Soybean_yearly_False_window_7_lags_none_sinusoidal_no_quadratic,False,7,quadratic_lags_none_sinusoidal_no,0.177,0.025,966.899,973.182,True,False,False,0.255,0.106,0,1.807,1.807,0.068,,,,,,,,
Soybean_yearly_False_window_7_lags_1_sinusoidal_no_quadratic,False,7,quadratic_lags_1_sinusoidal_no,0.185,0.022,947.335,955.645,True,False,False,0.328,0.045,0,1.817,1.82,0.125,1.003,0.779,,,,,,
Soybean_yearly_False_window_7_lags_7_sinusoidal_no_quadratic,False,7,quadratic_lags_7_sinusoidal_no,0.15,0.202,845.347,853.229,False,False,False,0.316,0.12,0,1.913,1.949,0.236,,,1.037,0.74,,,,
Soybean_yearly_False_window_7_lags_none_sinusoidal_yes_quadratic,False,7,quadratic_lags_none_sinusoidal_yes,0.204,0.02,968.845,979.317,True,False,False,0.274,0.067,0,1.918,2.057,0.034,,,,,1.134,1.005,0.237,0.467
Soybean_yearly_False_window_7_lags_1_sinusoidal_yes_quadratic,False,7,quadratic_lags_1_sinusoidal_yes,0.238,0.014,947.352,959.817,True,False,False,0.362,-0.079,0,1.93,2.073,0.054,1.003,0.799,,,1.136,1.003,0.175,0.174
Soybean_yearly_False_window_7_lags_7_sinusoidal_yes_quadratic,False,7,quadratic_lags_7_sinusoidal_yes,0.352,0.038,834.94,846.762,True,False,False,0.45,0.172,0,2.017,2.173,0.028,,,1.041,0.71,1.115,1.0,0.004,0.018
Soybean_yearly_True_window_7_lags_none_sinusoidal_no_quadratic,True,7,quadratic_lags_none_sinusoidal_no,0.426,0.002,571.259,576.092,True,True,False,0.296,0.3,0,2.115,2.115,0.067,,,,,,,,
Soybean_yearly_True_window_7_lags_1_sinusoidal_no_quadratic,True,7,quadratic_lags_1_sinusoidal_no,0.543,0.0,545.486,551.82,True,True,False,0.461,0.423,0,2.089,2.14,0.087,1.05,0.454,,,,,,
Soybean_yearly_True_window_7_lags_7_sinusoidal_no_quadratic,True,7,quadratic_lags_7_sinusoidal_no,0.375,0.029,460.918,466.523,True,False,False,0.306,0.123,0,2.176,2.177,0.074,,,1.0,0.998,,,,
Soybean_yearly_True_window_7_lags_none_sinusoidal_yes_quadratic,True,7,quadratic_lags_none_sinusoidal_yes,0.467,0.001,572.516,580.571,True,True,False,0.272,0.021,0,2.726,3.275,0.602,,,,,1.498,1.05,0.133,0.995
Soybean_yearly_True_window_7_lags_1_sinusoidal_yes_quadratic,True,7,quadratic_lags_1_sinusoidal_yes,0.623,0.0,542.568,552.069,True,True,False,0.513,0.387,0,2.61,3.162,0.847,1.074,0.363,,,1.423,1.055,0.035,0.106
Soybean_yearly_True_window_7_lags_7_sinusoidal_yes_quadratic,True,7,quadratic_lags_7_sinusoidal_yes,0.507,0.002,457.811,466.219,True,False,False,0.431,-0.298,0,3.547,4.712,0.813,,,1.001,0.314,2.06,1.105,0.347,0.019
Soybean_yearly_False_window_8_lags_none_sinusoidal_no_quadratic,False,8,quadratic_lags_none_sinusoidal_no,0.174,0.034,961.735,968.018,True,False,False,0.207,0.064,0,1.752,1.752,0.102,,,,,,,,
Soybean_yearly_False_window_8_lags_1_sinusoidal_no_quadratic,False,8,quadratic_lags_1_sinusoidal_no,0.188,0.027,941.132,949.443,True,True,False,0.287,-0.037,0,1.756,1.758,0.195,1.002,0.665,,,,,,
Soybean_yearly_False_window_8_lags_7_sinusoidal_no_quadratic,False,8,quadratic_lags_7_sinusoidal_no,0.153,0.18,839.123,847.004,True,False,False,0.248,0.088,0,1.896,1.962,0.339,,,1.067,0.804,,,,
Soybean_yearly_False_window_8_lags_none_sinusoidal_yes_quadratic,False,8,quadratic_lags_none_sinusoidal_yes,0.197,0.035,964.015,974.486,True,False,False,0.229,-0.021,0,1.889,2.072,0.058,,,,,1.182,1.0,0.267,0.559
Soybean_yearly_False_window_8_lags_1_sinusoidal_yes_quadratic,False,8,quadratic_lags_1_sinusoidal_yes,0.236,0.02,941.507,953.972,True,False,False,0.323,-0.143,0,1.89,2.07,0.108,1.003,0.714,,,1.178,1.0,0.203,0.201
Soybean_yearly_False_window_8_lags_7_sinusoidal_yes_quadratic,False,8,quadratic_lags_7_sinusoidal_yes,0.347,0.043,829.288,841.11,True,False,False,0.372,0.21,0,2.03,2.257,0.066,,,1.077,0.664,1.148,1.002,0.006,0.023
Soybean_yearly_True_window_8_lags_none_sinusoidal_no_quadratic,True,8,quadratic_lags_none_sinusoidal_no,0.449,0.0,570.484,575.317,True,True,False,0.246,0.416,0,1.877,1.877,0.097,,,,,,,,
Soybean_yearly_True_window_8_lags_1_sinusoidal_no_quadratic,True,8,quadratic_lags_1_sinusoidal_no,0.591,0.0,541.508,547.842,True,True,False,0.446,0.505,0,1.857,1.884,0.089,1.027,0.369,,,,,,
Soybean_yearly_True_window_8_lags_7_sinusoidal_no_quadratic,True,8,quadratic_lags_7_sinusoidal_no,0.409,0.028,460.809,466.414,False,False,False,0.259,0.003,0,1.852,1.852,0.097,,,1.0,0.624,,,,
Soybean_yearly_True_window_8_lags_none_sinusoidal_yes_quadratic,True,8,quadratic_lags_none_sinusoidal_yes,0.493,0.0,571.415,579.47,True,True,False,0.253,0.312,0,2.41,3.017,0.787,,,,,1.55,1.057,0.106,0.749
Soybean_yearly_True_window_8_lags_1_sinusoidal_yes_quadratic,True,8,quadratic_lags_1_sinusoidal_yes,0.675,0.0,537.189,546.691,True,True,False,0.545,0.439,0,2.29,2.836,0.864,1.041,0.359,,,1.452,1.053,0.044,0.035
Soybean_yearly_True_window_8_lags_7_sinusoidal_yes_quadratic,True,8,quadratic_lags_7_sinusoidal_yes,0.569,0.001,455.361,463.769,True,False,False,0.364,0.039,0,3.043,4.442,0.81,,,1.001,0.655,2.243,1.155,0.188,0.008
Soybean_yearly_False_window_9_lags_none_sinusoidal_no_quadratic,False,9,quadratic_lags_none_sinusoidal_no,0.152,0.025,964.967,971.25,True,False,False,0.233,0.033,0,1.751,1.751,0.329,,,,,,,,
Soybean_yearly_False_window_9_lags_1_sinusoidal_no_quadratic,False,9,quadratic_lags_1_sinusoidal_no,0.175,0.028,942.737,951.047,True,False,False,0.297,0.004,0,1.785,1.785,0.508,1.0,0.306,,,,,,
Soybean_yearly_False_window_9_lags_7_sinusoidal_no_quadratic,False,9,quadratic_lags_7_sinusoidal_no,0.115,0.137,838.724,846.605,True,False,False,0.344,0.025,0,1.91,1.966,0.768,,,1.056,0.909,,,,
Soybean_yearly_False_window_9_lags_none_sinusoidal_yes_quadratic,False,9,quadratic_lags_none_sinusoidal_yes,0.174,0.031,967.361,977.832,True,False,False,0.252,-0.103,0,1.968,2.258,0.181,,,,,1.288,1.001,0.28,0.585
Soybean_yearly_False_window_9_lags_1_sinusoidal_yes_quadratic,False,9,quadratic_lags_1_sinusoidal_yes,0.217,0.026,943.69,956.155,True,False,False,0.328,-0.111,0,2.012,2.302,0.295,1.0,0.322,,,1.29,1.0,0.246,0.248
Soybean_yearly_False_window_9_lags_7_sinusoidal_yes_quadratic,False,9,quadratic_lags_7_sinusoidal_yes,0.337,0.027,827.383,839.205,True,False,False,0.532,0.246,0,2.173,2.535,0.126,,,1.072,0.509,1.288,1.001,0.005,0.013
Soybean_yearly_True_window_9_lags_none_sinusoidal_no_quadratic,True,9,quadratic_lags_none_sinusoidal_no,0.575,0.0,560.467,565.299,False,True,False,0.236,0.513,0,1.711,1.711,0.093,,,,,,,,
Soybean_yearly_True_window_9_lags_1_sinusoidal_no_quadratic,True,9,quadratic_lags_1_sinusoidal_no,0.633,0.0,536.477,542.811,True,True,False,0.338,0.482,0,1.789,1.789,0.178,1.0,0.726,,,,,,
