analysis_name,yearly_aggregate,window_size,config_type,r_squared,p_value,aic,bic,is_normal,is_homoscedastic,no_autocorrelation,durbin_watson,cv_r2_score,cv_r2_std,vif_PPT,vif_ortho_PPT_lag1,p_value_lag1,vif_ortho_sin_cycle,vif_ortho_cos_cycle,p_value_sin,p_value_cos
Switchgrass_yearly_False_window_5_lags_none_sinusoidal_no_linear,False,5,linear_lags_none_sinusoidal_no,0.192,0.005,654.53,657.908,True,False,False,0.867,0.117,0,1.0,,,,,,
Switchgrass_yearly_False_window_5_lags_1_sinusoidal_no_linear,False,5,linear_lags_1_sinusoidal_no,0.219,0.01,639.35,644.341,True,True,False,0.827,0.091,0,1.0,1.0,0.193,,,,
Switchgrass_yearly_False_window_5_lags_none_sinusoidal_yes_linear,False,5,linear_lags_none_sinusoidal_yes,0.646,0.0,625.499,632.255,True,True,True,2.083,0.434,0,1.0,,,1.0,1.0,0.0,0.0
Switchgrass_yearly_False_window_5_lags_1_sinusoidal_yes_linear,False,5,linear_lags_1_sinusoidal_yes,0.677,0.0,608.957,617.275,True,True,True,2.152,0.49,0,1.0,1.0,0.088,1.0,1.0,0.0,0.0
Switchgrass_yearly_True_window_5_lags_none_sinusoidal_no_linear,True,5,linear_lags_none_sinusoidal_no,0.075,0.205,370.961,373.232,False,True,False,0.217,-0.015,0,1.0,,,,,,
Switchgrass_yearly_True_window_5_lags_1_sinusoidal_no_linear,True,5,linear_lags_1_sinusoidal_no,0.171,0.256,355.076,358.349,False,True,False,0.358,0.151,0,1.0,1.0,0.123,,,,
Switchgrass_yearly_True_window_5_lags_none_sinusoidal_yes_linear,True,5,linear_lags_none_sinusoidal_yes,0.874,0.001,329.057,333.599,True,True,False,1.119,0.716,0,1.0,,,1.0,1.0,0.0,0.0
Switchgrass_yearly_True_window_5_lags_1_sinusoidal_yes_linear,True,5,linear_lags_1_sinusoidal_yes,0.904,0.0,311.708,317.164,True,True,False,1.453,0.658,0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
Switchgrass_yearly_False_window_6_lags_none_sinusoidal_no_linear,False,6,linear_lags_none_sinusoidal_no,0.173,0.008,644.08,647.458,False,False,False,0.427,0.051,0,1.0,,,,,,
Switchgrass_yearly_False_window_6_lags_1_sinusoidal_no_linear,False,6,linear_lags_1_sinusoidal_no,0.163,0.013,631.002,635.993,False,False,False,0.454,0.121,0,1.0,1.0,0.748,,,,
Switchgrass_yearly_False_window_6_lags_none_sinusoidal_yes_linear,False,6,linear_lags_none_sinusoidal_yes,0.74,0.0,601.707,608.462,True,True,True,1.516,0.572,0,1.0,,,1.0,1.0,0.0,0.0
Switchgrass_yearly_False_window_6_lags_1_sinusoidal_yes_linear,False,6,linear_lags_1_sinusoidal_yes,0.776,0.0,583.616,591.934,True,True,True,1.655,0.589,0,1.0,1.0,0.616,1.0,1.0,0.0,0.0
Switchgrass_yearly_True_window_6_lags_none_sinusoidal_no_linear,True,6,linear_lags_none_sinusoidal_no,0.058,0.267,367.038,369.309,False,True,False,0.189,-0.202,0,1.0,,,,,,
Switchgrass_yearly_True_window_6_lags_1_sinusoidal_no_linear,True,6,linear_lags_1_sinusoidal_no,0.143,0.275,351.601,354.874,False,True,False,0.378,0.038,0,1.0,1.0,0.147,,,,
Switchgrass_yearly_True_window_6_lags_none_sinusoidal_yes_linear,True,6,linear_lags_none_sinusoidal_yes,0.918,0.001,314.979,319.521,True,True,False,1.141,0.812,0,1.0,,,1.0,1.0,0.0,0.0
Switchgrass_yearly_True_window_6_lags_1_sinusoidal_yes_linear,True,6,linear_lags_1_sinusoidal_yes,0.935,0.0,298.74,304.195,True,True,False,1.382,0.793,0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
Switchgrass_yearly_False_window_7_lags_none_sinusoidal_no_linear,False,7,linear_lags_none_sinusoidal_no,0.144,0.016,645.198,648.576,True,False,False,0.585,0.102,0,1.0,,,,,,
Switchgrass_yearly_False_window_7_lags_1_sinusoidal_no_linear,False,7,linear_lags_1_sinusoidal_no,0.178,0.018,630.043,635.033,True,False,False,0.515,0.11,0,1.0,1.0,0.153,,,,
Switchgrass_yearly_False_window_7_lags_none_sinusoidal_yes_linear,False,7,linear_lags_none_sinusoidal_yes,0.74,0.0,601.534,608.29,True,True,True,1.59,0.557,0,1.0,,,1.0,1.0,0.0,0.0
Switchgrass_yearly_False_window_7_lags_1_sinusoidal_yes_linear,False,7,linear_lags_1_sinusoidal_yes,0.79,0.0,580.842,589.16,True,True,True,1.782,0.634,0,1.0,1.0,0.004,1.0,1.0,0.0,0.0
Switchgrass_yearly_True_window_7_lags_none_sinusoidal_no_linear,True,7,linear_lags_none_sinusoidal_no,0.019,0.532,363.599,365.87,False,True,False,0.167,-0.284,0,1.0,,,,,,
Switchgrass_yearly_True_window_7_lags_1_sinusoidal_no_linear,True,7,linear_lags_1_sinusoidal_no,0.107,0.503,348.13,351.403,False,True,False,0.369,-0.052,0,1.0,1.0,0.153,,,,
Switchgrass_yearly_True_window_7_lags_none_sinusoidal_yes_linear,True,7,linear_lags_none_sinusoidal_yes,0.931,0.008,306.605,311.147,True,True,False,1.094,0.881,0,1.0,,,1.0,1.0,0.0,0.0
Switchgrass_yearly_True_window_7_lags_1_sinusoidal_yes_linear,True,7,linear_lags_1_sinusoidal_yes,0.947,0.0,289.788,295.243,True,True,True,1.616,0.904,0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
Switchgrass_yearly_False_window_8_lags_none_sinusoidal_no_linear,False,8,linear_lags_none_sinusoidal_no,0.12,0.029,642.031,645.409,True,False,False,0.471,0.085,0,1.0,,,,,,
Switchgrass_yearly_False_window_8_lags_1_sinusoidal_no_linear,False,8,linear_lags_1_sinusoidal_no,0.125,0.037,628.309,633.3,True,False,False,0.491,-0.049,0,1.0,1.0,0.345,,,,
Switchgrass_yearly_False_window_8_lags_none_sinusoidal_yes_linear,False,8,linear_lags_none_sinusoidal_yes,0.71,0.0,601.562,608.317,True,True,False,1.391,0.449,0,1.0,,,1.0,1.0,0.0,0.0
Switchgrass_yearly_False_window_8_lags_1_sinusoidal_yes_linear,False,8,linear_lags_1_sinusoidal_yes,0.75,0.0,583.394,591.712,True,True,True,1.619,0.629,0,1.0,1.0,0.044,1.0,1.0,0.0,0.0
Switchgrass_yearly_True_window_8_lags_none_sinusoidal_no_linear,True,8,linear_lags_none_sinusoidal_no,0.012,0.614,360.928,363.199,False,True,False,0.136,-0.471,0,1.0,,,,,,
Switchgrass_yearly_True_window_8_lags_1_sinusoidal_no_linear,True,8,linear_lags_1_sinusoidal_no,0.205,0.258,342.839,346.113,False,True,False,0.364,-0.039,0,1.0,1.0,0.04,,,,
