analysis_name,yearly_aggregate,window_size,config_type,r_squared,p_value,aic,bic,is_normal,is_homoscedastic,no_autocorrelation,durbin_watson,cv_r2_score,cv_r2_std,vif_PPT,vif_quadratic,p_value_quadratic
UCB_cluster_1_yearly_False_window_1_lags_none_sinusoidal_no_quadratic,False,1,quadratic_lags_none_sinusoidal_no,0.281,0.787,326.612,328.93,True,False,False,2.581,-1.456,0,2.603,2.603,0.042
UCB_cluster_1_yearly_False_window_2_lags_none_sinusoidal_no_quadratic,False,2,quadratic_lags_none_sinusoidal_no,0.067,0.934,317.609,319.926,True,True,False,1.407,-1.021,0,2.805,2.805,0.35
UCB_cluster_1_yearly_False_window_3_lags_none_sinusoidal_no_quadratic,False,3,quadratic_lags_none_sinusoidal_no,0.071,0.952,306.526,308.844,True,True,False,1.207,-8.546,0,1.655,1.655,0.347
UCB_cluster_1_yearly_False_window_4_lags_none_sinusoidal_no_quadratic,False,4,quadratic_lags_none_sinusoidal_no,0.078,0.448,297.215,299.533,True,True,False,0.913,-1.983,0,1.499,1.499,0.396
UCB_cluster_1_yearly_False_window_5_lags_none_sinusoidal_no_quadratic,False,5,quadratic_lags_none_sinusoidal_no,0.103,0.286,294.6,296.918,True,True,False,0.965,-7.458,0,1.651,1.651,0.79
UCB_cluster_1_yearly_False_window_6_lags_none_sinusoidal_no_quadratic,False,6,quadratic_lags_none_sinusoidal_no,0.381,0.016,284.186,286.504,True,True,False,0.784,0.349,0,2.344,2.344,0.543
UCB_cluster_1_yearly_False_window_7_lags_none_sinusoidal_no_quadratic,False,7,quadratic_lags_none_sinusoidal_no,0.423,0.009,284.721,287.038,True,True,False,0.948,-0.123,0,1.781,1.781,0.219
UCB_cluster_1_yearly_False_window_8_lags_none_sinusoidal_no_quadratic,False,8,quadratic_lags_none_sinusoidal_no,0.349,0.021,283.963,286.281,True,True,False,1.278,0.257,0,1.745,1.745,0.801
