analysis_name,yearly_aggregate,window_size,config_type,r_squared,p_value,aic,bic,is_normal,is_homoscedastic,no_autocorrelation,durbin_watson,cv_r2_score,cv_r2_std,vif_PPT,vif_ortho_sin_cycle,vif_ortho_cos_cycle,p_value_sin,p_value_cos
Spring_Wheat_yearly_False_window_7_lags_none_sinusoidal_yes_linear,False,7,linear_lags_none_sinusoidal_yes,0.362,0.009,319.627,323.61,False,True,False,0.273,-0.126,0,1.0,1.0,1.0,0.717,0.962
Spring_Wheat_yearly_True_window_7_lags_none_sinusoidal_no_linear,True,7,linear_lags_none_sinusoidal_no,0.356,0.005,315.8,317.791,False,True,False,0.312,0.01,0,1.0,,,,
Spring_Wheat_yearly_True_window_7_lags_none_sinusoidal_yes_linear,True,7,linear_lags_none_sinusoidal_yes,0.362,0.009,319.627,323.61,False,True,False,0.273,-0.126,0,1.0,1.0,1.0,0.717,0.962
Spring_Wheat_yearly_False_window_8_lags_none_sinusoidal_no_linear,False,8,linear_lags_none_sinusoidal_no,0.327,0.008,314.908,316.9,False,True,False,0.304,-0.033,0,1.0,,,,
Spring_Wheat_yearly_False_window_8_lags_none_sinusoidal_yes_linear,False,8,linear_lags_none_sinusoidal_yes,0.338,0.013,318.571,322.554,False,True,False,0.335,-0.293,0,1.0,1.0,1.0,0.736,0.702
Spring_Wheat_yearly_True_window_8_lags_none_sinusoidal_no_linear,True,8,linear_lags_none_sinusoidal_no,0.327,0.008,314.908,316.9,False,True,False,0.304,-0.033,0,1.0,,,,
Spring_Wheat_yearly_True_window_8_lags_none_sinusoidal_yes_linear,True,8,linear_lags_none_sinusoidal_yes,0.338,0.013,318.571,322.554,False,True,False,0.335,-0.293,0,1.0,1.0,1.0,0.736,0.702
Spring_Wheat_yearly_False_window_9_lags_none_sinusoidal_no_linear,False,9,linear_lags_none_sinusoidal_no,0.445,0.001,304.49,306.482,True,True,False,0.58,0.323,0,1.0,,,,
Spring_Wheat_yearly_False_window_9_lags_none_sinusoidal_yes_linear,False,9,linear_lags_none_sinusoidal_yes,0.5,0.001,306.42,310.403,False,True,False,0.501,0.071,0,1.0,1.0,1.0,0.506,0.272
Spring_Wheat_yearly_True_window_9_lags_none_sinusoidal_no_linear,True,9,linear_lags_none_sinusoidal_no,0.445,0.001,304.49,306.482,True,True,False,0.58,0.323,0,1.0,,,,
Spring_Wheat_yearly_True_window_9_lags_none_sinusoidal_yes_linear,True,9,linear_lags_none_sinusoidal_yes,0.5,0.001,306.42,310.403,False,True,False,0.501,0.071,0,1.0,1.0,1.0,0.506,0.272
Spring_Wheat_yearly_False_window_10_lags_none_sinusoidal_no_linear,False,10,linear_lags_none_sinusoidal_no,0.465,0.001,300.885,302.877,False,True,False,0.465,0.282,0,1.0,,,,
Spring_Wheat_yearly_False_window_10_lags_none_sinusoidal_yes_linear,False,10,linear_lags_none_sinusoidal_yes,0.495,0.001,303.764,307.746,False,True,False,0.411,0.18,0,1.0,1.0,1.0,0.775,0.374
Spring_Wheat_yearly_True_window_10_lags_none_sinusoidal_no_linear,True,10,linear_lags_none_sinusoidal_no,0.465,0.001,300.885,302.877,False,True,False,0.465,0.282,0,1.0,,,,
Spring_Wheat_yearly_True_window_10_lags_none_sinusoidal_yes_linear,True,10,linear_lags_none_sinusoidal_yes,0.495,0.001,303.764,307.746,False,True,False,0.411,0.18,0,1.0,1.0,1.0,0.775,0.374
