analysis_name,yearly_aggregate,window_size,config_type,r_squared,p_value,aic,bic,is_normal,is_homoscedastic,no_autocorrelation,durbin_watson,cv_r2_score,cv_r2_std,vif_PPT
UMRB_yearly_False_window_1_lags_none_sinusoidal_no_linear,False,1,linear_lags_none_sinusoidal_no,0.006,0.793,293.235,294.513,False,True,False,3.548,-0.978,0,1.0
UMRB_yearly_True_window_1_lags_none_sinusoidal_no_linear,True,1,linear_lags_none_sinusoidal_no,0.006,0.793,293.235,294.513,False,True,False,3.548,-0.978,0,1.0
UMRB_yearly_False_window_2_lags_none_sinusoidal_no_linear,False,2,linear_lags_none_sinusoidal_no,0.11,0.247,257.901,259.179,True,True,False,1.158,0.041,0,1.0
UMRB_yearly_True_window_2_lags_none_sinusoidal_no_linear,True,2,linear_lags_none_sinusoidal_no,0.11,0.247,257.901,259.179,True,True,False,1.158,0.041,0,1.0
UMRB_yearly_False_window_3_lags_none_sinusoidal_no_linear,False,3,linear_lags_none_sinusoidal_no,0.009,0.742,263.474,264.752,True,True,False,3.201,-0.708,0,1.0
UMRB_yearly_True_window_3_lags_none_sinusoidal_no_linear,True,3,linear_lags_none_sinusoidal_no,0.009,0.742,263.474,264.752,True,True,False,3.201,-0.708,0,1.0
