analysis_name,yearly_aggregate,window_size,config_type,r_squared,p_value,aic,bic,is_normal,is_homoscedastic,no_autocorrelation,durbin_watson,cv_r2_score,cv_r2_std,vif_PPT,vif_segment,p_value_segment,breakpoint,vif_ortho_PPT_lag1,p_value_lag1,vif_ortho_sin_cycle,vif_ortho_cos_cycle,p_value_sin,p_value_cos
Switchgrass_yearly_True_window_5_lags_none_sinusoidal_no_piecewise,True,5,piecewise_lags_none_sinusoidal_no,0.266,0.024,367.653,371.06,True,False,False,0.543,-0.308,0,1.336,1.336,0.034,832.4590736104647,,,,,,
Switchgrass_yearly_True_window_5_lags_1_sinusoidal_no_piecewise,True,5,piecewise_lags_1_sinusoidal_no,0.443,0.011,348.312,352.677,True,True,False,0.861,0.042,0,1.358,1.39,0.008,832.4875110380203,1.031,0.023,,,,
Switchgrass_yearly_True_window_5_lags_none_sinusoidal_yes_piecewise,True,5,piecewise_lags_none_sinusoidal_yes,0.888,0.012,328.447,334.125,True,True,False,1.179,0.737,0,1.557,2.213,0.159,832.4590736104647,,,1.531,1.126,0.0,0.0
Switchgrass_yearly_True_window_5_lags_1_sinusoidal_yes_piecewise,True,5,piecewise_lags_1_sinusoidal_yes,0.915,0.002,311.049,317.595,True,True,False,1.491,0.65,0,1.764,2.964,0.171,832.4875110380203,1.067,0.001,1.772,1.361,0.0,0.0
Switchgrass_yearly_False_window_6_lags_none_sinusoidal_no_piecewise,False,6,piecewise_lags_none_sinusoidal_no,0.303,0.0,639.203,644.269,True,False,False,0.51,0.125,0,1.151,1.151,0.012,874.7500259259261,,,,,,
Switchgrass_yearly_False_window_6_lags_1_sinusoidal_no_piecewise,False,6,piecewise_lags_1_sinusoidal_no,0.301,0.001,625.974,632.628,True,False,False,0.567,0.185,0,1.161,1.167,0.013,873.4370676767678,1.006,0.607,,,,
Switchgrass_yearly_False_window_6_lags_none_sinusoidal_yes_piecewise,False,6,piecewise_lags_none_sinusoidal_yes,0.743,0.0,603.341,611.786,True,True,False,1.489,0.529,0,1.193,1.466,0.575,874.7500259259261,,,1.167,1.106,0.0,0.0
Switchgrass_yearly_False_window_6_lags_1_sinusoidal_yes_piecewise,False,6,piecewise_lags_1_sinusoidal_yes,0.777,0.0,585.437,595.419,True,True,True,1.635,0.582,0,1.216,1.559,0.699,873.4370676767678,1.007,0.601,1.191,1.145,0.0,0.0
Switchgrass_yearly_True_window_6_lags_none_sinusoidal_no_piecewise,True,6,piecewise_lags_none_sinusoidal_no,0.408,0.002,358.374,361.781,True,True,False,0.467,0.342,0,2.402,2.402,0.003,783.5931039081481,,,,,,
Switchgrass_yearly_True_window_6_lags_1_sinusoidal_no_piecewise,True,6,piecewise_lags_1_sinusoidal_no,0.512,0.001,341.213,345.577,True,True,False,0.715,0.323,0,2.552,2.557,0.002,782.0751042978284,1.005,0.054,,,,
Switchgrass_yearly_True_window_6_lags_none_sinusoidal_yes_piecewise,True,6,piecewise_lags_none_sinusoidal_yes,0.931,0.417,312.769,318.447,True,True,False,1.436,0.775,0,3.71,4.642,0.073,783.5931039081481,,,1.798,1.134,0.0,0.0
Switchgrass_yearly_True_window_6_lags_1_sinusoidal_yes_piecewise,True,6,piecewise_lags_1_sinusoidal_yes,0.957,0.357,291.705,298.251,True,True,True,1.918,0.853,0,4.533,5.821,0.012,782.0751042978284,1.012,0.0,1.978,1.298,0.0,0.0
Switchgrass_yearly_False_window_7_lags_none_sinusoidal_no_piecewise,False,7,piecewise_lags_none_sinusoidal_no,0.236,0.002,642.678,647.745,True,False,False,0.729,0.202,0,1.106,1.106,0.042,876.9532525252525,,,,,,
Switchgrass_yearly_False_window_7_lags_1_sinusoidal_no_piecewise,False,7,piecewise_lags_1_sinusoidal_no,0.312,0.001,625.088,631.742,True,False,False,0.67,0.238,0,1.116,1.142,0.013,875.5678115440115,1.026,0.044,,,,
Switchgrass_yearly_False_window_7_lags_none_sinusoidal_yes_piecewise,False,7,piecewise_lags_none_sinusoidal_yes,0.741,0.0,603.381,611.825,True,True,True,1.586,0.546,0,1.126,1.317,0.716,876.9532525252525,,,1.123,1.067,0.0,0.0
Switchgrass_yearly_False_window_7_lags_1_sinusoidal_yes_piecewise,False,7,piecewise_lags_1_sinusoidal_yes,0.794,0.0,582.066,592.047,True,True,True,1.762,0.637,0,1.148,1.453,0.421,875.5678115440115,1.033,0.004,1.168,1.104,0.0,0.0
Switchgrass_yearly_True_window_7_lags_none_sinusoidal_no_piecewise,True,7,piecewise_lags_none_sinusoidal_no,0.484,0.001,350.84,354.246,True,True,False,0.63,0.46,0,3.286,3.286,0.0,756.133626187744,,,,,,
Switchgrass_yearly_True_window_7_lags_1_sinusoidal_no_piecewise,True,7,piecewise_lags_1_sinusoidal_no,0.628,0.0,330.879,335.243,True,True,False,0.765,0.329,0,3.657,3.705,0.0,753.4063986748052,1.048,0.012,,,,
Switchgrass_yearly_True_window_7_lags_none_sinusoidal_yes_piecewise,True,7,piecewise_lags_none_sinusoidal_yes,0.945,0.622,303.516,309.193,True,True,True,1.618,0.901,0,6.473,7.868,0.049,756.133626187744,,,2.366,1.028,0.0,0.0
Switchgrass_yearly_True_window_7_lags_1_sinusoidal_yes_piecewise,True,7,piecewise_lags_1_sinusoidal_yes,0.954,0.691,288.712,295.259,True,True,True,1.858,0.891,0,7.942,9.68,0.141,753.4063986748052,1.125,0.0,2.542,1.07,0.0,0.0
Switchgrass_yearly_False_window_8_lags_none_sinusoidal_no_piecewise,False,8,piecewise_lags_none_sinusoidal_no,0.237,0.002,638.318,643.385,True,False,False,0.634,0.015,0,1.2,1.2,0.022,866.0065762626264,,,,,,
Switchgrass_yearly_False_window_8_lags_1_sinusoidal_no_piecewise,False,8,piecewise_lags_1_sinusoidal_no,0.278,0.002,622.807,629.461,True,False,False,0.703,0.129,0,1.204,1.221,0.01,866.3131886363636,1.017,0.118,,,,
Switchgrass_yearly_False_window_8_lags_none_sinusoidal_yes_piecewise,False,8,piecewise_lags_none_sinusoidal_yes,0.711,0.0,603.5,611.945,True,True,False,1.4,0.445,0,1.269,1.615,0.818,866.0065762626264,,,1.212,1.134,0.0,0.0
