analysis_name,yearly_aggregate,window_size,config_type,r_squared,p_value,aic,bic,is_normal,is_homoscedastic,no_autocorrelation,durbin_watson,cv_r2_score,cv_r2_std,vif_PPT,vif_segment,p_value_segment,breakpoint
UMRB_yearly_False_window_1_lags_none_sinusoidal_no_piecewise,False,1,piecewise_lags_none_sinusoidal_no,0.227,0.365,291.713,293.63,True,True,False,3.39,-1.617,0,1.337,1.337,0.104,1034.3727333333334
UMRB_yearly_True_window_1_lags_none_sinusoidal_no_piecewise,True,1,piecewise_lags_none_sinusoidal_no,0.227,0.365,291.713,293.63,True,True,False,3.39,-1.617,0,1.337,1.337,0.104,1034.3727333333334
UMRB_yearly_False_window_2_lags_none_sinusoidal_no_piecewise,False,2,piecewise_lags_none_sinusoidal_no,0.114,0.297,259.833,261.75,False,True,False,1.169,-0.097,0,1.195,1.195,0.822,929.340798909091
UMRB_yearly_True_window_2_lags_none_sinusoidal_no_piecewise,True,2,piecewise_lags_none_sinusoidal_no,0.114,0.297,259.833,261.75,False,True,False,1.169,-0.097,0,1.195,1.195,0.822,929.340798909091
UMRB_yearly_False_window_3_lags_none_sinusoidal_no_piecewise,False,3,piecewise_lags_none_sinusoidal_no,0.039,0.675,265.05,266.967,True,True,False,3.196,-1.394,0,4.05,4.05,0.573,744.0233313131314
UMRB_yearly_True_window_3_lags_none_sinusoidal_no_piecewise,True,3,piecewise_lags_none_sinusoidal_no,0.039,0.675,265.05,266.967,True,True,False,3.196,-1.394,0,4.05,4.05,0.573,744.0233313131314
