analysis_name,yearly_aggregate,window_size,config_type,r_squared,p_value,aic,bic,is_normal,is_homoscedastic,no_autocorrelation,durbin_watson,cv_r2_score,cv_r2_std,vif_PPT,vif_quadratic,p_value_quadratic,vif_ortho_PPT_lag1,p_value_lag1,vif_ortho_sin_cycle,vif_ortho_cos_cycle,p_value_sin,p_value_cos
Switchgrass_yearly_False_window_5_lags_1_sinusoidal_no_quadratic,False,5,quadratic_lags_1_sinusoidal_no,0.229,0.062,640.865,647.519,True,True,False,0.859,0.117,0,1.391,1.393,0.512,1.002,0.172,,,,
Switchgrass_yearly_False_window_5_lags_none_sinusoidal_yes_quadratic,False,5,quadratic_lags_none_sinusoidal_yes,0.684,0.0,623.022,631.466,True,True,True,2.283,0.502,0,1.574,1.876,0.049,,,1.041,1.262,0.0,0.0
Switchgrass_yearly_False_window_5_lags_1_sinusoidal_yes_quadratic,False,5,quadratic_lags_1_sinusoidal_yes,0.701,0.0,607.928,617.909,True,True,True,2.332,0.535,0,1.486,1.73,0.112,1.002,0.137,1.05,1.193,0.0,0.0
Switchgrass_yearly_True_window_5_lags_none_sinusoidal_no_quadratic,True,5,quadratic_lags_none_sinusoidal_no,0.194,0.844,369.803,373.209,True,True,False,0.421,-0.075,0,1.464,1.464,0.102,,,,,,
Switchgrass_yearly_True_window_5_lags_1_sinusoidal_no_quadratic,True,5,quadratic_lags_1_sinusoidal_no,0.328,0.565,352.446,356.81,True,True,False,0.598,-0.163,0,1.352,1.359,0.055,1.008,0.065,,,,
Switchgrass_yearly_True_window_5_lags_none_sinusoidal_yes_quadratic,True,5,quadratic_lags_none_sinusoidal_yes,0.925,0.0,319.121,324.799,True,True,True,1.596,0.838,0,1.686,2.163,0.003,,,1.049,1.429,0.0,0.0
Switchgrass_yearly_True_window_5_lags_1_sinusoidal_yes_quadratic,True,5,quadratic_lags_1_sinusoidal_yes,0.95,0.0,299.407,305.954,True,True,True,2.152,0.838,0,1.521,2.015,0.001,1.011,0.0,1.081,1.401,0.0,0.0
Switchgrass_yearly_False_window_6_lags_none_sinusoidal_no_quadratic,False,6,quadratic_lags_none_sinusoidal_no,0.196,0.111,644.91,649.976,False,False,False,0.43,0.066,0,1.417,1.417,0.301,,,,,,
Switchgrass_yearly_False_window_6_lags_1_sinusoidal_no_quadratic,False,6,quadratic_lags_1_sinusoidal_no,0.192,0.166,631.61,638.264,False,True,False,0.46,0.133,0,1.368,1.37,0.267,1.002,0.679,,,,
Switchgrass_yearly_False_window_6_lags_none_sinusoidal_yes_quadratic,False,6,quadratic_lags_none_sinusoidal_yes,0.78,0.0,597.151,605.595,True,True,True,2.016,0.671,0,1.598,2.034,0.017,,,1.083,1.353,0.0,0.0
Switchgrass_yearly_False_window_6_lags_1_sinusoidal_yes_quadratic,False,6,quadratic_lags_1_sinusoidal_yes,0.814,0.0,578.42,588.401,True,True,True,2.196,0.673,0,1.5,1.861,0.014,1.002,0.773,1.095,1.264,0.0,0.0
Switchgrass_yearly_True_window_6_lags_none_sinusoidal_no_quadratic,True,6,quadratic_lags_none_sinusoidal_no,0.38,0.16,359.434,362.841,True,True,False,0.465,0.256,0,1.499,1.499,0.004,,,,,,
Switchgrass_yearly_True_window_6_lags_1_sinusoidal_no_quadratic,True,6,quadratic_lags_1_sinusoidal_no,0.446,0.151,344.013,348.377,True,True,False,0.562,0.005,0,1.372,1.374,0.006,1.002,0.147,,,,
Switchgrass_yearly_True_window_6_lags_none_sinusoidal_yes_quadratic,True,6,quadratic_lags_none_sinusoidal_yes,0.942,0.0,308.949,314.626,True,True,True,1.726,0.834,0,1.809,2.43,0.013,,,1.083,1.539,0.0,0.0
Switchgrass_yearly_True_window_6_lags_1_sinusoidal_yes_quadratic,True,6,quadratic_lags_1_sinusoidal_yes,0.966,0.0,286.744,293.29,True,True,True,2.46,0.883,0,1.586,2.166,0.002,1.003,0.0,1.125,1.452,0.0,0.0
Switchgrass_yearly_False_window_7_lags_none_sinusoidal_no_quadratic,False,7,quadratic_lags_none_sinusoidal_no,0.164,0.157,646.287,651.353,True,False,False,0.619,0.075,0,1.345,1.345,0.362,,,,,,
Switchgrass_yearly_False_window_7_lags_1_sinusoidal_no_quadratic,False,7,quadratic_lags_1_sinusoidal_no,0.224,0.214,629.785,636.44,False,True,False,0.543,0.145,0,1.362,1.412,0.158,1.049,0.088,,,,
Switchgrass_yearly_False_window_7_lags_none_sinusoidal_yes_quadratic,False,7,quadratic_lags_none_sinusoidal_yes,0.805,0.0,592.043,600.487,True,True,True,2.121,0.627,0,1.484,1.885,0.002,,,1.044,1.358,0.0,0.0
Switchgrass_yearly_False_window_7_lags_1_sinusoidal_yes_quadratic,False,7,quadratic_lags_1_sinusoidal_yes,0.819,0.0,577.094,587.076,True,True,True,2.202,0.653,0,1.488,1.901,0.029,1.067,0.016,1.05,1.297,0.0,0.0
Switchgrass_yearly_True_window_7_lags_none_sinusoidal_no_quadratic,True,7,quadratic_lags_none_sinusoidal_no,0.416,0.035,353.666,357.072,True,True,False,0.582,0.349,0,1.374,1.374,0.001,,,,,,
Switchgrass_yearly_True_window_7_lags_1_sinusoidal_no_quadratic,True,7,quadratic_lags_1_sinusoidal_no,0.555,0.03,334.805,339.169,True,True,False,0.785,-0.211,0,1.346,1.452,0.0,1.106,0.022,,,,
Switchgrass_yearly_True_window_7_lags_none_sinusoidal_yes_quadratic,True,7,quadratic_lags_none_sinusoidal_yes,0.956,0.0,298.222,303.899,True,True,True,2.049,0.932,0,1.556,2.041,0.005,,,1.021,1.465,0.0,0.0
Switchgrass_yearly_True_window_7_lags_1_sinusoidal_yes_quadratic,True,7,quadratic_lags_1_sinusoidal_yes,0.96,0.0,285.555,292.101,True,True,True,2.023,0.88,0,1.585,2.454,0.036,1.179,0.0,1.043,1.647,0.0,0.0
Switchgrass_yearly_False_window_8_lags_none_sinusoidal_no_quadratic,False,8,quadratic_lags_none_sinusoidal_no,0.158,0.339,642.248,647.315,True,True,False,0.519,0.026,0,1.348,1.348,0.202,,,,,,
Switchgrass_yearly_False_window_8_lags_1_sinusoidal_no_quadratic,False,8,quadratic_lags_1_sinusoidal_no,0.187,0.394,627.436,634.09,True,True,False,0.558,-0.047,0,1.367,1.424,0.111,1.057,0.21,,,,
Switchgrass_yearly_False_window_8_lags_none_sinusoidal_yes_quadratic,False,8,quadratic_lags_none_sinusoidal_yes,0.798,0.0,589.152,597.596,True,True,True,2.036,0.699,0,1.518,2.008,0.0,,,1.054,1.435,0.0,0.0
Switchgrass_yearly_False_window_8_lags_1_sinusoidal_yes_quadratic,False,8,quadratic_lags_1_sinusoidal_yes,0.809,0.0,574.995,584.976,True,True,True,2.147,0.71,0,1.519,2.014,0.003,1.081,0.136,1.055,1.36,0.0,0.0
Switchgrass_yearly_True_window_8_lags_none_sinusoidal_no_quadratic,True,8,quadratic_lags_none_sinusoidal_no,0.561,0.003,344.301,347.708,True,True,False,0.551,0.445,0,1.425,1.425,0.0,,,,,,
Switchgrass_yearly_True_window_8_lags_1_sinusoidal_no_quadratic,True,8,quadratic_lags_1_sinusoidal_no,0.633,0.025,327.813,332.177,True,True,False,0.753,0.331,0,1.375,1.456,0.0,1.081,0.069,,,,
Switchgrass_yearly_True_window_8_lags_none_sinusoidal_yes_quadratic,True,8,quadratic_lags_none_sinusoidal_yes,0.947,0.013,299.838,305.516,True,True,False,1.095,0.865,0,1.673,2.259,0.029,,,1.04,1.545,0.0,0.0
Switchgrass_yearly_True_window_8_lags_1_sinusoidal_yes_quadratic,True,8,quadratic_lags_1_sinusoidal_yes,0.95,0.013,287.821,294.367,True,True,False,1.43,0.888,0,1.666,2.589,0.098,1.144,0.0,1.064,1.715,0.001,0.0
Switchgrass_yearly_False_window_9_lags_none_sinusoidal_no_quadratic,False,9,quadratic_lags_none_sinusoidal_no,0.147,0.757,635.81,640.877,False,True,False,0.348,0.109,0,1.321,1.321,0.088,,,,,,
Switchgrass_yearly_False_window_9_lags_1_sinusoidal_no_quadratic,False,9,quadratic_lags_1_sinusoidal_no,0.188,0.804,620.065,626.72,False,True,False,0.407,0.077,0,1.402,1.516,0.035,1.114,0.119,,,,
Switchgrass_yearly_False_window_9_lags_none_sinusoidal_yes_quadratic,False,9,quadratic_lags_none_sinusoidal_yes,0.836,0.0,573.917,582.362,True,True,True,1.932,0.795,0,1.455,1.874,0.0,,,1.026,1.393,0.0,0.0
Switchgrass_yearly_False_window_9_lags_1_sinusoidal_yes_quadratic,False,9,quadratic_lags_1_sinusoidal_yes,0.836,0.0,561.794,571.776,True,True,True,1.981,0.788,0,1.561,2.116,0.006,1.159,0.041,1.022,1.374,0.0,0.0
Switchgrass_yearly_True_window_9_lags_none_sinusoidal_no_quadratic,True,9,quadratic_lags_none_sinusoidal_no,0.567,0.001,339.896,343.302,True,True,False,0.613,0.165,0,1.395,1.395,0.0,,,,,,
Switchgrass_yearly_True_window_9_lags_1_sinusoidal_no_quadratic,True,9,quadratic_lags_1_sinusoidal_no,0.71,0.002,318.148,322.513,True,True,False,0.95,0.274,0,1.506,1.757,0.0,1.251,0.01,,,,
Switchgrass_yearly_True_window_9_lags_none_sinusoidal_yes_quadratic,True,9,quadratic_lags_none_sinusoidal_yes,0.917,0.983,305.994,311.671,False,True,False,0.904,0.477,0,1.575,2.029,0.967,,,1.017,1.437,0.013,0.0
Switchgrass_yearly_True_window_9_lags_1_sinusoidal_yes_quadratic,True,9,quadratic_lags_1_sinusoidal_yes,0.916,0.845,294.939,301.485,False,True,False,1.232,0.355,0,2.044,3.622,0.919,1.517,0.001,1.034,2.027,0.033,0.0
Switchgrass_yearly_False_window_10_lags_none_sinusoidal_no_quadratic,False,10,quadratic_lags_none_sinusoidal_no,0.169,0.979,631.178,636.245,True,True,False,0.469,0.112,0,1.319,1.319,0.039,,,,,,
Switchgrass_yearly_False_window_10_lags_1_sinusoidal_no_quadratic,False,10,quadratic_lags_1_sinusoidal_no,0.242,0.943,613.764,620.419,False,True,False,0.479,0.003,0,1.391,1.506,0.012,1.116,0.046,,,,
Switchgrass_yearly_False_window_10_lags_none_sinusoidal_yes_quadratic,False,10,quadratic_lags_none_sinusoidal_yes,0.842,0.0,568.823,577.267,True,True,True,2.233,0.812,0,1.474,1.962,0.0,,,1.031,1.456,0.0,0.0
Switchgrass_yearly_False_window_10_lags_1_sinusoidal_yes_quadratic,False,10,quadratic_lags_1_sinusoidal_yes,0.838,0.0,557.519,567.501,True,True,True,2.206,0.786,0,1.587,2.262,0.005,1.174,0.002,1.027,1.474,0.0,0.0
Switchgrass_yearly_True_window_10_lags_none_sinusoidal_no_quadratic,True,10,quadratic_lags_none_sinusoidal_no,0.561,0.002,336.029,339.436,True,True,False,0.667,-0.775,0,1.47,1.47,0.0,,,,,,
Switchgrass_yearly_True_window_10_lags_1_sinusoidal_no_quadratic,True,10,quadratic_lags_1_sinusoidal_no,0.724,0.012,312.964,317.328,True,True,False,0.956,-0.074,0,1.593,1.811,0.0,1.218,0.005,,,,
Switchgrass_yearly_True_window_10_lags_none_sinusoidal_yes_quadratic,True,10,quadratic_lags_none_sinusoidal_yes,0.927,0.874,298.694,304.372,True,True,False,1.046,0.339,0,1.7,2.192,0.839,,,1.023,1.468,0.034,0.0
Switchgrass_yearly_True_window_10_lags_1_sinusoidal_yes_quadratic,True,10,quadratic_lags_1_sinusoidal_yes,0.943,0.47,282.436,288.982,True,True,True,1.77,0.682,0,2.218,3.718,0.786,1.447,0.0,1.056,1.996,0.02,0.0
