analysis_name,yearly_aggregate,window_size,config_type,r_squared,p_value,aic,bic,is_normal,is_homoscedastic,no_autocorrelation,durbin_watson,cv_r2_score,cv_r2_std,vif_PPT,vif_segment,p_value_segment,breakpoint,vif_ortho_sin_cycle,vif_ortho_cos_cycle,p_value_sin,p_value_cos
Spring_Wheat_yearly_False_window_6_lags_none_sinusoidal_yes_piecewise,False,6,piecewise_lags_none_sinusoidal_yes,0.444,0.01,325.038,330.016,True,True,False,0.447,-0.336,0,2.235,2.235,0.064,440.02592727272724,1.0,1.0,0.972,0.772
Spring_Wheat_yearly_True_window_6_lags_none_sinusoidal_no_piecewise,True,6,piecewise_lags_none_sinusoidal_no,0.441,0.005,321.155,324.142,True,False,False,0.416,0.144,0,2.234,2.234,0.046,440.02592727272724,,,,
Spring_Wheat_yearly_True_window_6_lags_none_sinusoidal_yes_piecewise,True,6,piecewise_lags_none_sinusoidal_yes,0.444,0.01,325.038,330.016,True,True,False,0.447,-0.336,0,2.235,2.235,0.064,440.02592727272724,1.0,1.0,0.972,0.772
Spring_Wheat_yearly_False_window_7_lags_none_sinusoidal_no_piecewise,False,7,piecewise_lags_none_sinusoidal_no,0.425,0.011,315.54,318.527,False,True,False,0.461,0.07,0,1.733,1.733,0.172,471.750374025974,,,,
Spring_Wheat_yearly_False_window_7_lags_none_sinusoidal_yes_piecewise,False,7,piecewise_lags_none_sinusoidal_yes,0.436,0.014,319.149,324.128,False,True,False,0.444,-0.067,0,1.753,1.781,0.18,471.750374025974,1.001,1.027,0.62,0.845
Spring_Wheat_yearly_True_window_7_lags_none_sinusoidal_no_piecewise,True,7,piecewise_lags_none_sinusoidal_no,0.425,0.011,315.54,318.527,False,True,False,0.461,0.07,0,1.733,1.733,0.172,471.750374025974,,,,
Spring_Wheat_yearly_True_window_7_lags_none_sinusoidal_yes_piecewise,True,7,piecewise_lags_none_sinusoidal_yes,0.436,0.014,319.149,324.128,False,True,False,0.444,-0.067,0,1.753,1.781,0.18,471.750374025974,1.001,1.027,0.62,0.845
Spring_Wheat_yearly_False_window_8_lags_none_sinusoidal_no_piecewise,False,8,piecewise_lags_none_sinusoidal_no,0.425,0.017,313.751,316.738,True,True,False,0.457,0.114,0,1.967,1.967,0.106,446.9930471139971,,,,
Spring_Wheat_yearly_False_window_8_lags_none_sinusoidal_yes_piecewise,False,8,piecewise_lags_none_sinusoidal_yes,0.435,0.025,317.412,322.39,True,True,False,0.496,-0.221,0,1.993,2.019,0.13,446.9930471139971,1.018,1.009,0.817,0.662
Spring_Wheat_yearly_True_window_8_lags_none_sinusoidal_no_piecewise,True,8,piecewise_lags_none_sinusoidal_no,0.425,0.017,313.751,316.738,True,True,False,0.457,0.114,0,1.967,1.967,0.106,446.9930471139971,,,,
Spring_Wheat_yearly_True_window_8_lags_none_sinusoidal_yes_piecewise,True,8,piecewise_lags_none_sinusoidal_yes,0.435,0.025,317.412,322.39,True,True,False,0.496,-0.221,0,1.993,2.019,0.13,446.9930471139971,1.018,1.009,0.817,0.662
Spring_Wheat_yearly_False_window_9_lags_none_sinusoidal_no_piecewise,False,9,piecewise_lags_none_sinusoidal_no,0.524,0.003,303.439,306.427,True,True,False,0.948,0.429,0,1.448,1.448,0.112,479.38681096681097,,,,
Spring_Wheat_yearly_False_window_9_lags_none_sinusoidal_yes_piecewise,False,9,piecewise_lags_none_sinusoidal_yes,0.593,0.002,304.324,309.303,True,True,False,0.856,0.018,0,1.463,1.496,0.085,479.38681096681097,1.032,1.001,0.464,0.18
Spring_Wheat_yearly_True_window_9_lags_none_sinusoidal_no_piecewise,True,9,piecewise_lags_none_sinusoidal_no,0.524,0.003,303.439,306.427,True,True,False,0.948,0.429,0,1.448,1.448,0.112,479.38681096681097,,,,
Spring_Wheat_yearly_True_window_9_lags_none_sinusoidal_yes_piecewise,True,9,piecewise_lags_none_sinusoidal_yes,0.593,0.002,304.324,309.303,True,True,False,0.856,0.018,0,1.463,1.496,0.085,479.38681096681097,1.032,1.001,0.464,0.18
Spring_Wheat_yearly_False_window_10_lags_none_sinusoidal_no_piecewise,False,10,piecewise_lags_none_sinusoidal_no,0.602,0.005,296.97,299.957,True,True,False,0.906,0.228,0,2.019,2.019,0.027,441.2754202020202,,,,
Spring_Wheat_yearly_False_window_10_lags_none_sinusoidal_yes_piecewise,False,10,piecewise_lags_none_sinusoidal_yes,0.632,0.007,299.429,304.407,True,True,False,0.848,0.013,0,2.023,2.027,0.032,441.2754202020202,1.004,1.001,0.643,0.339
Spring_Wheat_yearly_True_window_10_lags_none_sinusoidal_no_piecewise,True,10,piecewise_lags_none_sinusoidal_no,0.602,0.005,296.97,299.957,True,True,False,0.906,0.228,0,2.019,2.019,0.027,441.2754202020202,,,,
Spring_Wheat_yearly_True_window_10_lags_none_sinusoidal_yes_piecewise,True,10,piecewise_lags_none_sinusoidal_yes,0.632,0.007,299.429,304.407,True,True,False,0.848,0.013,0,2.023,2.027,0.032,441.2754202020202,1.004,1.001,0.643,0.339
