analysis_name,yearly_aggregate,window_size,config_type,r_squared,p_value,aic,bic,is_normal,is_homoscedastic,no_autocorrelation,durbin_watson,cv_r2_score,cv_r2_std,vif_PPT,vif_ortho_PPT_lag1,p_value_lag1,vif_ortho_sin_cycle,vif_ortho_cos_cycle,p_value_sin,p_value_cos,model_type,vif_segment,p_value_segment,breakpoint
Maize-Cluster_1_yearly_True_window_4_lags_none_sinusoidal_no_linear,True,4,linear_lags_none_sinusoidal_no,0.211,0.048,343.461,345.35,True,True,False,0.339,0.124,0,1.0,,,,,,,linear,,,
Maize-Cluster_1_yearly_True_window_8_lags_none_sinusoidal_no_piecewise,True,8,piecewise_lags_none_sinusoidal_no,0.532,0.019,325.652,328.485,True,True,False,0.521,0.474,0,2.08,,,,,,,piecewise,2.08,0.035,783.8771834806668
