analysis_name,yearly_aggregate,window_size,config_type,r_squared,p_value,aic,bic,is_normal,is_homoscedastic,no_autocorrelation,durbin_watson,cv_r2_score,cv_r2_std,vif_PPT,vif_ortho_PPT_lag1,p_value_lag1,vif_ortho_PPT_lag7,p_value_lag7,vif_ortho_sin_cycle,vif_ortho_cos_cycle,p_value_sin,p_value_cos
Soybean_yearly_False_window_3_lags_none_sinusoidal_no_linear,False,3,linear_lags_none_sinusoidal_no,0.153,0.002,993.606,997.795,True,True,False,1.444,0.102,0,1.0,,,,,,,,
Soybean_yearly_False_window_3_lags_1_sinusoidal_no_linear,False,3,linear_lags_1_sinusoidal_no,0.159,0.003,979.671,985.904,True,True,False,1.451,0.028,0,1.0,1.0,0.928,,,,,,
Soybean_yearly_False_window_3_lags_7_sinusoidal_no_linear,False,3,linear_lags_7_sinusoidal_no,0.173,0.641,877.321,883.232,True,True,True,1.508,0.113,0,1.0,,,1.0,0.106,,,,
Soybean_yearly_False_window_3_lags_none_sinusoidal_yes_linear,False,3,linear_lags_none_sinusoidal_yes,0.196,0.001,994.495,1002.873,True,True,True,1.518,0.017,0,1.0,,,,,1.0,1.0,0.612,0.105
Soybean_yearly_False_window_3_lags_1_sinusoidal_yes_linear,False,3,linear_lags_1_sinusoidal_yes,0.215,0.002,979.603,989.991,True,True,True,1.551,-0.028,0,1.0,1.0,0.877,,,1.0,1.0,0.622,0.063
Soybean_yearly_False_window_3_lags_7_sinusoidal_yes_linear,False,3,linear_lags_7_sinusoidal_yes,0.232,0.371,877.406,887.258,True,True,True,1.641,0.11,0,1.0,,,1.0,0.201,1.0,1.0,0.764,0.064
Soybean_yearly_True_window_3_lags_none_sinusoidal_no_linear,True,3,linear_lags_none_sinusoidal_no,0.3,0.0,588.639,591.861,True,True,False,0.547,0.267,0,1.0,,,,,,,,
Soybean_yearly_True_window_3_lags_1_sinusoidal_no_linear,True,3,linear_lags_1_sinusoidal_no,0.35,0.001,572.086,576.837,True,True,False,0.633,0.087,0,1.0,1.0,0.642,,,,,,
Soybean_yearly_True_window_3_lags_7_sinusoidal_no_linear,True,3,linear_lags_7_sinusoidal_no,0.267,0.019,478.253,482.457,True,True,False,0.542,0.038,0,1.0,,,1.0,0.84,,,,
Soybean_yearly_True_window_3_lags_none_sinusoidal_yes_linear,True,3,linear_lags_none_sinusoidal_yes,0.378,0.0,588.269,594.713,True,True,False,0.622,0.271,0,1.0,,,,,1.0,1.0,0.055,0.661
