analysis_name,yearly_aggregate,window_size,config_type,r_squared,p_value,aic,bic,is_normal,is_homoscedastic,no_autocorrelation,durbin_watson,cv_r2_score,cv_r2_std,vif_PPT,vif_spline_0,vif_spline_1,vif_spline_2,p_value_spline_0,p_value_spline_1,p_value_spline_2,knots,vif_ortho_PPT_lag1,p_value_lag1,vif_ortho_sin_cycle,vif_ortho_cos_cycle,p_value_sin,p_value_cos
Switchgrass_yearly_False_window_8_lags_1_sinusoidal_yes_spline,False,8,spline_lags_1_sinusoidal_yes,0.825,0.004,575.477,588.786,True,True,True,2.255,0.301,0,1.0,1.057,1.611,1.063,0.026,0.004,0.785,"[np.float64(574.2685), np.float64(752.744938), np.float64(822.910541), np.float64(857.121312), np.float64(931.485125)]",1.092,0.077,1.221,1.418,0.0,0.0
Switchgrass_yearly_True_window_8_lags_none_sinusoidal_no_spline,True,8,spline_lags_none_sinusoidal_no,0.612,0.03,345.458,351.135,True,True,False,0.749,-3.715,0,1.0,1.0,1.0,1.0,0.05,0.0,0.557,"[np.float64(566.4775), np.float64(684.356062), np.float64(775.807896), np.float64(815.639796), np.float64(869.1255580625)]",,,,,,
Switchgrass_yearly_True_window_8_lags_1_sinusoidal_no_spline,True,8,spline_lags_1_sinusoidal_no,0.744,0.004,323.894,330.44,True,True,False,1.038,-0.249,0,1.0,1.289,1.263,1.0,0.035,0.0,0.481,"[np.float64(574.2685), np.float64(713.702088), np.float64(791.18374), np.float64(812.260988), np.float64(869.1255580625)]",1.552,0.008,,,,
Switchgrass_yearly_True_window_8_lags_none_sinusoidal_yes_spline,True,8,spline_lags_none_sinusoidal_yes,0.964,0.582,294.62,302.568,True,True,False,1.409,0.291,0,1.0,1.669,5.747,1.016,0.009,0.005,0.183,"[np.float64(566.4775), np.float64(684.356062), np.float64(775.807896), np.float64(815.639796), np.float64(869.1255580625)]",,,4.088,3.343,0.0,0.0
Switchgrass_yearly_True_window_8_lags_1_sinusoidal_yes_spline,True,8,spline_lags_1_sinusoidal_yes,0.972,0.533,279.092,287.82,True,True,True,1.569,-0.261,0,1.0,2.372,5.937,1.026,0.008,0.006,0.384,"[np.float64(574.2685), np.float64(713.702088), np.float64(791.18374), np.float64(812.260988), np.float64(869.1255580625)]",2.144,0.0,3.127,4.064,0.0,0.0
Switchgrass_yearly_False_window_9_lags_none_sinusoidal_no_spline,False,9,spline_lags_none_sinusoidal_no,0.175,0.038,638.463,646.907,True,False,False,0.379,-0.038,0,1.0,1.0,1.0,1.0,0.488,0.084,0.801,"[np.float64(572.5514000000001), np.float64(752.658111), np.float64(819.950471), np.float64(849.070532), np.float64(913.7935419222223)]",,,,,,
Switchgrass_yearly_False_window_9_lags_1_sinusoidal_no_spline,False,9,spline_lags_1_sinusoidal_no,0.231,0.026,621.95,631.931,True,False,False,0.459,-0.056,0,1.0,1.08,1.013,1.013,0.287,0.038,0.925,"[np.float64(591.8808), np.float64(764.094056), np.float64(820.910661), np.float64(851.111398), np.float64(913.7935419222223)]",1.105,0.077,,,,
Switchgrass_yearly_False_window_9_lags_none_sinusoidal_yes_spline,False,9,spline_lags_none_sinusoidal_yes,0.851,0.027,574.013,585.835,True,True,True,2.013,-0.783,0,1.0,1.011,1.57,1.016,0.008,0.0,0.871,"[np.float64(572.5514000000001), np.float64(752.658111), np.float64(819.950471), np.float64(849.070532), np.float64(913.7935419222223)]",,,1.286,1.31,0.0,0.0
Switchgrass_yearly_False_window_9_lags_1_sinusoidal_yes_spline,False,9,spline_lags_1_sinusoidal_yes,0.849,0.004,562.368,575.676,True,True,True,1.962,0.477,0,1.0,1.089,1.727,1.019,0.098,0.006,0.284,"[np.float64(591.8808), np.float64(764.094056), np.float64(820.910661), np.float64(851.111398), np.float64(913.7935419222223)]",1.121,0.034,1.3,1.415,0.0,0.0
Switchgrass_yearly_True_window_9_lags_none_sinusoidal_no_spline,True,9,spline_lags_none_sinusoidal_no,0.605,0.083,341.805,347.482,True,True,False,0.875,-7.858,0,1.0,1.0,1.0,1.0,0.181,0.0,0.938,"[np.float64(572.5514000000001), np.float64(703.600356), np.float64(775.452256), np.float64(817.863241), np.float64(869.1255580625001)]",,,,,,
Switchgrass_yearly_True_window_9_lags_1_sinusoidal_no_spline,True,9,spline_lags_1_sinusoidal_no,0.742,0.015,319.564,326.111,True,True,False,1.174,-6.138,0,1.0,1.222,1.04,1.05,0.336,0.0,0.609,"[np.float64(615.5384), np.float64(736.685574), np.float64(802.016319), np.float64(828.322262), np.float64(869.1255580625001)]",1.312,0.006,,,,
Switchgrass_yearly_True_window_9_lags_none_sinusoidal_yes_spline,True,9,spline_lags_none_sinusoidal_yes,0.944,0.887,300.826,308.775,False,True,True,1.614,-0.121,0,1.0,1.554,5.701,1.008,0.015,0.444,0.496,"[np.float64(572.5514000000001), np.float64(703.600356), np.float64(775.452256), np.float64(817.863241), np.float64(869.1255580625001)]",,,4.488,2.774,0.002,0.0
Switchgrass_yearly_True_window_9_lags_1_sinusoidal_yes_spline,True,9,spline_lags_1_sinusoidal_yes,0.951,0.276,287.055,295.783,False,True,True,1.791,-0.47,0,1.0,1.772,5.635,1.068,0.028,0.114,0.904,"[np.float64(615.5384), np.float64(736.685574), np.float64(802.016319), np.float64(828.322262), np.float64(869.1255580625001)]",1.634,0.014,3.655,3.185,0.02,0.0
Switchgrass_yearly_False_window_10_lags_none_sinusoidal_no_spline,False,10,spline_lags_none_sinusoidal_no,0.19,0.036,634.157,642.601,True,False,False,0.505,0.094,0,1.0,1.0,1.0,1.0,0.205,0.084,0.897,"[np.float64(572.5514000000001), np.float64(760.6628), np.float64(797.1345), np.float64(849.33315), np.float64(911.95938773)]",,,,,,
Switchgrass_yearly_False_window_10_lags_1_sinusoidal_no_spline,False,10,spline_lags_1_sinusoidal_no,0.292,0.016,615.098,625.079,True,True,False,0.594,-0.134,0,1.0,1.133,1.005,1.009,0.041,0.049,0.663,"[np.float64(591.8808), np.float64(763.6903), np.float64(805.8632), np.float64(838.899307), np.float64(911.95938773)]",1.147,0.025,,,,
Switchgrass_yearly_False_window_10_lags_none_sinusoidal_yes_spline,False,10,spline_lags_none_sinusoidal_yes,0.847,0.03,571.45,583.272,True,True,True,2.259,0.788,0,1.0,1.108,1.758,1.094,0.984,0.0,0.905,"[np.float64(572.5514000000001), np.float64(760.6628), np.float64(797.1345), np.float64(849.33315), np.float64(911.95938773)]",,,1.407,1.553,0.0,0.0
Switchgrass_yearly_False_window_10_lags_1_sinusoidal_yes_spline,False,10,spline_lags_1_sinusoidal_yes,0.864,0.002,554.668,567.977,True,True,True,2.368,0.584,0,1.0,1.39,1.84,1.109,0.602,0.001,0.03,"[np.float64(591.8808), np.float64(763.6903), np.float64(805.8632), np.float64(838.899307), np.float64(911.95938773)]",1.154,0.001,1.384,1.8,0.0,0.0
Switchgrass_yearly_True_window_10_lags_none_sinusoidal_no_spline,True,10,spline_lags_none_sinusoidal_no,0.612,0.234,337.22,342.897,True,True,False,0.79,-0.576,0,1.0,1.0,1.0,1.0,0.001,0.006,0.334,"[np.float64(572.5514000000001), np.float64(697.60602), np.float64(747.49549), np.float64(820.461167), np.float64(869.1255580625)]",,,,,,
Switchgrass_yearly_True_window_10_lags_1_sinusoidal_no_spline,True,10,spline_lags_1_sinusoidal_no,0.748,0.034,314.989,321.535,True,True,False,1.181,-1.165,0,1.0,1.023,1.244,1.005,0.001,0.002,0.607,"[np.float64(615.5384), np.float64(717.676241), np.float64(766.910213), np.float64(821.494997), np.float64(869.1255580625)]",1.273,0.004,,,,
Switchgrass_yearly_True_window_10_lags_none_sinusoidal_yes_spline,True,10,spline_lags_none_sinusoidal_yes,0.962,0.981,287.781,295.729,True,False,True,1.532,-0.751,0,1.0,3.346,3.597,1.24,0.048,0.159,0.451,"[np.float64(572.5514000000001), np.float64(697.60602), np.float64(747.49549), np.float64(820.461167), np.float64(869.1255580625)]",,,3.85,3.333,0.061,0.0
Switchgrass_yearly_True_window_10_lags_1_sinusoidal_yes_spline,True,10,spline_lags_1_sinusoidal_yes,0.96,0.58,278.714,287.443,True,False,True,1.864,0.622,0,1.0,2.658,3.522,1.042,0.149,0.362,0.388,"[np.float64(615.5384), np.float64(717.676241), np.float64(766.910213), np.float64(821.494997), np.float64(869.1255580625)]",1.625,0.001,2.558,3.04,0.153,0.0
